year,region,n_facilities,capacity_kt,bau_emissions_kt,ncc_abatement_kt,rdh_abatement_kt,hp_abatement_kt,re_ppa_abatement_kt,total_abatement_kt,actual_emissions_kt,elec_demand_mwh,grid_ef
2025.0,Daesan,57,27424,22399.001056081695,0.0,0,0.0,0.0,0.0,22399.001056081695,0.0,0.436
2025.0,Other,19,3990,324.3032576718152,0.0,0,0.0,0.0,0.0,324.3032576718152,0.0,0.436
2025.0,Ulsan,85,31436,17046.207411766405,0.0,0,0.0,0.0,0.0,17046.207411766405,0.0,0.436
2025.0,Yeosu,87,37216,26423.608970846166,0.0,0,0.0,0.0,0.0,26423.608970846166,0.0,0.436
2026.0,Daesan,57,27424,25628.832576365414,0.0,0,151.8158942113756,3430.876936018966,3582.6928302303413,22046.13974613507,705.9439080828967,0.4186
2026.0,Other,19,3990,371.066275412498,0.0,0,2.198061821410595,49.673847696879555,51.87190951829015,319.19436589420786,10.220987469559269,0.4186
2026.0,Ulsan,85,31436,19504.191045142252,0.0,0,115.53574262755983,2610.984289397393,2726.520032024953,16777.6710131173,537.2412032181533,0.4186
2026.0,Yeosu,87,37216,30233.770188304497,0.0,0,179.09387182744663,4047.3300732241955,4226.4239450516425,26007.346243252854,832.786503997627,0.4186
2027.0,Daesan,57,27424,25498.813938236883,0.0,0,416.5316380068121,3430.876936018966,3847.408574025778,21651.405364211103,1936.8721167316762,0.4012
2027.0,Other,19,3990,369.1838045024086,0.0,0,6.030740691996588,49.673847696879555,55.70458838887615,313.4792161135324,28.042944217784132,0.4012
2027.0,Ulsan,85,31436,19405.24356675314,0.0,0,316.9911317584888,2610.984289397393,2927.9754211558816,16477.268145597256,1474.0087626769728,0.4012
2027.0,Yeosu,87,37216,30080.390060135902,0.0,0,491.3732134357691,4047.3300732241955,4538.703286659965,25541.686773475936,2284.8854424763263,0.4012
2028.0,Daesan,57,27424,25368.795300108348,0.0,0,604.9053603777186,3430.876936018966,4035.7822963966846,21333.01300371166,2812.8099257563917,0.3838
2028.0,Other,19,3990,367.3013335923191,0.0,0,8.75810392001269,49.673847696879555,58.43195161689225,308.86938197542685,40.72518322805901,0.3838
2028.0,Ulsan,85,31436,19306.296088364023,0.0,0,460.34830801921845,2610.984289397393,3071.3325974166114,16234.963490947412,2140.6196322893657,0.3838
2028.0,Yeosu,87,37216,29927.009931967303,0.0,0,713.5935512021309,4047.3300732241955,4760.923624426327,25166.086307540976,3318.210013089909,0.3838
