TechID,Year,Install_Capacity_kt,Total_Capacity_kt,Production_kt,Abatement_tCO2,Capacity_Utilization
NCC_HT_Electric,2023,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2024,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2025,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2026,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2027,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2028,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2029,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2030,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2031,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2032,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2033,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2034,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2035,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2036,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2037,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2038,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2039,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2040,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2041,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2042,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2043,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2044,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2045,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2046,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2047,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2048,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2049,0.0,0.0,0.0,0.0,0.0
NCC_HT_Electric,2050,0.0,0.0,0.0,0.0,0.0
NCC_MT_HeatPump,2023,0.0,0.0,0.0,0.0,0.0
NCC_MT_HeatPump,2024,0.0,0.0,0.0,0.0,0.0
NCC_MT_HeatPump,2025,0.0,0.0,0.0,0.0,0.0
NCC_MT_HeatPump,2026,900.0,900.0,0.0,0.0,0.0
NCC_MT_HeatPump,2027,900.0,1800.0,0.0,0.0,0.0
NCC_MT_HeatPump,2028,900.0,2700.0,0.0,0.0,0.0
NCC_MT_HeatPump,2029,900.0,3600.0,0.0,0.0,0.0
NCC_MT_HeatPump,2030,900.0,4500.0,3677.67543859649,2096275.0,0.8172612085769978
NCC_MT_HeatPump,2031,900.0,5400.0,4826.44298245614,2751072.5,0.8937857374918778
NCC_MT_HeatPump,2032,900.0,6300.0,5805.52631578947,3309150.0,0.9215121136173762
NCC_MT_HeatPump,2033,900.0,7200.0,6784.60964912281,3867227.5,0.9423068957115014
NCC_MT_HeatPump,2034,299.999999999999,7500.0,7500.0,4275000.0,1.0
NCC_MT_HeatPump,2035,-2.26144904745984e-14,7500.0,7500.0,4275000.0,1.0
NCC_MT_HeatPump,2036,0.0,7500.0,7500.0,4275000.0,1.0
NCC_MT_HeatPump,2037,0.0,7500.0,7500.0,4275000.0,1.0
NCC_MT_HeatPump,2038,0.0,7500.0,7500.0,4275000.0,1.0
