scenario,production_pathway,technology,emissions_reduction_mt,emissions_reduction_pct,operational_cost_2050_billion,retrofit_capex_billion,h2_consumption_kt,electricity_increase_twh
Shaheen (성장) + NCC-H2,Shaheen (성장),NCC-H2,42.81332377776033,62.92372252505003,31.44166613060539,20.499560920788355,7703.528000000001,0.0153070893560744
Shaheen (성장) + NCC-Electricity,Shaheen (성장),NCC-Electricity,42.81332377776033,62.92372252505003,33.283764174496774,22.323912122632496,0.0,164.5438823955041
구조조정 25% + NCC-H2,구조조정 25%,NCC-H2,25.32023946552656,61.93313493507737,15.083029287952042,12.31756225762152,4628.815519999999,0.0091975641261282
구조조정 25% + NCC-Electricity,구조조정 25%,NCC-Electricity,25.32023946552656,61.93313493507737,16.744459487696187,13.413759371077438,0.0,98.86941107416811
구조조정 40% + NCC-H2,구조조정 40%,NCC-H2,23.673825954255193,66.68843141223017,13.021867175433249,10.701861954019884,4019.232,0.0098596590873552
구조조정 40% + NCC-Electricity,구조조정 40%,NCC-Electricity,23.673825954255193,66.68843141223017,14.48605215281411,11.6536973636777,0.0,85.85085547099068
