TechGroup,Band,TechKey,Activity_kt_product,EmissionIntensity_tCO2_per_t,Total_Emissions_tCO2
NCC,HT,NCC_HT,3500,2.85,9975000.0
NCC,MT,NCC_MT,2800,1.23,3444000.0
NCC,LT,NCC_LT,1200,0.65,780000.0
BTX,HT,BTX_HT,1200,1.52,1824000.0
BTX,MT,BTX_MT,800,0.89,712000.0
BTX,LT,BTX_LT,1100,0.48,528000.0
C4,HT,C4_HT,450,2.21,994500.0
C4,MT,C4_MT,350,0.98,343000.0
C4,LT,C4_LT,200,0.54,108000.0
