product,product_group,process,company,location,capacity_kt,year_built,naphtha_gj_per_year,electricity_kwh_per_year,lng_gj_per_year,fuel_gas_gj_per_year,byproduct_gas_gj_per_year,lpg_gj_per_year,fuel_oil_gj_per_year,diesel_gj_per_year,emissions_naphtha_kt,emissions_electricity_kt,emissions_lng_kt,emissions_fuel_gas_kt,emissions_byproduct_gas_kt,emissions_lpg_kt,emissions_fuel_oil_kt,emissions_diesel_kt,total_emissions_kt
Ethylene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,1100,1991,31900000.0,23995334.39572932,4941453.582756559,6176816.9784457,1235363.3956891398,0.0,0.0,0.0,1728.661,107.97900478078192,73.62765838307274,92.03457297884094,18.406914595768185,0,0,0,2020.709150738464
Ethylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,850,2021,24650000.0,18541849.305790834,3818395.9503118866,4772994.937889859,954598.9875779717,0.0,0.0,0.0,1335.7835,83.43832187605875,56.89409965964711,71.1176245745589,14.223524914911778,0,0,0,1561.4570710251767
Ethylene,Olefins,Naphtha Cracker,LG Chem,Daesan,1300,1991,37700000.0,28358122.467680104,5839899.688712298,7299874.610890374,1459974.9221780745,0.0,0.0,0.0,2042.963,127.61155110456045,87.01450536181324,108.76813170226656,21.75362634045331,0,0,0,2388.110814509093
Ethylene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1525,1991,44225000.0,33266259.048624735,6850651.557912502,8563314.44739063,1712662.8894781256,0.0,0.0,0.0,2396.5527500000003,149.6981657188113,102.07470821289628,127.59338526612039,25.51867705322407,0,0,0,2801.4376862510526
Ethylene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,1230,1992,35670000.0,26831146.642497327,5525443.551627789,6906804.439534738,1381360.8879069472,0.0,0.0,0.0,1932.9573,120.74015989123795,82.32910891925405,102.9113861490676,20.582277229813513,0,0,0,2259.520232189373
Ethylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,1030,2021,29870000.0,22468358.57054654,4626997.445672051,5783746.8070900645,1156749.3614180128,0.0,0.0,0.0,1618.6553000000001,101.10761356745942,68.94226194051356,86.17782742564196,17.23556548512839,0,0,0,1892.1185684187433
Ethylene,Olefins,Naphtha Cracker,Yeochon NCC,Yeosu,2285,1979,66265000.0,49844853.72203772,10264746.760544308,12830933.450680386,2566186.690136077,0.0,0.0,0.0,3590.9003500000003,224.3018417491697,152.94472673211018,191.18090841513776,38.236181683027546,0,0,0,4197.564008579446
Ethylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,900,2021,26100000.0,19632546.323778532,4043007.4768008213,5053759.346001027,1010751.8692002053,0.0,0.0,0.0,1414.3590000000002,88.3464584570034,60.240811404332234,75.30101425541531,15.060202851083059,0,0,0,1653.307486967834
Ethylene,Olefins,Naphtha Cracker,Daehan Oil Chemical,Onsan,900,1991,26100000.0,19632546.323778532,4043007.4768008213,5053759.346001027,1010751.8692002053,0.0,0.0,0.0,1414.3590000000002,88.3464584570034,60.240811404332234,75.30101425541531,15.060202851083059,0,0,0,1653.307486967834
Ethylene,Olefins,Naphtha Cracker,S-Oil,Onsan,182,2018,5278000.0,3970137.1454752143,817585.9564197217,1021982.4455246523,204396.48910493043,0.0,0.0,0.0,286.01482,17.865617154638464,12.182030750653853,15.227538438317318,3.0455076876634632,0,0,0,334.3355140312731
Ethylene,Olefins,Naphtha Cracker,SK Geocentric,Ulsan,660,1989,19140000.0,14397200.637437591,2964872.149653936,3706090.18706742,741218.037413484,0.0,0.0,0.0,1037.1966,64.78740286846916,44.17659502984364,55.22074378730456,11.04414875746091,0,0,0,1212.4254904430784
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,550,1997,13967027.027027018,26864611.210094687,2163757.7051767367,2839931.9880444645,676174.2828677298,0.0,0.0,0.0,756.8731945945941,120.89075044542608,32.23998980713338,42.31498662186252,10.074996814729174,0,0,0,962.3939182837453
Propylene,Olefins,Naphtha Cracker,HDHyundai Oilbank,Daesan,420,2011,10665729.729729723,20514794.014981396,1652324.0657713262,2168675.336324864,516351.27055353904,0.0,0.0,0.0,577.9758940540537,92.31657306741627,24.61962857999276,32.313262511240474,7.6936339312477315,0,0,0,734.918992143951
Propylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,451,2021,11452962.162162153,22028981.192277644,1774281.318244924,2328744.230196461,554462.9119515384,0.0,0.0,0.0,620.6360195675671,99.13041536524939,26.436791641849368,34.698289029927274,8.261497388077922,0,0,0,789.1630129926712
Propylene,Olefins,Naphtha Cracker,LG Chem,Daesan,680,1991,17268324.324324314,33214428.405207973,2675191.344582147,3511188.639764065,835997.2951819204,0.0,0.0,0.0,935.7704951351345,149.4649278234359,39.86035103427399,52.31671073248457,12.456359698210614,0,0,0,1189.8688444235395
Propylene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1064,1991,27019848.64864863,51970811.50461954,4185887.6332873595,5493977.518689655,1308089.8854022992,0.0,0.0,0.0,1464.2055982702693,233.8686517707879,62.36972573598166,81.86026502847587,19.490539292494258,0,0,0,1861.794780098009
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,641,1992,16277935.135135124,31309483.246673986,2521761.252760524,3309811.644248185,788050.3914876633,0.0,0.0,0.0,882.1013049729723,140.89267461003294,37.5742426661318,49.31619349929796,11.741950833166182,0,0,0,1121.6263665816011
Propylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,1300,2021,33012972.97297295,63498171.95113289,5114336.394054105,6712566.517196007,1598230.1231419067,0.0,0.0,0.0,1788.9730054054044,285.741773780098,76.20361227140616,100.01724110622051,23.81362883481441,0,0,0,2274.7492613979434
Propylene,Olefins,Naphtha Cracker,Yeochon NCC,Yeosu,1289,1979,32733632.43243241,62960879.72693099,5071061.23995057,6655767.877435118,1584706.637484552,0.0,0.0,0.0,1773.8355415135122,283.32395877118944,75.5588124752635,99.17094137378326,23.612128898519828,0,0,0,2255.501383032268
Propylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,970,2021,24632756.756756738,47379405.22507608,3816081.770948063,5008607.324369328,1192525.5534212687,0.0,0.0,0.0,1334.8490886486477,213.20732351284235,56.85961838712614,74.62824913310298,17.768630745976907,0,0,0,1697.3129104276961
Propylene,Olefins,Naphtha Cracker,Daehan Oil Chemical,Onsan,560,1991,14220972.972972963,27353058.68664186,2203098.7543617683,2891567.1150998184,688468.3607380522,0.0,0.0,0.0,770.6345254054048,123.08876408988836,32.82617143999035,43.084350014987294,10.258178574996977,0,0,0,979.891989525268
Propylene,Olefins,Naphtha Cracker,S-Oil,Onsan,840,2018,21331459.459459446,41029588.02996279,3304648.1315426524,4337350.672649728,1032702.5411070781,0.0,0.0,0.0,1155.9517881081074,184.63314613483254,49.23925715998552,64.62652502248095,15.387267862495463,0,0,0,1469.837984287902
Propylene,Olefins,Naphtha Cracker,SK Advanced,Ulsan,600,2016,15236756.756756745,29306848.592830565,2360462.951101895,3098107.623321234,737644.6722193416,0.0,0.0,0.0,825.6798486486481,131.88081866773751,35.170897971418235,46.16180358748638,10.99090561606819,0,0,0,1049.8842744913584
Propylene,Olefins,Naphtha Cracker,SK Energy,Ulsan,620,1996,15744648.648648638,30283743.545924917,2439145.049471958,3201377.8774319417,762232.8279599863,0.0,0.0,0.0,853.2025102702697,136.27684595666213,36.343261237132175,47.70053037373593,11.357269136603795,0,0,0,1084.8804169744037
Propylene,Olefins,Naphtha Cracker,SK Geocentric,Ulsan,380,1989,9649945.945945939,18561004.108792692,1494959.8690311997,1962134.8281034483,467174.9590722497,0.0,0.0,0.0,522.9305708108104,83.5245184895671,22.274902048564876,29.23580893874138,6.9609068901765205,0,0,0,664.9267071778602
Propylene,Olefins,Naphtha Cracker,Taekwang Industrial,Ulsan,300,1997,7618378.378378373,14653424.296415282,1180231.4755509475,1549053.811660617,368822.3361096708,0.0,0.0,0.0,412.83992432432404,65.94040933386876,17.585448985709117,23.08090179374319,5.495452808034095,0,0,0,524.9421372456792
Propylene,Olefins,Naphtha Cracker,Hyosung Chemical,Ulsan,500,1991,12697297.297297288,24422373.8273588,1967052.4592515787,2581756.3527676947,614703.893516118,0.0,0.0,0.0,688.06654054054,109.9006822231146,29.309081642848522,38.46816965623865,9.159088013390159,0,0,0,874.9035620761318
Butadiene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,190,1997,5510000.0,19410200.375208054,791449.3424282819,1011296.3819916938,219847.03956341182,0.0,0.0,0.0,298.5869,87.34590168843623,11.7925952021814,15.068316091676238,3.275720889494836,0,0,0,416.06943387178876
Butadiene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,163,2021,4727000.0,16651908.742941646,678980.2253463682,867585.8434981372,188605.61815176907,0.0,0.0,0.0,256.15613,74.9335893432374,10.116805357660885,12.927029068122245,2.810223710461359,0,0,0,356.9437774794819
Butadiene,Olefins,Naphtha Cracker,LG Chem,Daesan,200,1991,5800000.0,20431789.868640054,833104.5709771388,1064522.5073596775,231417.93638253873,0.0,0.0,0.0,314.302,91.94305440888024,12.413258107559368,15.861385359659195,3.448127252099827,0,0,0,437.9678251281987
Butadiene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,150,1991,4350000.0,15323842.401480041,624828.4282328541,798391.8805197583,173563.45228690404,0.0,0.0,0.0,235.72650000000002,68.95729080666018,9.309943580669525,11.896039019744398,2.58609543907487,0,0,0,328.47586884614907
Butadiene,Olefins,Naphtha Cracker,Kumho Petrochemical,Yeosu,147,1992,4263000.0,15017365.553450441,612331.859668197,782424.042909363,170092.18324116597,0.0,0.0,0.0,231.01197000000002,67.57814499052698,9.123744709056135,11.658118239349509,2.5343735302933728,0,0,0,321.906351469226
Butadiene,Olefins,Naphtha Cracker,Lotte GS Chemical,Yeosu,130,2022,3770000.0,13280663.414616035,541517.9711351402,691939.6297837904,150421.6586486502,0.0,0.0,0.0,204.2963,59.76298536577216,8.068617769913589,10.309900483778478,2.2412827138648876,0,0,0,284.67908633332917
Butadiene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,160,2011,4640000.0,16345431.894912044,666483.656781711,851618.0058877422,185134.34910603098,0.0,0.0,0.0,251.44160000000002,73.5544435271042,9.930606486047495,12.689108287727358,2.7585018016798615,0,0,0,350.374260102559
Butadiene,Olefins,Naphtha Cracker,LG Chem,Yeosu,306,1991,8874000.0,31260638.499019284,1274649.9935950222,1628719.4362603067,354069.44266528427,0.0,0.0,0.0,480.88206,140.67287324558677,18.99228490456583,24.26791960027857,5.275634695712736,0,0,0,670.0907724461439
Butadiene,Olefins,Naphtha Cracker,Yeochon NCC,Yeosu,378,1992,10962000.0,38616082.851729706,1574567.6391467922,2011947.5389097908,437379.8997629982,0.0,0.0,0.0,594.03078,173.77237283278365,23.461057823287206,29.978018329755884,6.516960506468673,0,0,0,827.7591894922954
Butadiene,Olefins,Naphtha Cracker,Kumho Petrochemical,Ulsan,90,1979,2610000.0,9194305.440888025,374897.05693971243,479035.1283118549,104138.07137214244,0.0,0.0,0.0,141.4359,41.374374483996114,5.585966148401716,7.137623411846638,1.5516572634449224,0,0,0,197.08552130768942
Butadiene,Olefins,Naphtha Cracker,Daehan Oil Chemical,Ulsan,146,2023,4234000.0,14915206.604107242,608166.3368133113,777101.4303725647,168935.0935592533,0.0,0.0,0.0,229.44046,67.11842971848257,9.061678418518339,11.578811312551213,2.517132894032874,0,0,0,319.71651234358507
Butadiene,Olefins,Naphtha Cracker,SK Geocentric,Ulsan,130,1989,3770000.0,13280663.414616035,541517.9711351402,691939.6297837904,150421.6586486502,0.0,0.0,0.0,204.2963,59.76298536577216,8.068617769913589,10.309900483778478,2.2412827138648876,0,0,0,284.67908633332917
Benzene,Aromatics,BTX Plant,OCI,Gwangyang,200,1995,0.0,1869235.9938125336,508119.637973375,635149.5474667185,127029.90949334373,0.0,0.0,0.0,0.0,8.4115619721564,7.5709826058032865,9.463728257254106,1.8927456514508214,0,0,0,27.33901848666461
Benzene,Aromatics,BTX Plant,Lotte Chemical,Daesan,240,2011,0.0,2243083.1925750403,609743.5655680499,762179.4569600621,152435.89139201245,0.0,0.0,0.0,0.0,10.09387436658768,9.085179126963943,11.356473908704926,2.2712947817409854,0,0,0,32.80682218399753
Benzene,Aromatics,BTX Plant,HD Hyundai Chemical,Daesan,410,2016,0.0,3831933.7873156937,1041645.2578454186,1302056.5723067727,260411.3144613546,0.0,0.0,0.0,0.0,17.24370204292062,15.520514341896739,19.400642927370914,3.880128585474184,0,0,0,56.04498789766245
Benzene,Aromatics,BTX Plant,HDHyundai Oilbank,Daesan,338,1997,0.0,3159008.8295431817,858722.1881750036,1073402.7352187543,214680.54704375088,0.0,0.0,0.0,0.0,14.215539732944316,12.794960603807555,15.99370075475944,3.1987401509518882,0,0,0,46.2029412424632
