year,grid_ef_tco2_per_mwh
2025,0.436
2026,0.4188
2027,0.4016
2028,0.38439999999999996
2029,0.36719999999999997
2030,0.35
2031,0.33599999999999997
2032,0.322
2033,0.308
2034,0.29400000000000004
2035,0.28
2036,0.264
2037,0.24800000000000003
2038,0.232
2039,0.21600000000000003
2040,0.2
2041,0.184
2042,0.168
2043,0.152
2044,0.136
2045,0.12
2046,0.11
2047,0.1
2048,0.09
2049,0.08
2050,0.07
