year,emissions_mt_co2,active_facilities
2023,6766.669794600004,76
2024,6728.484034600005,74
2025,6693.948874600004,73
2026,6631.600074600004,71
2027,6631.600074600004,71
2028,6631.600074600004,71
2029,6454.794378600003,69
2030,5802.462738600002,62
2031,5132.119877000001,57
2032,5132.119877000001,57
2033,4930.848701000001,51
2034,4918.205333000001,50
2035,4915.0401010000005,49
2036,4685.797921,43
2037,4445.291448999999,39
2038,4303.048248999999,35
2039,3678.4316329999992,30
2040,3621.4574569999995,29
2041,3142.0944969999996,26
2042,3142.0944969999996,26
2043,2654.9021609999995,19
2044,2388.2578089999997,16
2045,2388.2578089999997,16
2046,50.276711999999996,2
2047,26.595651999999998,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
