year,emissions_mt_co2,active_facilities
2023,5133.178717200001,105
2024,5133.178717200001,105
2025,4983.383037200002,101
2026,4743.009521200001,92
2027,3732.280013200001,78
2028,3659.733053200002,76
2029,3633.479573200002,74
2030,3609.4479932000017,73
2031,3547.410873200002,71
2032,3547.410873200002,71
2033,3547.410873200002,71
2034,3459.8430892000015,69
2035,3150.5002692000016,62
2036,2826.046830000001,57
2037,2826.046830000001,57
2038,2690.462942,51
2039,2677.883594,50
2040,2676.3078660000006,49
2041,2556.8067659999997,43
2042,2446.769129999999,39
2043,2381.5441799999994,35
2044,1987.6936719999992,30
2045,1959.330567999999,29
2046,1669.8733879999993,26
2047,1669.8733879999993,26
2048,1415.8529139999994,19
2049,1290.8842179999997,16
2050,1290.8842179999997,16
