year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.457916664485964,8.329744233038994,65.78766089752496,0.436,232,16,0.9595666859872484,1.0,96020.0
2026,39.703420415159805,5.521716015707692,45.225136430867494,0.4186,228,20,0.948274139068215,0.691,65568.98999999999
2027,39.703420415159805,5.292194136411671,44.99561455157147,0.4012,228,20,0.948274139068215,0.691,65568.98999999999
2028,39.703420415159805,5.059457754035438,44.76287816919524,0.3838,226,22,0.9379809325844942,0.691,64857.259999999995
2029,34.19683493336594,4.385888994393603,38.582723927759545,0.3664,215,33,0.8752523334599165,0.691,60519.852999999996
2030,34.19683493336594,4.165419583708833,38.362254517074774,0.349,207,41,0.8197789458957089,0.691,56684.111999999994
2031,34.19683493336594,3.9991529159157646,38.19598784928171,0.3351,205,43,0.8178801990686148,0.691,56552.82199999999
2032,34.19683493336594,3.8327130693224576,38.0295480026884,0.3212,202,46,0.8152319469150361,0.691,56369.706999999995
2033,34.19683493336594,3.6665954306119968,37.86343036397794,0.3073,200,48,0.8137829032838326,0.691,56269.511999999995
2034,34.19683493336594,3.5003399395257047,37.69717487289165,0.2934,198,50,0.8124837607179262,0.691,56179.68199999999
2035,34.19683493336594,3.3333001390914108,37.530135072457355,0.2795,197,51,0.8098255151599945,0.691,55995.876
2036,34.17161465395137,2.9970891642339326,37.16870381818531,0.2516,194,54,0.8023404552995024,0.691,55478.316999999995
2037,34.17161465395137,2.6613739969841936,36.83298865093556,0.2236,191,57,0.7910279215717626,0.691,54696.104999999996
2038,34.17161465395137,2.3288608725624083,36.50047552651378,0.1957,188,60,0.7871504806827494,0.691,54427.996999999996
2039,32.49348236093955,1.9395693220733803,34.433051683012934,0.1678,179,69,0.7618871544780444,0.691,52681.149
2040,32.10791778625304,1.5315784359368614,33.639496222189905,0.1398,159,89,0.6692582895289109,0.691,46276.27
2041,19.485159042500992,0.9981343089587599,20.483293351459753,0.1259,133,115,0.5152299482341655,0.691,35625.886999999995
2042,15.683405955367244,0.7663434040117008,16.449749359378945,0.1119,116,132,0.4589470949173545,0.691,31734.175
2043,15.683405955367244,0.6700618593782545,16.353467814745496,0.0979,115,133,0.45489976615433814,0.691,31454.319999999996
2044,15.683405955367244,0.574925395176439,16.25833135054368,0.084,115,133,0.45489976615433814,0.691,31454.319999999996
2045,15.625322887624575,0.4774751166978901,16.102798004322466,0.07,111,137,0.4386105170587412,0.691,30327.989999999998
2046,14.805208111645321,0.3691588440498139,15.174366955695135,0.056,101,147,0.4133471908540363,0.691,28581.141999999996
2047,13.324087757199921,0.25714625449063877,13.58123401169056,0.042,86,162,0.32646453340795073,0.691,22573.588
2048,13.324087757199921,0.17130840253396634,13.495396159733888,0.028,82,166,0.3204684907960746,0.691,22158.987999999998
2049,13.324087757199921,0.08563315963007938,13.40972091683,0.014,80,168,0.31826994183838664,0.691,22006.967999999997
2050,13.190231569956676,0.0,13.190231569956676,0.0,79,169,0.31637119501129257,0.691,21875.678
