,facility_lifetime,bau_2025_baseline,total_cost_billion_usd,technologies_deployed,total_abatement_mt,avg_cost_per_tco2,emissions_2030,target_2030,achievement_2030_pct,emissions_2040,target_2040,achievement_2040_pct,emissions_2050,target_2050,netzero_achievement_pct
25yr,25yr,59.99716268711269,-26.587079999999997,1,385.31999999999994,-69000.0,5.30609937498909,47.997730149690156,100.0,2.018271910302852,23.998865074845078,100.0,-14.819999999999999,0.0,100.0
30yr,30yr,59.99716268711269,-26.587079999999997,1,385.31999999999994,-69000.0,5.332477897864683,47.997730149690156,100.0,4.300729507317806,23.998865074845078,100.0,-4.46461594798785,0.0,100.0
40yr,40yr,59.99716268711269,-26.52506328793587,2,391.52167120641275,-67748.64647007415,32.75441122450152,47.997730149690156,100.0,5.332477897864683,23.998865074845078,100.0,-2.574832791424342e-08,0.0,100.0
50yr,50yr,59.99716268711269,-23.689518967510526,5,428.98206342042755,-55222.63280339861,36.93242542166703,47.997730149690156,100.0,23.99886506298649,23.998865074845078,100.0,-2.0503492237367027e-09,0.0,100.0
