facility_id,company,region,process_type,capacity_kt,age_years,emissions_tco2,emission_intensity
0,롯데케미칼,대산,Naphtha Cracker,1100,34,2284393.747424626,2.0767215885678416
1,HD현대케미칼,대산,Naphtha Cracker,850,4,1765213.3502826658,2.076721588567842
2,LG화학,대산,Naphtha Cracker,1300,34,2699738.0651381947,2.076721588567842
3,한화토탈에너지스,대산,Naphtha Cracker,1525,34,3167000.4225659585,2.0767215885678416
4,롯데케미칼,여수,Naphtha Cracker,1230,33,2554367.5539384456,2.076721588567842
5,LG화학,여수,Naphtha Cracker,1030,4,2139023.236224877,2.076721588567842
6,여천NCC,여수,Naphtha Cracker,2285,46,4745308.829877518,2.0767215885678416
7,GS칼텍스,여수,Naphtha Cracker,900,4,1869049.4297110578,2.076721588567842
8,대한유화,온산,Naphtha Cracker,900,34,1869049.4297110578,2.076721588567842
9,S-Oil,온산,Naphtha Cracker,182,7,377963.3291193472,2.0767215885678416
10,SK지오센트릭,울산,Naphtha Cracker,660,36,1370636.2484547757,2.076721588567842
11,롯데케미칼,대산,Naphtha Cracker,550,28,1142196.873712313,2.0767215885678416
12,HD현대오일뱅크,대산,Naphtha Cracker,420,14,872223.0671984935,2.0767215885678416
13,HD현대케미칼,대산,Naphtha Cracker,451,4,936601.4364440967,2.076721588567842
14,LG화학,대산,Naphtha Cracker,680,34,1412170.6802261323,2.0767215885678416
15,한화토탈에너지스,대산,Naphtha Cracker,1064,34,2209631.770236184,2.076721588567842
16,롯데케미칼,여수,Naphtha Cracker,641,33,1331178.5382719866,2.076721588567842
17,LG화학,여수,Naphtha Cracker,1300,4,2699738.0651381947,2.076721588567842
18,여천NCC,여수,Naphtha Cracker,1289,46,2676894.127663948,2.0767215885678416
19,GS칼텍스,여수,Naphtha Cracker,970,4,2014419.9409108064,2.0767215885678416
20,대한유화,온산,Naphtha Cracker,560,34,1162964.0895979914,2.076721588567842
21,S-Oil,온산,Naphtha Cracker,840,7,1744446.134396987,2.0767215885678416
22,SK어드밴스드,울산,Naphtha Cracker,600,9,1246032.9531407051,2.076721588567842
23,SK에너지,울산,Naphtha Cracker,620,29,1287567.384912062,2.076721588567842
24,SK지오센트릭,울산,Naphtha Cracker,380,36,789154.20365578,2.076721588567842
25,태광산업,울산,Naphtha Cracker,300,28,623016.4765703526,2.076721588567842
26,효성화학,울산,Naphtha Cracker,500,34,1038360.7942839209,2.0767215885678416
27,롯데케미칼,대산,Naphtha Cracker,190,28,394577.10182789,2.076721588567842
28,HD현대케미칼,대산,Naphtha Cracker,163,4,338505.6189365582,2.0767215885678416
29,LG화학,대산,Naphtha Cracker,200,34,415344.3177135684,2.076721588567842
30,한화토탈에너지스,대산,Naphtha Cracker,150,34,311508.2382851763,2.076721588567842
31,금호석유화학,여수,Naphtha Cracker,147,33,305278.07351947273,2.0767215885678416
32,롯데GS화학,여수,Naphtha Cracker,130,3,269973.80651381944,2.0767215885678416
33,롯데케미칼,여수,Naphtha Cracker,160,14,332275.4541708547,2.076721588567842
34,LG화학,여수,Naphtha Cracker,306,34,635476.8061017595,2.0767215885678416
35,여천NCC,여수,Naphtha Cracker,378,33,785000.7604786442,2.0767215885678416
36,금호석유화학,울산,Naphtha Cracker,90,46,186904.94297110575,2.0767215885678416
37,대한유화,울산,Naphtha Cracker,146,2,303201.3519309049,2.0767215885678416
38,SK지오센트릭,울산,Naphtha Cracker,130,36,269973.80651381944,2.0767215885678416
86,SK지오센트릭,울산,Naphtha Cracker,160,51,332275.4541708547,2.076721588567842
87,카프로,울산,Naphtha Cracker,190,25,394577.10182789,2.076721588567842
