year,retired_capacity_kt,retired_emissions_mtco2,facilities_retired
2025,6330,8.731246686331382,10
2026,110,0.03467077672836199,1
2027,0,0.0,0
2028,0,0.0,0
2029,1170,2.429764258624375,3
2030,3830,1.2071734079056946,6
2031,11244,18.138282255277506,16
2032,3732,5.3969172690184735,10
2033,0,0.0,0
2034,0,0.0,0
2035,240,0.07564533104369889,2
2036,620,1.287567384912062,1
2037,6738,3.955736686639707,7
2038,360,0.11346799656554832,1
2039,0,0.0,0
2040,190,0.39457710182788996,1
2041,0,0.0,0
2042,0,0.0,0
2043,0,0.0,0
2044,0,0.0,0
2045,0,0.0,0
2046,600,0.18911332760924723,1
2047,0,0.0,0
2048,335,0.10558827458182969,3
2049,0,0.0,0
2050,0,0.0,0
