year,emissions_mt_co2,active_facilities
2023,59.997162687112684,234
2024,59.997162687112684,234
2025,59.997162687112684,234
2026,59.392721123974056,214
2027,59.392721123974056,214
2028,59.38611389895119,213
2029,51.779974160147546,202
2030,51.75242542166703,194
2031,51.751563793760056,192
2032,51.75020225825636,189
2033,51.74954470011683,187
2034,51.74845418724898,185
2035,51.74504152345076,184
2036,51.63503663383539,181
2037,51.62736012239184,178
2038,51.625600587508124,175
2039,49.565418293240704,166
2040,47.574411224501524,147
2041,29.53786861970854,122
2042,23.656202011840136,106
2043,23.65295452866749,105
2044,23.65295452866749,105
2045,23.40635671498137,101
2046,22.336389984562405,92
2047,20.157974668895598,78
2048,20.15452518997573,76
2049,20.15333952577166,74
2050,20.15247789786468,73
