year,emission_target_pct,total_cost_musd,achieved_abatement_mtco2,cost_per_tco2_avg,cost_efficiency
2030,25.0,493.3227500000003,13.861,35590704.133900896,0.028097224383023065
2030,50.0,3866.9740000000006,27.722,139491162.25380567,0.007168912953642821
2030,75.0,9155.126999999999,41.583,220165139.60031742,0.004542045129466801
2040,25.0,26.270000000000095,13.861,1895245.6532717766,0.5276360867910145
2040,50.0,1466.8280000000004,27.722,52912055.40725779,0.018899284715044977
2040,75.0,4313.9839999999995,41.583,103743933.81910875,0.009639117808503695
2050,25.0,-988.1735,13.861,-71291645.62441382,-0.014026889002791514
2050,50.0,-764.8999999999999,27.722,-27591804.34312098,-0.0362426460975291
2050,75.0,63.45899999999964,41.583,1526080.36938171,0.6552734836666231
