Year,BAU_Emissions,Target_Emissions,Optimized_Emissions,Abatement,Gap
2025,59.99716268711269,59.99716268711269,45.17716268711269,14.819999999999999,0
2026,20.150527897864684,57.59727617962818,5.330527897864686,14.819999999999999,0
2027,20.150527897864684,55.19738967214368,5.330527897864686,14.819999999999999,0
2028,20.150527897864684,52.79750316465917,5.330527897864686,14.819999999999999,0
2029,20.145070639470845,50.39761665717466,5.325070639470846,14.819999999999999,0
2030,20.12609937498909,47.997730149690156,5.30609937498909,14.819999999999999,0
2031,19.537066439782585,45.597843642205646,4.717066439782586,14.819999999999999,0
2032,19.537066439782585,43.197957134721136,4.717066439782586,14.819999999999999,0
2033,19.12126807998605,40.798070627236626,4.30126807998605,14.819999999999999,0
2034,19.12082819626512,38.39818411975212,4.300828196265121,14.819999999999999,0
2035,19.120729507317805,35.99829761226761,4.300729507317806,14.819999999999999,0
2036,17.4231116788981,33.59841110478311,2.6031116788981006,14.819999999999999,0
2037,17.41708481843298,31.1985245972986,2.5970848184329807,14.819999999999999,0
2038,17.413456911456237,28.79863808981409,2.5934569114562382,14.819999999999999,0
2039,16.840048311354558,26.39875158232958,2.020048311354559,14.819999999999999,0
2040,16.83827191030285,23.998865074845078,2.018271910302852,14.819999999999999,0
2041,12.11731216667006,21.598978567360568,-2.7026878333299393,14.819999999999999,0
2042,12.11731216667006,19.199092059876058,-2.7026878333299393,14.819999999999999,0
2043,10.363228179548836,16.799205552391555,-4.456771820451163,14.819999999999999,0
2044,10.355384052012148,14.399319044907045,-4.46461594798785,14.819999999999999,0
2045,10.355384052012148,11.999432537422535,-4.46461594798785,14.819999999999999,0
2046,0.5714395495843869,9.599546029938033,-14.248560450415612,14.819999999999999,0
2047,0.302283239997538,7.199659522453523,-14.517716760002461,14.819999999999999,0
2048,0.0,4.799773014969013,-14.819999999999999,14.819999999999999,0
2049,0.0,2.39988650748451,-14.819999999999999,14.819999999999999,0
2050,0.0,0.0,-14.819999999999999,14.819999999999999,0
