technology,year,description,applicable_facilities,abatement_potential_tco2,abatement_potential_mtco2,capex_usd_per_tco2,opex_usd_per_tco2,fuel_savings_usd_per_tco2,net_cost_usd_per_tco2,total_capex_musd,total_opex_musd,total_fuel_savings_musd,total_net_cost_musd,capex_multiplier,cumulative_abatement_tco2,cumulative_abatement_mtco2,cumulative_cost_musd
Early_Retirement,2030,Early retirement of oldest/least efficient facilities,27,5077584.284048373,5.077584284048373,0.0,50,0,50.0,0.0,253.87921420241867,0.0,253.87921420241867,1.0,5077584.284048373,5.077584284048373,253.87921420241867
Efficiency_Upgrade,2030,"Energy efficiency improvements (heat integration, optimization)",32,6145123.016651672,6.145123016651672,80.0,20,45,55.0,491.6098413321338,122.90246033303345,276.5305357493253,337.98176591584195,1.0,11222707.300700046,11.222707300700046,591.8609801182606
Fuel_Switch,2030,"Switch from naphtha/LNG to cleaner fuels (renewable electricity, biomass)",41,13325803.2534427,13.325803253442698,180.0,30,-20,230.0,2398.6445856196856,399.77409760328095,-266.51606506885395,3064.9347482918206,1.2,24548510.554142743,24.548510554142744,3656.795728410081
Electrification,2030,Electrification of thermal processes with renewable electricity,41,10660642.60275416,10.66064260275416,260.0,40,-10,310.0,2771.7670767160816,426.4257041101664,-106.6064260275416,3304.7992068537897,1.3,35209153.156896904,35.2091531568969,6961.594935263871
Bio_Naphtha,2030,Replace fossil naphtha with bio-based naphtha feedstock,41,7995481.952065619,7.995481952065619,180.0,80,-70,330.0,1439.1867513718114,639.6385561652495,-559.6837366445934,2638.509044181654,1.5,43204635.10896252,43.20463510896252,9600.103979445525
Green_Hydrogen,2030,Use green hydrogen for high-temperature processes,41,6396385.5616524955,6.396385561652496,500.0,100,-50,650.0,3198.1927808262476,639.6385561652496,-319.8192780826248,4157.6506150741225,2.0,49601020.67061502,49.601020670615014,13757.754594519647
Process_Replacement,2030,Replace entire process with low-carbon alternative technology,27,2911563.667172114,2.9115636671721137,630.0,70,20,680.0,1834.2851103184319,203.80945670204798,58.231273343442275,1979.8632936770375,1.8,52512584.33778713,52.51258433778713,15737.617888196684
