FacilityID,Company,Location,Product,TechID,TransitionYear,TransitionFraction,CapacityTransitioned_kt,EmissionsBefore_ktCO2,EmissionsAfter_ktCO2,AbatementMtCO2,AnnualCostUSD,CostPerTonCO2,FacilityAge_2025,EmissionIntensity
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,EE_001,2025,1.0,1100.0,1308.8088206914956,935.7983067944194,0.3730105138970762,-25737725.458898257,-69,34,1.1898262006286326
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,EE_001,2025,1.0,1525.0,1814.4849559586648,1297.3567435104455,0.5171282124482193,-35681846.65892713,-69,34,1.1898262006286326
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,EE_001,2025,1.0,1230.0,1463.486226773218,1046.392652142851,0.4170935746303671,-28779456.64949533,-69,33,1.1898262006286326
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,EE_001,2025,1.0,850.0,1011.3522705343375,723.1168734320514,0.28823539710228613,-19888242.40005774,-69,4,1.1898262006286326
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,EE_001,2025,1.0,1300.0,1546.774060817222,1105.943453484314,0.44083060733290813,-30417311.90597066,-69,34,1.1898262006286324
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,EE_001,2025,1.0,2285.0,2718.7528684364247,1943.9083009320439,0.7748445675043808,-53464275.15780228,-69,46,1.1898262006286324
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,EE_001,2025,1.0,900.0,1070.8435805657691,765.653160104525,0.3051904204612441,-21058139.011825845,-69,4,1.1898262006286324
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,EE_001,2025,1.0,900.0,1070.8435805657691,765.653160104525,0.3051904204612441,-21058139.011825845,-69,34,1.1898262006286324
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,EE_001,2025,1.0,660.0,785.2852924148975,561.4789840766518,0.2238063083382457,-15442635.275338953,-69,36,1.1898262006286324
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,EE_001,2025,1.0,1030.0,1225.520986647491,876.2475054529563,0.34927348119453483,-24099870.202422902,-69,4,1.1898262006286322
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,EE_001,2025,1.0,182.0,216.54836851441107,154.83208348780394,0.06171628502660712,-4258423.666835891,-69,7,1.1898262006286322
롯데케미칼_울산_M-X_1998,롯데케미칼,울산,M-X,EE_001,2025,1.0,360.0,418.6088532917559,299.3053301036055,0.11930352318815039,-8231943.099982377,-69,27,1.1628023702548775
롯데케미칼_울산_O-X_1980,롯데케미칼,울산,O-X,EE_001,2025,1.0,210.0,214.40941266163108,153.30273005306623,0.061106682608564854,-4216361.099990974,-69,45,1.020997203150624
SK지오센트릭_울산_O-X_1990,SK지오센트릭,울산,O-X,EE_001,2025,1.0,200.0,204.19944063012483,146.00260005053926,0.05819684057958557,-4015581.9999914044,-69,35,1.020997203150624
롯데케미칼_대산_LDPE_2005,롯데케미칼,대산,LDPE,EE_001,2025,1.0,500.0,389.0416852153865,278.1648049290014,0.11087688028638513,-7650504.739760574,-69,20,0.778083370430773
