year,emissions_mt_co2,active_facilities
2023,59.997162687112684,234
2024,59.997162687112684,234
2025,59.997162687112684,234
2026,51.63503663383539,181
2027,51.62736012239184,178
2028,51.625600587508124,175
2029,49.565418293240704,166
2030,47.574411224501524,147
2031,29.53786861970854,122
2032,23.656202011840136,106
2033,23.65295452866749,105
2034,23.65295452866749,105
2035,23.40635671498137,101
2036,22.336389984562405,92
2037,20.157974668895598,78
2038,20.15452518997573,76
2039,20.15333952577166,74
2040,20.15247789786468,73
2041,20.150527897864684,71
2042,20.150527897864684,71
2043,20.150527897864684,71
2044,20.145070639470845,69
2045,20.12609937498909,62
2046,19.537066439782585,57
2047,19.537066439782585,57
2048,19.12126807998605,51
2049,19.12082819626512,50
2050,19.120729507317805,49
