Year,CAPEX_USD,OPEX_USD,Carbon_Payments_USD,Stranded_Value_USD,Total_Cost_USD,Carbon_Price_USD_per_tCO2,BAU_Emissions_kt,Optimized_Emissions_kt,CAPEX_5yr_avg
2025,5697611.248501095,392854.59328229306,2459987.9800694427,100594000.0,109144453.82185283,50.0,59997.162687112694,49199.759601388854,
2026,0.0,0.0,2494789.4225044847,100594000.0,103088789.42250448,55.0,58348.215234023555,45359.80768189972,
2027,0.0,0.0,2491191.345744636,100594000.0,103085191.34574464,60.0,56699.267780934424,41519.855762410596,1139522.249700219
2028,0.0,0.0,2449193.749789895,100594000.0,103043193.7497899,65.0,55050.32032784529,37679.90384292146,2158325.822820219
2029,0.0,0.0,2368796.6346402625,100594000.0,102962796.63464026,70.0,53401.37287475616,33839.95192343232,2158325.822820219
2030,10791629.114101095,1929910.079844586,2250000.0002957396,100594000.0,115565539.19424142,75.0,51752.42542166703,30000.000003943194,2158325.822820219
2031,0.0,0.0,2240000.0002185553,100594000.0,102834000.00021856,80.0,51750.94864202377,28000.00000273194,2158325.822820219
2032,0.0,0.0,2210000.0001292583,100594000.0,102804000.00012925,85.0,51749.47186238052,26000.000001520686,2158325.822820219
2033,0.0,0.0,2160000.0000278493,100594000.0,102754000.00002785,90.0,51747.99508273727,24000.000000309436,3223522.2497002194
2034,0.0,0.0,2089999.999914327,100594000.0,102683999.99991433,95.0,51746.51830309402,21999.999999098178,3223522.2497002194
2035,16117611.248501096,3789964.673126879,1999999.9997886925,100594000.0,122501575.92141667,100.0,51745.04152345076,19999.999997886924,3223522.2497002194
2036,0.0,0.0,1889999.9996708327,100594000.0,102483999.99967083,105.0,50910.91546366092,17999.999996865074,3223522.2497002194
2037,0.0,0.0,1759999.9995427548,100594000.0,102353999.99954276,110.0,50076.78940387106,15999.999995843225,3223522.2497002194
2038,0.0,0.0,1609999.999404458,100594000.0,102203999.99940446,115.0,49242.663344081215,13999.999994821375,3223522.2497002194
2039,0.0,0.0,1439999.9992559436,100594000.0,102033999.99925594,120.0,48408.537284291364,11999.999993799529,3223522.2497002194
2040,16117611.248501096,5650019.266409173,1249999.99909721,100594000.0,123611630.51400748,125.0,47574.41122450152,9999.999992777679,3223522.2497002194
2041,0.0,0.0,1245499.998949759,100594000.0,101839499.99894977,132.5,42740.80032259749,9399.999992073652,3223522.2497002194
2042,0.0,0.0,1231999.998791747,100594000.0,101825999.99879175,140.0,37907.18942069346,8799.999991369621,3223522.2497002194
2043,0.0,0.0,1209499.9986231748,100594000.0,101803499.99862318,147.5,33073.57851878943,8199.999990665592,1883880.3953002193
2044,0.0,0.0,1177999.9984440424,100594000.0,101771999.99844404,155.0,28239.9676168854,7599.999989961564,1883880.3953002193
2045,9419401.976501096,5879347.403211465,1137499.9982543495,100594000.0,117030249.37796691,162.5,23406.35671498137,6999.999989257535,1883880.3953002193
2046,0.0,0.0,1036999.9989518137,100594000.0,101630999.99895181,170.0,22755.580951558033,6099.999993834198,1883880.3953002193
2047,0.0,0.0,922999.9997179278,100594000.0,101516999.99971792,177.5,22104.805188134695,5199.999998410861,1883880.3953002193
2048,0.0,0.0,795500.0005526919,100594000.0,101389500.0005527,185.0,21454.029424711356,4300.000002987524,1933725.2417002195
2049,0.0,0.0,654500.0014561057,100594000.0,101248500.00145611,192.5,20803.253661288018,3400.0000075641856,
2050,9668626.208501097,6964810.972493758,500000.0024281697,100594000.0,117727437.18342303,200.0,20152.477897864683,2500.0000121408484,
