scenario,baseline_2025_mtco2,final_2050_mtco2,reduction_percentage,total_facilities
30-year,25.406887427588888,13.092179546529971,48.46995884937324,87
40-year,52.689340726187005,19.36083665545261,63.25473731761817,87
50-year,60.89825306410024,19.655538257643684,67.72397028046984,87
