Company,FacilityID,Process,Year,Baseline_Emissions_kt,Final_Emissions_kt,Abatement_kt,Reduction_Percent,Technologies_Deployed,Technology_Count
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2025,2718.7528684364247,2711.4178594474142,7.3350089890104755,0.26979314943137495,Wind PPAs(1.1%),1
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2030,2718.7528684364247,2082.5276463032455,636.2252221331792,23.401362790987218,EE - Naphtha Cracker(5.0%); Solar Thermal(7.8%); Solar PV(20.0%),7
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2035,2718.7528684364247,1193.259539928652,1525.4933285077727,56.11004024007138,EE - Naphtha Cracker(9.8%); Solar Thermal(24.0%); Solar PV(39.3%),7
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2040,2718.7528684364247,1121.4855582300252,1597.2673102063995,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2045,2718.7528684364247,1121.4855582300252,1597.2673102063995,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,여천NCC_여수_Ethylene_1979,Naphtha Cracker,2050,2718.7528684364247,1121.4855582300252,1597.2673102063995,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2025,1463.486226773218,1459.5378411905122,3.948385582705896,0.26979314943137744,Wind PPAs(1.1%),1
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2030,1463.486226773218,1121.0105054498874,342.4757213233306,23.401362790987214,EE - Naphtha Cracker(5.0%); Solar Thermal(7.8%); Solar PV(20.0%),7
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2035,1463.486226773218,642.3235160228631,821.1627107503549,56.11004024007138,EE - Naphtha Cracker(9.8%); Solar Thermal(24.0%); Solar PV(39.3%),7
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2040,1463.486226773218,603.6880685439525,859.7981582292656,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2045,1463.486226773218,603.6880685439525,859.7981582292656,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,롯데케미칼_여수_Ethylene_1992,Naphtha Cracker,2050,1463.486226773218,603.6880685439525,859.7981582292656,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2025,1225.520986647491,1222.2146149806724,3.306371666818677,0.26979314943137095,Wind PPAs(1.1%),1
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2030,1225.520986647491,938.7323744824257,286.7886121650654,23.401362790987214,EE - Naphtha Cracker(5.0%); Solar Thermal(7.8%); Solar PV(20.0%),7
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2035,1225.520986647491,537.8806678890641,687.640318758427,56.11004024007138,EE - Naphtha Cracker(9.8%); Solar Thermal(24.0%); Solar PV(39.3%),7
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2040,1225.520986647491,505.52740699209005,719.993579655401,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2045,1225.520986647491,505.52740699209005,719.993579655401,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,LG화학_여수_Ethylene_2021,Naphtha Cracker,2050,1225.520986647491,505.52740699209005,719.993579655401,58.75,EE - Naphtha Cracker(10.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2025,861.2362473461536,858.9126909503939,2.323556395759738,0.2697931494313707,Wind PPAs(1.1%),1
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2030,861.2362473461536,648.9297755253692,212.3064718207844,24.65136279098722,EE - BTX Plant(10.0%); Solar Thermal(7.8%); Solar PV(20.0%),7
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2035,861.2362473461536,356.8525956137856,504.38365173236804,58.565074715166155,EE - BTX Plant(19.6%); Solar Thermal(24.0%); Solar PV(39.3%),7
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2040,861.2362473461536,333.72904584663456,527.507201499519,61.24999999999999,EE - BTX Plant(20.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2045,861.2362473461536,333.72904584663456,527.507201499519,61.24999999999999,EE - BTX Plant(20.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,SK지오센트릭_울산_톨루엔_2070,BTX Plant,2050,861.2362473461536,333.72904584663456,527.507201499519,61.24999999999999,EE - BTX Plant(20.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,SK인천석유화학_인천_P-X_2014,BTX Plant,2025,814.7160258690337,812.5179778439195,2.19804802511419,0.2697931494313735,Wind PPAs(1.1%),1
LG Chem,SK인천석유화학_인천_P-X_2014,BTX Plant,2030,814.7160258690337,613.877422615745,200.83860325328874,24.651362790987214,EE - BTX Plant(10.0%); Solar Thermal(7.8%); Solar PV(20.0%),7
LG Chem,SK인천석유화학_인천_P-X_2014,BTX Plant,2035,814.7160258690337,337.57697660240177,477.13904926663196,58.56507471516614,EE - BTX Plant(19.6%); Solar Thermal(24.0%); Solar PV(39.3%),7
LG Chem,SK인천석유화학_인천_P-X_2014,BTX Plant,2040,814.7160258690337,315.70246002425057,499.01356584478316,61.25000000000001,EE - BTX Plant(20.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
LG Chem,SK인천석유화학_인천_P-X_2014,BTX Plant,2045,814.7160258690337,315.70246002425057,499.01356584478316,61.25000000000001,EE - BTX Plant(20.0%); Solar Thermal(25.0%); Solar PV(40.0%),7
