FacilityID,Company,Process,Capacity_kt,Baseline_Emissions_kt,Emission_Reduction_kt,Final_Emissions_kt,Reduction_Percent,Technologies_Count,Annual_Cost_USD,Total_CAPEX_USD,Cost_per_tCO2_Avoided,Construction_Jobs,Operational_Jobs,Local_Economic_Impact_USD,Technology_Details,CapacityCategory
롯데케미칼_대산_Ethylene_1991,Lotte Chemical,Naphtha Cracker,1100.0,1308.8088206914956,1177.9279386223461,130.8808820691495,90.0,6,70621142.61647862,235858256.22877997,59953.7037037037,1179.2912811438998,470.8076174431908,424544861.211804,"EE_NCC(10.0%,109.1kt); RE_002(25.0%,272.7kt); RE_003(30.0%,327.2kt); HP_001(20.0%,218.1kt); HP_002(15.0%,163.6kt)",>1000
HD현대케미칼_대산_Ethylene_2021,HD Hyundai Chemical,Naphtha Cracker,850.0,1011.3522705343375,910.2170434809038,101.13522705343371,90.0,6,54570882.930915296,182254107.08587542,59953.7037037037,911.2705354293771,363.805886206102,328057392.7545758,"EE_NCC(10.0%,84.3kt); RE_002(25.0%,210.7kt); RE_003(30.0%,252.8kt); HP_001(20.0%,168.6kt); HP_002(15.0%,126.4kt)",500-1000
LG화학_대산_Ethylene_1991,SK Chemicals,Naphtha Cracker,1300.0,1546.774060817222,1392.0966547355,154.6774060817222,90.0,6,83461350.36492927,278741575.5431036,59953.7037037037,1393.707877715518,556.4090024328618,501734835.97758645,"EE_NCC(10.0%,128.9kt); RE_002(25.0%,322.2kt); RE_003(30.0%,386.7kt); HP_001(20.0%,257.8kt); HP_002(15.0%,193.3kt)",>1000
한화토탈에너지스_대산_Ethylene_1991,Lotte Chemical,Naphtha Cracker,1525.0,1814.4849559586648,1633.0364603627984,181.44849559586646,90.0,6,97906584.08193628,326985309.7717177,59953.7037037037,1634.9265488585886,652.7105605462419,588573557.5890919,"EE_NCC(10.0%,151.2kt); RE_002(25.0%,378.0kt); RE_003(30.0%,453.6kt); HP_001(20.0%,302.4kt); HP_002(15.0%,226.8kt)",>1000
롯데케미칼_여수_Ethylene_1992,LG Chem,Naphtha Cracker,1230.0,1463.486226773218,1317.1376040958962,146.34862267732183,90.0,6,78967277.65297154,263732413.7830903,59953.703703703686,1318.6620689154515,526.4485176864769,474718344.80956256,"EE_NCC(10.0%,122.0kt); RE_002(25.0%,304.9kt); RE_003(30.0%,365.9kt); HP_001(20.0%,243.9kt); HP_002(15.0%,182.9kt)",>1000
LG화학_여수_Ethylene_2021,LG Chem,Naphtha Cracker,1030.0,1225.520986647491,1102.968887982742,122.55209866474911,90.0,6,66127069.90452088,220849094.46876663,59953.70370370371,1104.2454723438332,440.84713269680583,397528370.04377997,"EE_NCC(10.0%,102.1kt); RE_002(25.0%,255.3kt); RE_003(30.0%,306.4kt); HP_001(20.0%,204.3kt); HP_002(15.0%,153.2kt)",>1000
여천NCC_여수_Ethylene_1979,LG Chem,Naphtha Cracker,2285.0,2718.7528684364247,2446.8775815927825,271.87528684364224,90.00000000000001,6,146699373.52604878,489941923.16614753,59953.70370370371,2449.7096158307377,977.9958235069919,881895461.6990656,"EE_NCC(10.0%,226.6kt); RE_002(25.0%,566.4kt); RE_003(30.0%,679.7kt); HP_001(20.0%,453.1kt); HP_002(15.0%,339.8kt)",>1000
GS칼텍스_여수_Ethylene_2021,SK Chemicals,Naphtha Cracker,900.0,1070.8435805657691,963.7592225091922,107.08435805657689,90.0,6,57780934.86802796,192974936.91445634,59953.70370370371,964.8746845722817,385.20623245351976,347354886.44602144,"EE_NCC(10.0%,89.2kt); RE_002(25.0%,223.1kt); RE_003(30.0%,267.7kt); HP_001(20.0%,178.5kt); HP_002(15.0%,133.9kt)",500-1000
대한유화_온산_Ethylene_1991,Lotte Chemical,Naphtha Cracker,900.0,1070.8435805657691,963.7592225091922,107.08435805657689,90.0,6,57780934.86802796,192974936.91445634,59953.70370370371,964.8746845722817,385.20623245351976,347354886.44602144,"EE_NCC(10.0%,89.2kt); RE_002(25.0%,223.1kt); RE_003(30.0%,267.7kt); HP_001(20.0%,178.5kt); HP_002(15.0%,133.9kt)",500-1000
S-Oil_온산_Ethylene_2018,SK Chemicals,Naphtha Cracker,182.0,216.54836851441107,184.0661132372494,32.48225527716167,85.0,4,8391249.279933428,20842780.469512068,45588.23529411765,104.21390234756034,55.94166186622286,37517004.84512173,"EE_NCC(10.0%,21.7kt); RE_002(25.0%,54.1kt); RE_003(30.0%,65.0kt); HP_001(20.0%,43.3kt)",100-300
SK지오센트릭_울산_Ethylene_1989,LG Chem,Naphtha Cracker,660.0,785.2852924148975,706.7567631734078,78.52852924148976,90.0,6,42372685.56988717,141514953.737268,59953.70370370369,707.57476868634,282.48457046591443,254726916.7270824,"EE_NCC(10.0%,65.4kt); RE_002(25.0%,163.6kt); RE_003(30.0%,196.3kt); HP_001(20.0%,130.9kt); HP_002(15.0%,98.2kt)",500-1000
