year,positive_growth_30year_emissions_mtco2,positive_growth_40year_emissions_mtco2,positive_growth_50year_emissions_mtco2,zero_growth_30year_emissions_mtco2,zero_growth_40year_emissions_mtco2,zero_growth_50year_emissions_mtco2,negative_growth_30year_emissions_mtco2,negative_growth_40year_emissions_mtco2,negative_growth_50year_emissions_mtco2
2025,25.406887427588888,52.689340726187005,60.89825306410024,25.406887427588888,52.689340726187005,60.89825306410024,25.406887427588888,52.689340726187005,60.89825306410024
2026,24.167558682762184,52.75997928935755,61.02004957022843,24.11932004267683,52.65466994945864,60.89825306410024,24.071081402591474,52.54936060955973,60.77645655797204
2027,20.244318343794692,52.86549924793626,61.142089669368886,20.163583356037122,52.65466994945864,60.89825306410024,20.083009676946396,52.444261888340606,60.6549036448561
2028,20.17065681341364,52.97123024643215,61.26437384870763,20.050115359471576,52.65466994945864,60.89825306410024,19.93005510829813,52.339373364563926,60.53359383756638
2029,20.210998127040472,50.62791194209811,53.417130929483285,20.050115359471576,50.22490569083427,52.9919220503618,19.890194998081544,49.82431023665078,52.56925678519447
2030,19.85288143576656,49.509874240390744,53.21834592644201,19.655538257643684,49.01773228292858,52.689340726187005,19.459767525726306,48.52951175189186,52.164550681620376
2031,19.89258719863809,31.251861143113533,53.3247826182949,19.655538257643684,30.87945002765106,52.689340726187005,19.420847990674858,30.510744461014053,52.06022158025715
2032,19.93237237303537,25.8414358994017,53.431432183531484,19.655538257643684,25.48253275863259,52.689340726187005,19.382006294693507,25.12791071190739,51.956101137096624
2033,19.972237117781443,25.893118771200506,53.53829504789856,19.655538257643684,25.48253275863259,52.689340726187005,19.343242282104114,25.07765489048358,51.85218893482245
2034,20.012181592017,25.944905008742907,53.64537163799435,19.655538257643684,25.48253275863259,52.689340726187005,19.30455579753991,25.02749958070261,51.74848455695278
2035,20.05220595520103,25.91962289206193,53.752662381270326,19.655538257643684,25.406887427588888,52.689340726187005,19.26594668594483,24.90329861332475,51.644987587838884
2036,19.898994690731797,24.655283299234874,53.824726498696606,19.466424930034435,24.11932004267683,52.65466994945864,19.042420601872887,23.593969541639012,51.507782011034855
2037,19.938792680113263,20.652868190702517,53.932375951694,19.466424930034435,20.163583356037122,52.65466994945864,19.004335760669147,19.68494521277727,51.4047664470128
2038,19.870303509412604,20.577720099675204,54.0402407035974,19.36083665545261,20.050115359471576,52.65466994945864,18.863451406545813,19.535022350003295,51.30195691411877
2039,19.91004411643143,20.61887553987456,51.649631978403846,19.36083665545261,20.050115359471576,50.22490569083427,18.82572450373272,19.495952305303295,48.836744743431105
2040,19.94986420466429,20.253531708772552,50.50903119879418,19.36083665545261,19.655538257643684,49.01773228292858,18.788073054725256,19.074056317217746,47.56761040330656
2041,18.576915497915127,20.294038772190095,31.88255380802696,17.99243991682191,19.655538257643684,30.87945002765106,17.42523812594699,19.035908204583304,29.90599231775254
2042,18.61406932891095,20.334626849734473,26.362940970666042,17.99243991682191,19.655538257643684,25.48253275863259,17.390387649695096,18.99783638817414,24.62985148303059
2043,18.651297467568774,20.375296103433943,26.415666852607377,17.99243991682191,19.655538257643684,25.48253275863259,17.35560687439571,18.959840715397796,24.580591780064527
2044,17.673709324708543,20.416046695640816,26.46849818631259,17.0153543908408,19.655538257643684,25.48253275863259,16.380278572287256,18.921921033967,24.531430596504396
2045,17.709056743357962,20.456878789032093,26.442705852161016,17.0153543908408,19.655538257643684,25.406887427588888,16.347518015142683,18.88407719189906,24.409691411116583
2046,15.86654535337312,20.30057557364703,25.152850668326302,15.214589010046305,19.466424930034435,24.11932004267683,14.588196090260134,18.664981608649217,23.126314494198763
2047,15.898278444079867,20.341176724794327,21.06966296710482,15.214589010046305,19.466424930034435,20.163583356037122,14.55901969807961,18.62765164543192,19.29477076709555
2048,13.707856450453487,20.271305376648638,20.992998315205302,13.092179546529971,19.36083665545261,20.050115359471576,12.503004923977795,18.489559753984057,19.14781951888519
2049,13.735272163354393,20.311847987401936,21.03498431183571,13.092179546529971,19.36083665545261,20.050115359471576,12.477998914129842,18.45258063447609,19.109523879847412
2050,13.762742707681102,20.35247168337674,20.66226749026149,13.092179546529971,19.36083665545261,19.655538257643684,12.453042916301582,18.415675473207134,18.695990273851695
