year,30_year_emissions_mtco2,40_year_emissions_mtco2,50_year_emissions_mtco2
2025,25.406887427588888,52.689340726187005,60.89825306410024
2026,24.11932004267683,52.65466994945864,60.89825306410024
2027,20.163583356037122,52.65466994945864,60.89825306410024
2028,20.050115359471576,52.65466994945864,60.89825306410024
2029,20.050115359471576,50.22490569083427,52.9919220503618
2030,19.655538257643684,49.01773228292858,52.689340726187005
2031,19.655538257643684,30.87945002765106,52.689340726187005
2032,19.655538257643684,25.48253275863259,52.689340726187005
2033,19.655538257643684,25.48253275863259,52.689340726187005
2034,19.655538257643684,25.48253275863259,52.689340726187005
2035,19.655538257643684,25.406887427588888,52.689340726187005
2036,19.466424930034435,24.11932004267683,52.65466994945864
2037,19.466424930034435,20.163583356037122,52.65466994945864
2038,19.36083665545261,20.050115359471576,52.65466994945864
2039,19.36083665545261,20.050115359471576,50.22490569083427
2040,19.36083665545261,19.655538257643684,49.01773228292858
2041,17.99243991682191,19.655538257643684,30.87945002765106
2042,17.99243991682191,19.655538257643684,25.48253275863259
2043,17.99243991682191,19.655538257643684,25.48253275863259
2044,17.0153543908408,19.655538257643684,25.48253275863259
2045,17.0153543908408,19.655538257643684,25.406887427588888
2046,15.214589010046305,19.466424930034435,24.11932004267683
2047,15.214589010046305,19.466424930034435,20.163583356037122
2048,13.092179546529971,19.36083665545261,20.050115359471576
2049,13.092179546529971,19.36083665545261,20.050115359471576
2050,13.092179546529971,19.36083665545261,19.655538257643684
