year,scenario,region,facility_id,company,product,process,technology,capacity_tpy,production_t,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd,opex_usd_yr,fuel_cost_usd_yr,total_cost_usd,mac_usd_per_tco2,cost_component_capex_annual_usd,cost_component_opex_annual_usd,cost_component_new_energy_usd,cost_component_fuel_savings_usd,residual_value_usd,remaining_life_years,end_of_life_year,elec_demand_mwh,added_elec_mwh,h2_demand_t,heat_demand_gj,install_year,tech_deployed
2025,S3_Tech_Constraints,Daesan,Lotte Chemical_Ethylene_Daesan,Lotte Chemical,Ethylene,Naphtha Cracker,Baseline,1100000,770000.0,1621828.8370785657,1621828.8370785657,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,65773.84245853205,0.0,0.0,28777691.88616006,,
2025,S3_Tech_Constraints,Daesan,HD Hyundai Chemical_Ethylene_Daesan,HD Hyundai Chemical,Ethylene,Naphtha Cracker,Baseline,850000,595000.0,1253231.3741061643,1253231.3741061643,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,50825.241899774766,0.0,0.0,22237307.36657823,,
2025,S3_Tech_Constraints,Daesan,LG Chem_Ethylene_Daesan,LG Chem,Ethylene,Naphtha Cracker,Baseline,1300000,910000.0,1916706.8074564866,1916706.8074564866,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,77732.72290553787,0.0,0.0,34009999.50182553,,
2025,S3_Tech_Constraints,Daesan,Hanwha TotalEnergies_Ethylene_Daesan,Hanwha TotalEnergies,Ethylene,Naphtha Cracker,Baseline,1525000,1067500.0,2248444.524131648,2248444.524131648,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,91186.46340841943,0.0,0.0,39896345.56944917,,
2025,S3_Tech_Constraints,Yeosu,Lotte Chemical_Ethylene_Yeosu,Lotte Chemical,Ethylene,Naphtha Cracker,Baseline,1230000,861000.0,1813499.5178242144,1813499.5178242144,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,73547.11474908584,0.0,0.0,32178691.83634261,,
2025,S3_Tech_Constraints,Yeosu,LG Chem_Ethylene_Yeosu,LG Chem,Ethylene,Naphtha Cracker,Baseline,1030000,721000.0,1518621.5474462933,1518621.5474462933,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,61588.23430208001,0.0,0.0,26946384.220677145,,
2025,S3_Tech_Constraints,Yeosu,Yeochon NCC_Ethylene_Yeosu,Yeochon NCC,Ethylene,Naphtha Cracker,Baseline,2285000,1599500.0,3368980.811567748,3368980.811567748,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,136630.20910704156,0.0,0.0,59779114.50897794,,
2025,S3_Tech_Constraints,Yeosu,GS Caltex_Ethylene_Yeosu,GS Caltex,Ethylene,Naphtha Cracker,Baseline,900000,630000.0,1326950.8667006448,1326950.8667006448,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,53814.96201152622,0.0,0.0,23545384.270494595,,
2025,S3_Tech_Constraints,Ulsan,Daehan Oil Chemical_Ethylene_Onsan,Daehan Oil Chemical,Ethylene,Naphtha Cracker,Baseline,900000,630000.0,1326950.8667006448,1326950.8667006448,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,53814.96201152622,0.0,0.0,23545384.270494595,,
2025,S3_Tech_Constraints,Ulsan,S-Oil_Ethylene_Onsan,S-Oil,Ethylene,Naphtha Cracker,Baseline,182000,127399.99999999999,268338.9530439081,268338.9530439081,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,10882.581206775301,0.0,0.0,4761399.930255573,,
