year,grid_lcoe_krw_per_kwh,lcoh_krw_per_kg
2023,32987.932668132,1815239.2
2024,33184.371604373824,1802300.2
2025,33893.135167306886,1816527.29
2026,35158.83259787416,1859180.52
2027,36762.14977931275,1917630.83
2028,39429.3081721486,2028503.26
2029,42320.837010401236,2146944.99
2030,45019.66165524535,2251621.5
2031,47174.28633081922,2342825.95
2032,48851.62669732381,2408992.2
2033,50261.97982267228,2460915.44
2034,52780.29329227514,2565698.47
2035,55126.14415425828,2660397.52
2036,57912.751525849846,2774566.87
2037,57968.907258680236,2756952.78
2038,58272.54967257907,2750980.92
2039,58453.481186117955,2739047.65
2040,58505.89624659421,2721011.88
2041,58425.848585555636,2696826.43
2042,58211.288028931944,2666536.47
2043,57862.613135411426,2630301.37
2044,57381.88326917751,2588354.83
2045,56772.73150562927,2540998.07
2046,56041.6336553252,2488653.47
2047,55196.24435108482,2431786.27
2048,54246.04187625914,2370930.66
2049,53201.358597354556,2306644.61
2050,52073.87781624158,2239529.7
