product,process,company,location,region,complex,capacity_kt,year_built,age_2025,remaining_life,retirement_year_40yr,facility_lifetime,Naphtha_GJ_per_tonne,Electricity_kWh_per_tonne,LNG_GJ_per_tonne,Fuel_Gas_GJ_per_tonne,Byproduct_Gas_GJ_per_tonne,LPG_GJ_per_tonne,Fuel_Oil_GJ_per_tonne,Diesel_GJ_per_tonne,data_quality,emission_factor
Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan,Daesan Complex,1100,1991,34.0,6.0,2031.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan,Daesan Complex,850,2021,4.0,36.0,2061.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,LG Chem,Daesan,Daesan,Daesan Complex,1300,1991,34.0,6.0,2031.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan,Daesan Complex,1525,1991,34.0,6.0,2031.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu,Yeosu Complex,1230,1992,33.0,7.0,2032.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu,Yeosu Complex,1030,2021,4.0,36.0,2061.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu,Yeosu Complex,2285,1979,46.0,-6.0,2019.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu,Yeosu Complex,900,2021,4.0,36.0,2061.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan,Ulsan Complex,900,1991,34.0,6.0,2031.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,S-Oil,Onsan,Ulsan,Ulsan Complex,182,2018,7.0,33.0,2058.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan,Ulsan Complex,660,1989,36.0,4.0,2029.0,,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0,,
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan,Daesan Complex,550,1997,28.0,12.0,2037.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,Daesan,Daesan Complex,420,2011,14.0,26.0,2051.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan,Daesan Complex,451,2021,4.0,36.0,2061.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,LG Chem,Daesan,Daesan,Daesan Complex,680,1991,34.0,6.0,2031.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan,Daesan Complex,1064,1991,34.0,6.0,2031.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu,Yeosu Complex,641,1992,33.0,7.0,2032.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu,Yeosu Complex,1300,2021,4.0,36.0,2061.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu,Yeosu Complex,1289,1979,46.0,-6.0,2019.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu,Yeosu Complex,970,2021,4.0,36.0,2061.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan,Ulsan Complex,560,1991,34.0,6.0,2031.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,S-Oil,Onsan,Ulsan,Ulsan Complex,840,2018,7.0,33.0,2058.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,SK Advanced,Ulsan,Ulsan,Ulsan Complex,600,2016,9.0,31.0,2056.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,SK Energy,Ulsan,Ulsan,Ulsan Complex,620,1996,29.0,11.0,2036.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan,Ulsan Complex,380,1989,36.0,4.0,2029.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,Ulsan,Ulsan Complex,300,1997,28.0,12.0,2037.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Propylene,Naphtha Cracker,Hyosung Chemical,Ulsan,Ulsan,Ulsan Complex,500,1991,34.0,6.0,2031.0,,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0,,
Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan,Daesan Complex,190,1997,28.0,12.0,2037.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan,Daesan Complex,163,2021,4.0,36.0,2061.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,LG Chem,Daesan,Daesan,Daesan Complex,200,1991,34.0,6.0,2031.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan,Daesan Complex,150,1991,34.0,6.0,2031.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,Yeosu,Yeosu Complex,147,1992,33.0,7.0,2032.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,Yeosu,Yeosu Complex,130,2022,3.0,37.0,2062.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu,Yeosu Complex,160,2011,14.0,26.0,2051.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,LG Chem,Yeosu,Yeosu,Yeosu Complex,306,1991,34.0,6.0,2031.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu,Yeosu Complex,378,1992,33.0,7.0,2032.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,Ulsan,Ulsan Complex,90,1979,46.0,-6.0,2019.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,Ulsan,Ulsan Complex,146,2023,2.0,38.0,2063.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan,Ulsan Complex,130,1989,36.0,4.0,2029.0,,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0,,
Benzene,BTX Plant,OCI,Gwangyang,Other,Other Regions,200,1995,30.0,10.0,2035.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,Lotte Chemical,Daesan,Daesan,Daesan Complex,240,2011,14.0,26.0,2051.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan,Daesan Complex,410,2016,9.0,31.0,2056.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,HDHyundai Oilbank,Daesan,Daesan,Daesan Complex,338,1997,28.0,12.0,2037.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,LG Chem,Daesan,Daesan,Daesan Complex,270,1991,34.0,6.0,2031.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan,Daesan Complex,1267,1991,34.0,6.0,2031.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
Benzene,BTX Plant,Lotte Chemical,Yeosu,Yeosu,Yeosu Complex,235,1992,33.0,7.0,2032.0,,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0,,
