year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,46.489879822295336,7.360875287291413,53.85075510958674,0.436,262,0,1.0,1.0,76098.4
2026,45.09518342762647,6.855102117895367,51.95028554552184,0.4186,262,0,1.0,0.97,73815.44799999999
2027,43.886446552246795,6.3940479541437645,50.28049450639056,0.4012,262,0,1.0,0.944,71836.8896
2028,42.63121979704483,5.941789698705645,48.57300949575047,0.3838,262,0,1.0,0.917,69782.2328
2029,41.422482921665136,5.511580303646431,46.93406322531156,0.3664,262,0,1.0,0.891,67803.67439999999
2030,40.67864484450841,5.155567180863796,45.83421202537221,0.349,262,0,1.0,0.875,66586.09999999999
2031,39.469907969128734,4.803138264098345,44.27304623322708,0.3351,262,0,1.0,0.849,64607.5416
2032,38.261171093749056,4.462912192877971,42.72408328662703,0.3212,262,0,1.0,0.823,62628.983199999995
2033,37.05243421836938,4.134888967202677,41.18732318557206,0.3073,262,0,1.0,0.797,60650.4248
2034,35.8436973429897,3.8190685870724606,39.66276593006216,0.2934,262,0,1.0,0.771,58671.8664
2035,35.14634914565527,3.567357041181767,38.71370618683704,0.2795,262,0,1.0,0.756,57530.3904
2036,33.937612270275594,3.1008193629959617,37.038431633271564,0.2516,262,0,1.0,0.73,55551.831999999995
2037,32.728875394895915,2.6575866211555166,35.38646201605143,0.2236,262,0,1.0,0.704,53573.27359999999
2038,31.520138519516237,2.240079800789327,33.76021832030556,0.1957,262,0,1.0,0.678,51594.7152
2039,30.311401644136556,1.8470664617690125,32.15846810590557,0.1678,262,0,1.0,0.652,49616.1568
2040,27.8939278933772,1.4161243557293666,29.31005224910657,0.1398,262,0,1.0,0.6,45659.03999999999
2041,27.8939278933772,1.2753222917476914,29.16925018512489,0.1259,262,0,1.0,0.6,45659.03999999999
2042,27.8939278933772,1.1335072632769392,29.027435156654143,0.1119,262,0,1.0,0.6,45659.03999999999
2043,27.8939278933772,0.9916922348061871,28.885620128183387,0.0979,262,0,1.0,0.6,45659.03999999999
2044,27.8939278933772,0.850890170824512,28.74481806420171,0.084,262,0,1.0,0.6,45659.03999999999
2045,27.8939278933772,0.70907514235376,28.603003035730957,0.07,262,0,1.0,0.6,45659.03999999999
2046,27.8939278933772,0.567260113883008,28.46118800726021,0.056,262,0,1.0,0.6,45659.03999999999
2047,27.8939278933772,0.425445085412256,28.319372978789456,0.042,262,0,1.0,0.6,45659.03999999999
2048,27.8939278933772,0.283630056941504,28.177557950318704,0.028,262,0,1.0,0.6,45659.03999999999
2049,27.8939278933772,0.141815028470752,28.03574292184795,0.014,262,0,1.0,0.6,45659.03999999999
2050,27.8939278933772,0.0,27.8939278933772,0.0,262,0,1.0,0.6,45659.03999999999
