check,expected,model,difference,pct_diff,status,unit
Baseline NCC Emissions,44.66058,56.84437494609307,12.183794946093066,21.433598236672076,CHECK,MtCO2
Baseline BTX Emissions,8.49882,9.097422046391248,0.5986020463912478,6.5799084986795835,PASS,MtCO2
Heat_Pump Ann. CAPEX 2025,40.0,40.0,0.0,0.0,PASS,USD/tCO2
Heat_Pump Ann. CAPEX 2050,20.0,20.0,0.0,0.0,PASS,USD/tCO2
NCC-H2 Ann. CAPEX 2025,68.0,68.0,0.0,0.0,PASS,USD/tCO2
NCC-H2 Ann. CAPEX 2050,34.0,31.2,2.8000000000000007,8.974358974358978,PASS,USD/tCO2
NCC-Electricity Ann. CAPEX 2025,60.0,60.0,0.0,0.0,PASS,USD/tCO2
NCC-Electricity Ann. CAPEX 2050,30.0,36.0,6.0,16.666666666666664,CHECK,USD/tCO2
RE_PPA Ann. CAPEX 2025,0.0,0.0,0.0,0.0,PASS,USD/tCO2
RE_PPA Ann. CAPEX 2050,0.0,0.0,0.0,0.0,PASS,USD/tCO2
RDH Ann. CAPEX 2025,36.0,36.0,0.0,0.0,PASS,USD/tCO2
RDH Ann. CAPEX 2050,18.0,18.0,0.0,0.0,PASS,USD/tCO2
Shaheen H2 Demand 2050,5818.351338953964,4977.222363136283,841.1289758176808,16.899565951633765,CHECK,kt H2
Shaheen NCC-H2 Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Shaheen NCC-Elec Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Restructure 25% H2 Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Restructure 25% Elec Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Restructure 40% H2 Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Restructure 40% Elec Net Zero 2050,0.0,0.0,0.0,0.0,PASS,MtCO2
Shaheen NCC-H2 Abatement Balance,66.49428880082098,66.49428880082098,0.0,0.0,PASS,MtCO2
Shaheen NCC-Elec Abatement Balance,66.49428880082098,66.49428880082098,0.0,0.0,PASS,MtCO2
Restructure 25% H2 Abatement Balance,39.95439440118896,39.95439440118896,0.0,0.0,PASS,MtCO2
Restructure 25% Elec Abatement Balance,39.95439440118896,39.95439440118896,0.0,0.0,PASS,MtCO2
Restructure 40% H2 Abatement Balance,34.692672417819644,34.692672417819644,0.0,0.0,PASS,MtCO2
Restructure 40% Elec Abatement Balance,34.692672417819644,34.692672417819644,0.0,0.0,PASS,MtCO2
Shaheen NCC-H2 Tech Breakdown Sum,66.49428880082098,66.49428880082098,0.0,0.0,PASS,MtCO2
Shaheen NCC-Elec Tech Breakdown Sum,66.49428880082098,66.49428880082098,0.0,0.0,PASS,MtCO2
Restructure 25% H2 Tech Breakdown Sum,39.95439440118896,39.95439440118896,0.0,0.0,PASS,MtCO2
Restructure 25% Elec Tech Breakdown Sum,39.95439440118896,39.95439440118896,0.0,0.0,PASS,MtCO2
Restructure 40% H2 Tech Breakdown Sum,34.692672417819644,34.692672417819644,0.0,0.0,PASS,MtCO2
Restructure 40% Elec Tech Breakdown Sum,34.692672417819644,34.692672417819644,0.0,0.0,PASS,MtCO2
