year,grid_ef_tco2_per_mwh
2025,0.436
2026,0.4186
2027,0.4012
2028,0.3838
2029,0.3664
2030,0.349
2031,0.3351
2032,0.3212
2033,0.3073
2034,0.2934
2035,0.2795
2036,0.2516
2037,0.2236
2038,0.1957
2039,0.1678
2040,0.1398
2041,0.1259
2042,0.1119
2043,0.0979
2044,0.084
2045,0.07
2046,0.056
2047,0.042
2048,0.028
2049,0.014
2050,0.0
