year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd,scenario
2025,66.19312069636608,66.19312069636608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19312069636608,0.0,0.0,Shaheen NCC-H2
2026,65.15035136839943,75.73786008522465,0.4486435704877927,0.0,0.0,10.138865146337434,0.0,0.0,0.0020861926027682,10.587508716825226,65.15035136839943,0.0,348.1474106985271,Shaheen NCC-H2
2027,63.98383949939783,75.35363136962833,1.2309267238930666,0.0,0.0,10.138865146337434,0.0,0.0,0.0057238092661027,11.3697918702305,63.98383949939783,0.0,936.424342059293,Shaheen NCC-H2
2028,62.69358508936128,74.969402654032,1.7876053235190807,0.0,0.0,10.138865146337434,0.3493470948142028,0.0,0.0083123647543637,12.275817564670715,62.69358508936128,0.0,1570.5785791092972,Shaheen NCC-H2
2029,61.279588138289775,74.58517393843566,1.8660169717726656,0.0,0.0,10.138865146337434,1.3007036820357851,0.0,0.0086769789187428,13.305585800145884,61.279588138289775,0.0,2228.5599131434155,Shaheen NCC-H2
2030,59.74184864618333,74.20094522283934,1.9444286200262504,0.0310241425161621,0.0,10.138865146337434,2.3447786677761626,3.050476161851376,0.009041593083122,14.459096576656007,59.74184864618333,0.0,2956.717633977648,Shaheen NCC-H2
2031,57.50462444361294,73.8940038925641,2.0070678102977917,1.8986678245397728,0.0,10.138865146337434,2.3447786677761626,186.6881875950481,0.0093328653178847,16.38937944895116,57.50462444361294,0.0,5106.506244586202,Shaheen NCC-H2
2032,55.186723818885625,73.58706256228888,2.069707000569334,3.846987928720323,0.0,10.138865146337434,2.3447786677761626,378.2584793561297,0.0096241375526474,18.400338743403253,55.186723818885625,0.0,7293.365866647456,Shaheen NCC-H2
2033,52.78814677200137,73.28012123201364,2.1323461908408756,5.8759844550578,0.0,10.138865146337434,2.3447786677761626,577.7613514450949,0.00991540978741,20.491974460012273,52.78814677200137,0.0,9512.907702796056,Shaheen NCC-H2
2034,50.30889330296018,72.97317990173842,2.1949853811124176,7.985657403552226,0.0,10.138865146337434,2.3447786677761626,785.1968038619458,0.0102066820221727,22.66428659877824,50.30889330296018,0.0,11760.742955666688,Shaheen NCC-H2
2035,47.748963411762055,72.66623857146318,2.2576245713839596,10.176006774203572,0.0,10.138865146337434,2.3447786677761626,1000.5648366066794,0.0104979542569354,24.917275159701127,47.748963411762055,0.0,14032.482827893984,Shaheen NCC-H2
2036,44.05460569354078,72.05014769990355,2.383353593583673,13.1285445986655,0.0,10.138865146337434,2.3447786677761626,1290.8757209701582,0.011082594210164,27.99554200636277,44.05460569354078,0.0,17037.18812898442,Shaheen NCC-H2
