year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2
2025,Heat_Pump,True,1.349887285876806,40.0,24.0,290.2926149558753,354.2926149558753
2025,NCC-H2,False,36.54561692003751,68.0,68.0,806.0294208085579,942.029420808558
2025,NCC-Electricity,False,36.54561692003751,60.0,60.0,317.8093676977586,437.8093676977586
2025,RE_PPA,True,6.2471477417414825,0.0,0.0,75.8761255039493,75.8761255039493
2025,RDH,False,2.038937971979272,36.0,27.0,712.4823347998939,775.4823347998939
2030,Heat_Pump,True,1.81677931576206,32.0,19.2,274.76305519420174,325.96305519420173
2030,NCC-H2,True,39.3596294228804,52.0,52.0,942.9491424280174,1046.9491424280172
2030,NCC-Electricity,True,39.3596294228804,54.0,54.0,386.6636896193868,494.6636896193868
2030,RE_PPA,True,6.296261386782271,0.0,0.0,130.06281616819064,130.06281616819064
2030,RDH,True,2.195936195821676,28.8,21.6,866.8437005430193,917.2437005430191
2035,Heat_Pump,True,2.253410170611158,28.0,16.8,272.8380754475703,317.6380754475703
2035,NCC-H2,True,41.9909138411231,44.7,44.7,1131.5553903128218,1220.955390312822
2035,NCC-Electricity,True,41.9909138411231,48.0,48.0,470.4355002281198,566.4355002281197
2035,RE_PPA,True,6.256073268854693,0.0,0.0,238.3830266585916,238.3830266585916
2035,RDH,True,2.3427397298041837,25.2,18.9,1054.647904192821,1098.747904192821
2040,Heat_Pump,True,2.74554158165601,24.0,14.4,266.7275358324146,305.1275358324146
2040,NCC-H2,True,44.11055962248528,37.4,37.4,1113.4545242915867,1188.254524291587
2040,NCC-Electricity,True,44.11055962248528,42.0,42.0,470.4355002281198,554.4355002281197
2040,RE_PPA,True,5.801753798721543,0.0,0.0,243.6539742098404,243.6539742098404
2040,RDH,True,2.4609981321789816,21.6,16.2,1054.647904192821,1092.447904192821
2045,Heat_Pump,True,3.2507442654068344,22.0,13.2,262.08212209302314,297.28212209302313
2045,NCC-H2,True,45.90129485156711,34.3,34.300000000000004,1113.4545242915867,1182.0545242915866
2045,NCC-Electricity,True,45.90129485156711,39.0,39.0,470.4355002281198,548.4355002281197
2045,RE_PPA,True,4.534887473469197,0.0,0.0,261.1156590210868,261.1156590210868
2045,RDH,True,2.5609060928059657,19.8,14.85,1054.6479041928212,1089.2979041928213
2050,Heat_Pump,True,3.5859251030661916,20.0,12.0,269.367188379687,301.367188379687
2050,NCC-H2,True,47.07075459300832,31.2,31.2,1113.4545242915867,1175.8545242915868
2050,NCC-Electricity,True,47.07075459300832,36.0,36.0,470.4355002281198,542.4355002281197
2050,RE_PPA,True,2.2272878117595525,0.0,0.0,-0.0951934261962605,-0.0951934261962605
2050,RDH,True,2.626152107909302,18.0,13.5,1054.647904192821,1086.147904192821
