product_group,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Olefins,59380.14761985947,26633,39,59.38014761985947,84.43759228955122
Aromatics,9406.392480317505,15214,40,9.406392480317505,13.375735241569439
Polymers,1213.144854622688,20805,63,1.213144854622688,1.7250720102376167
Other,313.8991016485863,39155,107,0.31389910164858625,0.4463593545563242
Intermediates,10.718200104251723,2955,7,0.010718200104251722,0.015241104085398942
