year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,46.3,53.85075510958674,0.0,0,0.0,7.550755109586746,0,0.0,0.0,7.550755109586746,46.3,0.0,0.0
2026,44.5,51.95028554552184,0.0,0,0.0,7.550755109586746,0,0.0,0.0,7.550755109586746,44.39953043593509,0.0,0.0
2027,42.699999999999996,50.28049450639056,0.029739396803819318,0,0.0,7.550755109586746,0,0.0,0.00013828819513775982,7.580494506390565,42.699999999999996,0.0,22.364026396472127
2028,40.9,48.57300949575047,0.12225438616372486,0,0.0,7.550755109586746,0,0.0,0.0005684828956613206,7.67300949575047,40.9,0.0,89.71493865048336
2029,39.099999999999994,46.93406322531156,0.2833081157248216,0,0.0,7.550755109586746,0,0.0,0.0013173827381204207,7.834063225311567,39.099999999999994,0.0,203.09676426149548
2030,37.3,45.83421202537221,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,37.3,0.0,917.2485403233541
2031,35.919999999999995,44.27304623322708,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,35.738834207854865,0.0,917.2485403233541
2032,34.54,42.72408328662703,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,34.189871261254815,0.0,917.2485403233541
2033,33.16,41.18732318557206,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,32.65311116019985,0.0,917.2485403233541
2034,31.779999999999998,39.66276593006216,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,31.128553904689944,0.0,917.2485403233541
2035,30.4,38.71370618683704,0.2833081157248216,0,0.7001488000606457,7.550755109586746,0,0.0,3.712106023059543,8.534212025372213,30.179494161464824,0.0,917.2485403233541
2036,28.08,37.03843163327157,0.2833081157248216,0,1.1243684079600058,7.550755109586746,0,0.0,5.960469944926151,8.958431633271573,28.08,0.0,1288.8649168431934
2037,25.759999999999998,35.38646201605143,0.2833081157248216,0,1.7923987907398669,7.550755109586746,0,0.0,9.501030973659415,9.626462016051434,25.759999999999998,0.0,1858.0268029716349
2038,23.439999999999998,33.76021832030556,0.2833081157248216,0,2.486155094993997,7.550755109586746,0,0.0,13.177939386206303,10.320218320305564,23.439999999999998,0.0,2432.4570228940543
2039,21.12,32.15846810590557,0.2833081157248216,0,3.2044048805940015,7.550755109586746,0,0.0,16.984663249886328,11.038468105905569,21.12,0.0,3009.929850516458
2040,18.8,29.31005224910657,0.2833081157248216,0,3.2044048805940015,7.550755109586746,0,0.0,16.984663249886328,11.038468105905569,18.271584143201,0.0,3009.929850516458
2041,16.92,29.16925018512489,0.2833081157248216,0,4.415186959813322,7.550755109586746,0,0.0,23.401808269748727,12.24925018512489,16.92,0.0,3932.5457948815806
2042,15.040000000000001,29.027435156654143,0.2833081157248216,0,6.1533719313425745,7.550755109586746,0,0.0,32.61418861885377,13.987435156654142,15.040000000000001,0.0,5225.755413699344
2043,13.16,28.885620128183387,0.2833081157248216,0,7.8915569028718195,7.550755109586746,0,0.0,41.826568967958764,15.725620128183387,13.16,0.0,6487.677703029576
2044,11.280000000000001,28.74481806420171,0.2833081157248216,0,9.630754838890141,7.550755109586746,0,0.0,51.04431802885587,17.464818064201708,11.280000000000001,0.0,7719.029841730548
2045,9.4,28.603003035730957,0.2833081157248216,0,11.368939810419391,7.550755109586746,0,0.0,60.256698377960895,19.20300303573096,9.399999999999999,0.0,8918.377472085731
2046,7.5200000000000005,28.46118800726021,0.2833081157248216,0,13.107124781948642,7.550755109586746,0,0.0,69.46907872706592,20.94118800726021,7.52,0.0,10086.437772953388
2047,5.640000000000001,28.319372978789456,0.2833081157248216,0,14.845309753477888,7.550755109586746,0,0.0,78.68145907617094,22.679372978789456,5.640000000000001,0.0,11223.210744333515
2048,3.76,28.177557950318704,0.2833081157248216,0,16.583494725007135,7.550755109586746,0,0.0,87.89383942527594,24.417557950318702,3.7600000000000016,1.7763568394002505e-15,12328.696386226116
2049,1.88,28.03574292184795,0.2833081157248216,0,18.321679696536386,7.550755109586746,0,0.0,97.10621977438096,26.155742921847953,1.879999999999999,0.0,13402.894698631193
2050,0.0,27.8939278933772,0.2833081157248216,0,20.059864668065632,7.550755109586746,0,0.0,106.31860012348596,27.8939278933772,0.0,0.0,14445.805681548742
