year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.457916664485964,8.329744233038994,65.78766089752496,0.45,232,16,0.9595666859872484,1.0,96020.0
2026,66.07660416415885,9.252473892830379,75.32907805698923,0.435,228,20,0.948274139068215,1.15,109123.49999999999
2027,66.07660416415885,8.933423068939675,75.01002723309853,0.42,228,20,0.948274139068215,1.15,109123.49999999999
2028,66.07660416415885,8.608902618592925,74.68550678275177,0.405,226,22,0.9379809325844942,1.15,107938.99999999999
2029,56.91224337680294,7.527669549241017,64.43991292604396,0.39,215,33,0.8752523334599165,1.15,100720.45
2030,56.91224337680294,7.217027560211344,64.1292709370143,0.375,207,41,0.8197789458957089,1.15,94336.79999999999
2031,56.91224337680294,6.927712433647824,63.83995581045077,0.36,205,43,0.8178801990686148,1.15,94118.29999999999
2032,56.91224337680294,6.638097615436392,63.550340992239335,0.345,202,46,0.8152319469150361,1.15,93813.54999999999
2033,56.91224337680294,6.349041136807035,63.26128451360998,0.33,200,48,0.8137829032838326,1.15,93646.79999999999
2034,56.91224337680294,6.05974621595374,62.971989592756685,0.315,198,50,0.8124837607179262,1.15,93497.29999999999
2035,56.91224337680294,5.769094214102723,62.68133759090566,0.3,197,51,0.8098255151599945,1.15,93191.4
2036,56.870270408167976,5.186167740171362,62.05643814833934,0.27,194,54,0.8023404552995024,1.15,92330.04999999999
2037,56.870270408167976,4.60616106767693,61.476431475844905,0.24,191,57,0.7910279215717626,1.15,91028.25
2038,56.870270408167976,4.0296356668466276,60.8999060750146,0.21,188,60,0.7871504806827494,1.15,90582.04999999999
2039,54.07743084671561,3.3549003382070266,57.43233118492264,0.18,179,69,0.7618871544780444,1.15,87674.84999999999
2040,53.435753189856726,2.6498244262485864,56.08557761610531,0.15,159,89,0.6692582895289109,1.15,77015.5
2041,32.42826758158631,1.5340455962972537,33.962313177883566,0.12,133,115,0.5152299482341655,1.15,59290.549999999996
2042,26.101182125430288,0.9938700767081077,27.095052202138394,0.09,116,132,0.4589470949173545,1.15,52813.74999999999
2043,26.101182125430288,0.662181777367667,26.763363902797956,0.06,115,133,0.45489976615433814,1.15,52347.99999999999
2044,26.101182125430288,0.4414545182451114,26.5426366436754,0.04,115,133,0.45489976615433814,1.15,52347.99999999999
2045,26.004517106755806,0.21997659110313744,26.224493697858946,0.02,111,137,0.4386105170587412,1.15,50473.49999999999
2046,24.639637233563125,0.10629651322363305,24.745933746786754,0.01,101,147,0.4133471908540363,1.15,47566.299999999996
2047,22.17467571748178,0.049362220232010305,22.224037937713792,0.005,86,162,0.32646453340795073,1.15,37568.2
2048,22.17467571748178,0.01973078653677227,22.194406504018552,0.002,82,166,0.3204684907960746,1.15,36878.2
2049,22.17467571748178,0.009862969755937288,22.184538687237715,0.001,80,168,0.31826994183838664,1.15,36625.2
2050,21.95190492829259,0.0,21.95190492829259,0.0,79,169,0.31637119501129257,1.15,36406.7
