year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh
2033,Heat_Pump,True,3.2918471733493444,29.6,17.759999999999998,242.22402778154736,289.5840277815474,176.93980781386472,5.360557118178597,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2033,NCC-H2,True,31.043127416254347,47.62,47.62,475.0902246156347,570.3302246156347,,5.360557118178597,,,Energy-based,0.2,2.2566480388079895,13756.3,1072.1114236357193,,,,
2033,NCC-Electricity,True,31.043127416254347,50.4,50.4,392.04121504771337,492.8412150477134,176.93980781386472,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,884.6990390693236,0.0,
2033,RE_PPA,True,8.064845454545456,0.0,0.0,184.88297602273138,184.88297602273138,176.93980781386472,,,,Energy-based,,,,,,,0.308,129.24
2034,Heat_Pump,True,3.2918471733493444,28.8,17.28,251.91298889280924,297.99298889280925,184.0174001264193,5.187969709721238,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2034,NCC-H2,True,31.043127416254347,46.16,46.160000000000004,459.79431621615544,552.1143162161554,,5.187969709721238,,,Energy-based,0.2,2.2566480388079895,13756.3,1037.5939419442477,,,,
2034,NCC-Electricity,True,31.043127416254347,49.2,49.2,407.72286364962184,506.1228636496219,184.0174001264193,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,920.0870006320964,0.0,
2034,RE_PPA,True,7.990419047619048,0.0,0.0,209.49754150171836,209.49754150171836,184.0174001264193,,,,Energy-based,,,,,,,0.294,132.9
2035,Heat_Pump,True,3.2918471733493444,28.0,16.8,261.98950844852163,306.78950844852164,191.37809613147607,5.015382301263879,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2035,NCC-H2,True,31.043127416254347,44.7,44.7,444.49840781667604,533.898407816676,,5.015382301263879,,,Energy-based,0.2,2.2566480388079895,13756.3,1003.0764602527759,,,,
2035,NCC-Electricity,True,31.043127416254347,48.0,48.0,424.0317781956067,520.0317781956066,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2035,RE_PPA,True,7.90855,0.0,0.0,238.38302665859155,238.38302665859155,191.37809613147607,,,,Energy-based,,,,,,,0.28,136.55
2036,Heat_Pump,True,3.2918471733493444,27.2,16.32,261.98950844852163,305.5095084485216,191.37809613147607,4.8448961286321754,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2036,NCC-H2,True,31.043127416254347,43.24,43.24,429.38872569524443,515.8687256952444,,4.8448961286321754,,,Energy-based,0.2,2.2566480388079895,13756.3,968.9792257264351,,,,
2036,NCC-Electricity,True,31.043127416254347,46.8,46.800000000000004,424.0317781956067,517.6317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2036,RE_PPA,True,7.80435303030303,0.0,0.0,239.1032529508227,239.1032529508227,191.37809613147607,,,,Energy-based,,,,,,,0.264,140.21
2037,Heat_Pump,True,3.2918471733493444,26.4,15.84,261.98950844852163,304.22950844852164,191.37809613147607,4.674409956000472,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2037,NCC-H2,True,31.043127416254347,41.78,41.78,414.2790435738129,497.8390435738129,,4.674409956000472,,,Energy-based,0.2,2.2566480388079895,13756.3,934.8819912000945,,,,
2037,NCC-Electricity,True,31.043127416254347,45.6,45.6,424.0317781956067,515.2317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2037,RE_PPA,True,7.686711290322581,0.0,0.0,239.9903845024043,239.9903845024043,191.37809613147607,,,,Energy-based,,,,,,,0.248,143.86
2038,Heat_Pump,True,3.2918471733493444,25.6,15.36,261.98950844852163,302.9495084485216,191.37809613147607,4.503922860559887,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2038,NCC-H2,True,31.043127416254347,40.32,40.32,399.16927966657636,479.80927966657634,,4.503922860559887,,,Energy-based,0.2,2.2566480388079895,13756.3,900.7845721119774,,,,
2038,NCC-Electricity,True,31.043127416254347,44.4,44.4,424.0317781956067,512.8317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2038,RE_PPA,True,7.552843103448276,0.0,0.0,240.9785501729454,240.9785501729454,191.37809613147607,,,,Energy-based,,,,,,,0.232,147.52
2039,Heat_Pump,True,3.2918471733493444,24.8,14.879999999999999,261.98950844852163,301.66950844852164,191.37809613147607,4.333436687928183,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2039,NCC-H2,True,31.043127416254347,38.86,38.86,384.0595975451447,461.7795975451447,,4.333436687928183,,,Energy-based,0.2,2.2566480388079895,13756.3,866.6873375856366,,,,
