company,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
S-Oil Shaheen,19816.0437,11850,18,19.816043699999998,28.178087893013725
LG Chem,11362.06769333808,15462,45,11.36206769333808,16.156673196539842
Lotte Chemical,6824.893588795265,10272,30,6.824893588795264,9.704886319237318
Hanwha TotalEnergies,6593.08845093584,9040,11,6.5930884509358405,9.375263229606414
HD Hyundai Chemical,5320.2206692629,4479,8,5.3202206692629,7.5652662003726965
GS Caltex,5019.422606947182,6050,8,5.019422606947183,7.137536308054156
S-Oil,3218.6448694695296,4894,7,3.2186448694695295,4.576860013096868
Daehan Oil Chemical,2593.629501966185,2223,8,2.593629501966185,3.6880984506668493
SK Geocentric,2178.1448741064723,5473,8,2.178144874106472,3.097286150327247
Yeochon NCC,1564.3876048941315,1672,5,1.5643876048941314,2.224533418315386
SK Energy,1323.1289096024714,620,1,1.3231289096024714,1.8814675256578008
SK Advanced,1280.4473318733594,600,1,1.2804473318733594,1.82077502483013
HDHyundai Oilbank,1022.6777898199515,2218,3,1.0226777898199515,1.4542309799094566
Taekwang Industrial,645.3550834622182,1590,3,0.6453550834622181,0.9176843036534883
Kumho Petrochemical,391.61982889192444,2638,11,0.3916198288919244,0.5568769491138962
Lotte GS Chemical,336.2933646507783,130,1,0.3362933646507783,0.4782036278496371
SK Incheon Petrochemical,224.3159600744375,2100,2,0.2243159600744375,0.3189736021213587
Ulsan Aromatics,224.3159600744375,1600,2,0.2243159600744375,0.3189736021213587
Caprolactam,195.38221434832718,460,2,0.19538221434832717,0.27783029205970167
OCI,94.78993784844512,540,6,0.09478993784844512,0.134789731013098
Hanwha Solutions,25.42495994852778,4653,14,0.025424959948527778,0.036153874454060146
Hanwha Impact,7.254280950424178,2000,2,0.007254280950424178,0.010315468078104191
Kumho P&B Chemical,6.848041217200424,1888,4,0.006848041217200424,0.009737801865730356
Samnam Petrochemical,5.440710712818134,1500,1,0.005440710712818133,0.007736601058578142
DL Chemical,4.38875692735298,640,2,0.00438875692735298,0.006240740094856832
Lotte INEOS Chemical,4.243754355998144,1170,2,0.004243754355998144,0.006034548825690951
Korea INEOS Styrolution,4.145638737852129,542,2,0.0041456387378521285,0.005895030032048213
Ulsan PP,3.848055759144923,600,1,0.003848055759144923,0.005471871935688319
Dongseo Petrochemical,3.122671669987864,602,1,0.003122671669987864,0.004440387703522373
Poly Mirae,2.5974376374228227,405,1,0.0025974376374228226,0.003693513556589614
BASF Korea,2.3548702974236195,614,4,0.0023548702974236194,0.003348586792703234
Kumho Mitsui Chemical,2.2125556898793746,610,1,0.0022125556898793747,0.0031462177638217786
SKpicglobal,2.074864897001903,400,1,0.002074864897001903,0.0029504237232706797
HDC Hyundai EP,1.929158620584654,228,2,0.001929158620584654,0.0027432317970917425
Kukdo Chemical,1.9223844518624071,530,1,0.0019223844518624072,0.0027335990406976104
LXMMA,1.5587454450183302,380,2,0.0015587454450183302,0.002216510359863675
Hyosung Chemical,1.5233989995890773,420,2,0.0015233989995890773,0.00216624829640188
SSNC,1.4208205879919715,180,1,0.0014208205879919715,0.0020203834839464556
Lotte MCC,1.2426567802059156,297,3,0.0012426567802059157,0.001767037482537028
Kumho Polychem,1.1244135473157477,310,1,0.0011244135473157477,0.0015988975521061496
KPX Chemical,1.0808878616132025,298,1,0.0010808878616132024,0.0015370047436375242
PU Core,0.7979709045466595,220,1,0.0007979709045466595,0.001134701488591461
Aekyung Chemical,0.7907166235962354,218,2,0.0007907166235962354,0.0011243860205133569
Lotte Versalis Elastomers,0.7109195331415695,196,2,0.0007109195331415695,0.0010109158716542106
Korea Alcohol Industrial,0.7000381117159332,193,2,0.0007000381117159332,0.0009954426695370545
Birla Carbon Korea,0.7000381117159332,193,1,0.0007000381117159332,0.0009954426695370545
ISU Chemical,0.652885285538176,180,1,0.0006528852855381761,0.0009283921270293771
Samyang Innochem,0.652885285538176,180,1,0.0006528852855381761,0.0009283921270293771
Orion Engineered Carbons,0.6166138807860552,170,1,0.0006166138807860552,0.0008768147866388563
SK Chemical,0.5803424760339342,160,1,0.0005803424760339341,0.0008252374462483351
Arkema,0.5130741012193226,100,1,0.0005130741012193226,0.0007295829247584418
SH Energy Chemical,0.5130741012193226,100,1,0.0005130741012193226,0.0007295829247584418
Kolon Industries,0.4969182451040562,137,4,0.0004969182451040561,0.000706609563350137
HD Hyundai OCI,0.4932911046288441,136,1,0.0004932911046288441,0.0007014518293110849
Samyang Chemical,0.4352568570254507,120,1,0.0004352568570254507,0.0006189280846862514
Hansol Chemical,0.31918836181866383,88,2,0.0003191883618186638,0.00045388059543658435
Bluecube Chemical,0.18861130471102863,52,1,0.00018861130471102864,0.000268202170030709
Korea Trinseo,0.15596704043411982,43,1,0.00015596704043411983,0.0002217825636792401
Yongsan Chemical,0.1378313380580594,38,1,0.0001378313380580594,0.00019599389348397967
Korea PTG,0.10881421425636267,30,1,0.00010881421425636267,0.00015473202117156286
Downing Chemical,0.10881421425636267,30,1,0.00010881421425636267,0.00015473202117156286
