scenario,stranding_year_1.5C,stranded_value_1.5C_usd,stranded_value_1.5C_fmt,stranding_year_2.0C,stranded_value_2.0C_usd,stranded_value_2.0C_fmt
shaheen_ncc_h2_15c,2030,34890981666.666664,$34.89B,2050,9737750000.0,$9.74B
shaheen_ncc_h2_20c,2029,37336150000.000015,$37.34B,2040,20319983333.333336,$20.32B
shaheen_ncc_elec_15c,2028,39872734999.99999,$39.87B,2041,19219450000.0,$19.22B
shaheen_ncc_elec_20c,2028,39872734999.99999,$39.87B,2041,19219450000.0,$19.22B
