facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,Lotte Chemical,Yeosu,Benzene,BTX Plant,235,1992,2030,9400000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Benzene,BTX Plant,630,1992,2030,25200000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,Benzene,BTX Plant,457,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,Benzene,BTX Plant,930,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,Benzene,BTX Plant,210,2008,2030,75600000.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,Benzene,BTX Plant,672,1991,2030,13440000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Ulsan,Benzene,BTX Plant,110,1986,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,Benzene,BTX Plant,603,1972,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Ulsan Aromatics,Ulsan,Benzene,BTX Plant,600,2014,2030,288000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Incheon Petrochemical,Incheon,Benzene,BTX Plant,600,2006,2030,192000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,OCI,Gwangyang,Toluene,BTX Plant,40,1995,2030,4000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,Toluene,BTX Plant,120,2011,2030,50400000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,Toluene,BTX Plant,100,2011,2030,42000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,Toluene,BTX Plant,220,1992,2030,8800000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Toluene,BTX Plant,112,1992,2030,4480000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,Toluene,BTX Plant,282,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,Toluene,BTX Plant,170,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,Toluene,BTX Plant,78,2008,2030,28080000.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,Toluene,BTX Plant,300,1991,2030,6000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,Toluene,BTX Plant,1506,1970,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,Xylene,BTX Plant,60,2011,2030,25200000.0,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,Xylene,BTX Plant,1350,2016,2030,702000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,Xylene,BTX Plant,79,1992,2030,3160000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Xylene,BTX Plant,60,1992,2030,2400000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,Xylene,BTX Plant,204,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,Xylene,BTX Plant,350,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,Xylene,BTX Plant,47,2008,2030,16920000.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,Xylene,BTX Plant,450,1991,2030,9000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,Xylene,BTX Plant,894,1970,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Ulsan,O-X,BTX Plant,210,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,O-X,BTX Plant,200,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Ulsan,M-X,BTX Plant,360,1998,2030,57600000.0,shaheen_ncc_h2_15c,1.5C
Unknown,HDHyundai Oilbank,Daesan,P-X,BTX Plant,1460,1997,2030,204400000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,P-X,BTX Plant,2000,1997,2030,280000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,P-X,BTX Plant,1350,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,P-X,BTX Plant,1900,1997,2030,265999999.99999997,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Ulsan,P-X,BTX Plant,750,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,P-X,BTX Plant,830,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Ulsan Aromatics,Ulsan,P-X,BTX Plant,1000,2014,2030,480000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Incheon Petrochemical,Incheon,P-X,BTX Plant,1500,2014,2030,720000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,C-H,Naphtha Cracker,160,1974,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Caprolactam,Ulsan,C-H,Naphtha Cracker,190,2000,2030,142500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,SM,Utility,350,2005,2030,29166666.666666664,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,SM,Utility,577,2006,2030,57700000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,SM,Utility,1071,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yeochon NCC,Yeosu,SM,Utility,351,1986,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SKpicglobal,Ulsan,SM,Utility,400,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,EDC,Utility,810,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,EDC,Utility,1586,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Ulsan,EDC,Utility,385,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,VCM,Utility,230,1997,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,VCM,Utility,720,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,VCM,Utility,583,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Ulsan,VCM,Utility,264,1972,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,PC,Utility,480,2008,2030,64000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,PC,Utility,170,2001,2030,2833333.3333333335,shaheen_ncc_h2_15c,1.5C
Unknown,Samyang Chemical,Jeonju,PC,Utility,120,1999,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,LDPE,Utility,300,2021,2030,105000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,LDPE,Utility,280,2006,2030,28000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,LDPE,Utility,435,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,LDPE,Utility,180,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,LDPE,Utility,337,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Ulsan,LDPE,Utility,120,1972,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,LDPE,Utility,500,2005,2030,41666666.666666664,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,L-LDPE,Utility,125,2006,2030,12500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,L-LDPE,Utility,530,2004,2030,35333333.333333336,shaheen_ncc_h2_15c,1.5C
Unknown,DL Chemical,Yeosu,L-LDPE,Utility,10,2010,2030,1666666.6666666665,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,L-LDPE,Utility,600,2019,2030,190000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,L-LDPE,Utility,425,2021,2030,148750000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,L-LDPE,Utility,288,1986,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SSNC,Ulsan,L-LDPE,Utility,180,2015,2030,45000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,L-LDPE,Utility,550,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,HDPE,Utility,575,2021,2030,201250000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,HDPE,Utility,180,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,DL Chemical,Yeosu,HDPE,Utility,630,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
