year,scenario,process,bau_emissions_tco2,emissions_tco2,abatement_tco2
2025,restructure_25pct_ncc_elec,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,restructure_25pct_ncc_elec,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,restructure_25pct_ncc_elec,Extraction,310748.1442601701,310748.1442601701,0.0
2025,restructure_25pct_ncc_elec,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,restructure_25pct_ncc_elec,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,restructure_25pct_ncc_elec,Utility,14083236.53256749,14083236.53256749,0.0
2025,restructure_25pct_ncc_h2,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,restructure_25pct_ncc_h2,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,restructure_25pct_ncc_h2,Extraction,310748.1442601701,310748.1442601701,0.0
2025,restructure_25pct_ncc_h2,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,restructure_25pct_ncc_h2,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,restructure_25pct_ncc_h2,Utility,14083236.53256749,14083236.53256749,0.0
2025,restructure_40pct_ncc_elec,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,restructure_40pct_ncc_elec,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,restructure_40pct_ncc_elec,Extraction,310748.1442601701,310748.1442601701,0.0
2025,restructure_40pct_ncc_elec,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,restructure_40pct_ncc_elec,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,restructure_40pct_ncc_elec,Utility,14083236.53256749,14083236.53256749,0.0
2025,restructure_40pct_ncc_h2,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,restructure_40pct_ncc_h2,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,restructure_40pct_ncc_h2,Extraction,310748.1442601701,310748.1442601701,0.0
2025,restructure_40pct_ncc_h2,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,restructure_40pct_ncc_h2,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,restructure_40pct_ncc_h2,Utility,14083236.53256749,14083236.53256749,0.0
2025,shaheen_ncc_elec,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,shaheen_ncc_elec,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,shaheen_ncc_elec,Extraction,310748.1442601701,310748.1442601701,0.0
2025,shaheen_ncc_elec,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,shaheen_ncc_elec,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,shaheen_ncc_elec,Utility,14083236.53256749,14083236.53256749,0.0
2025,shaheen_ncc_h2,BTX Extraction,58244.54212438741,58244.54212438741,0.0
2025,shaheen_ncc_h2,BTX Plant,4255428.065767794,4255428.065767794,0.0
2025,shaheen_ncc_h2,Extraction,310748.1442601701,310748.1442601701,0.0
2025,shaheen_ncc_h2,Naphtha Cracker,40163243.19318627,40163243.19318627,0.0
2025,shaheen_ncc_h2,Polymerization,376463.99813717743,376463.99813717743,0.0
2025,shaheen_ncc_h2,Utility,14083236.53256749,14083236.53256749,0.0
2026,restructure_25pct_ncc_elec,BTX Extraction,40246.97860795169,40160.731235376625,0.0
2026,restructure_25pct_ncc_elec,BTX Plant,2940500.7934455452,2914982.013255933,0.0
2026,restructure_25pct_ncc_elec,Extraction,214726.96768377756,214053.58783423732,0.0
2026,restructure_25pct_ncc_elec,Naphtha Cracker,27752801.04649171,27711706.603146773,0.0
2026,restructure_25pct_ncc_elec,Polymerization,260136.62271278963,249755.02354948106,0.0
2026,restructure_25pct_ncc_elec,Utility,9731516.444004135,9343148.585917732,0.0
2026,restructure_25pct_ncc_h2,BTX Extraction,40246.97860795169,40160.731235376625,0.0
2026,restructure_25pct_ncc_h2,BTX Plant,2940500.7934455452,2914982.013255933,0.0
2026,restructure_25pct_ncc_h2,Extraction,214726.96768377756,214053.58783423732,0.0
2026,restructure_25pct_ncc_h2,Naphtha Cracker,27752801.04649171,27711706.603146773,0.0
2026,restructure_25pct_ncc_h2,Polymerization,260136.62271278963,249755.02354948106,0.0
2026,restructure_25pct_ncc_h2,Utility,9731516.444004135,9343148.585917732,0.0
2026,restructure_40pct_ncc_elec,BTX Extraction,56497.20586065579,56376.13501926966,0.0
2026,restructure_40pct_ncc_elec,BTX Plant,4127765.2237947597,4091942.9129641904,0.0
2026,restructure_40pct_ncc_elec,Extraction,301425.699932365,300480.4344416935,0.0
2026,restructure_40pct_ncc_elec,Naphtha Cracker,38958345.89739068,38900659.052174196,0.0
2026,restructure_40pct_ncc_elec,Polymerization,365170.07819306216,350596.7769073758,0.0
2026,restructure_40pct_ncc_elec,Utility,13660739.436590465,13115563.137974242,0.0
2026,restructure_40pct_ncc_h2,BTX Extraction,56497.20586065579,56376.13501926966,0.0
2026,restructure_40pct_ncc_h2,BTX Plant,4127765.2237947597,4091942.9129641904,0.0
2026,restructure_40pct_ncc_h2,Extraction,301425.699932365,300480.4344416935,0.0
2026,restructure_40pct_ncc_h2,Naphtha Cracker,38958345.89739068,38900659.052174196,0.0
2026,restructure_40pct_ncc_h2,Polymerization,365170.07819306216,350596.7769073758,0.0
2026,restructure_40pct_ncc_h2,Utility,13660739.436590465,13115563.137974242,0.0
2026,shaheen_ncc_elec,BTX Extraction,66981.22344304553,34482.89207141187,32498.331371633656
2026,shaheen_ncc_elec,BTX Plant,4893742.275632962,9085157.491508752,-4191415.215875791
2026,shaheen_ncc_elec,Extraction,357360.3658991956,200071.03936438475,157289.32653481085
2026,shaheen_ncc_elec,Naphtha Cracker,46187729.67216421,54507558.45723979,-8319828.785075586
2026,shaheen_ncc_elec,Polymerization,432933.597857754,415655.97262214636,17277.625235607586
2026,shaheen_ncc_elec,Utility,16195722.012452614,15549378.978010697,646343.0344419152
2026,shaheen_ncc_h2,BTX Extraction,66981.22344304553,34482.89207141187,32498.331371633656
2026,shaheen_ncc_h2,BTX Plant,4893742.275632962,9085157.491508752,-4191454.688714542
2026,shaheen_ncc_h2,Extraction,357360.3658991956,200071.03936438475,157289.32653481085
2026,shaheen_ncc_h2,Naphtha Cracker,46187729.67216421,30489961.12322179,15642101.556815006
2026,shaheen_ncc_h2,Polymerization,432933.597857754,415655.97262214636,0.0
2026,shaheen_ncc_h2,Utility,16195722.012452614,15549378.978010697,0.0
2027,restructure_25pct_ncc_elec,BTX Extraction,40246.97860795169,40074.48386280156,0.0
2027,restructure_25pct_ncc_elec,BTX Plant,2940500.7934455452,2889463.233066321,0.0
2027,restructure_25pct_ncc_elec,Extraction,214726.96768377756,213380.2079846971,0.0
2027,restructure_25pct_ncc_elec,Naphtha Cracker,27752801.04649171,27670612.159801833,0.0
2027,restructure_25pct_ncc_elec,Polymerization,260136.62271278963,239373.42438617247,0.0
2027,restructure_25pct_ncc_elec,Utility,9731516.444004135,8954780.727831328,0.0
2027,restructure_25pct_ncc_h2,BTX Extraction,40246.97860795169,40074.48386280156,0.0
2027,restructure_25pct_ncc_h2,BTX Plant,2940500.7934455452,2889463.233066321,0.0
2027,restructure_25pct_ncc_h2,Extraction,214726.96768377756,213380.2079846971,0.0
2027,restructure_25pct_ncc_h2,Naphtha Cracker,27752801.04649171,27670612.159801833,0.0
2027,restructure_25pct_ncc_h2,Polymerization,260136.62271278963,239373.42438617247,0.0
2027,restructure_25pct_ncc_h2,Utility,9731516.444004135,8954780.727831328,0.0
2027,restructure_40pct_ncc_elec,BTX Extraction,54982.84776542171,54747.196478270154,0.0
2027,restructure_40pct_ncc_elec,BTX Plant,4017124.0940847974,3947399.8437259146,0.0
2027,restructure_40pct_ncc_elec,Extraction,293346.2481816006,291506.3912265616,0.0
