year,scenario,company,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd
2025,shaheen_ncc_elec_15c,Samnam Petrochemical,358537.14108302613,358537.14108302613,0.0,0.0
2025,shaheen_ncc_elec_15c,Samyang Chemical,57365.942573284185,57365.942573284185,0.0,0.0
2025,shaheen_ncc_elec_15c,Samyang Innochem,173.39527683854283,173.39527683854283,0.0,0.0
2025,shaheen_ncc_elec_15c,Taekwang Industrial,729179.1991792785,729179.1991792785,0.0,0.0
2025,shaheen_ncc_elec_15c,Ulsan Aromatics,124809.7331236873,124809.7331236873,0.0,0.0
2025,shaheen_ncc_elec_15c,Ulsan PP,250975.99875811828,250975.99875811828,0.0,0.0
2025,shaheen_ncc_elec_15c,Yeochon NCC,6032089.659866812,6032089.659866812,0.0,0.0
2025,shaheen_ncc_elec_15c,Yongsan Chemical,6812.205680577497,6812.205680577497,0.0,0.0
2025,shaheen_ncc_elec_20c,Aekyung Chemical,39080.548378049854,39080.548378049854,0.0,0.0
2025,shaheen_ncc_elec_20c,Arkema,53780.571162453925,53780.571162453925,0.0,0.0
2025,shaheen_ncc_elec_20c,BASF Korea,51302.3511059153,51302.3511059153,0.0,0.0
2025,shaheen_ncc_elec_20c,Birla Carbon Korea,185.91826905465985,185.91826905465985,0.0,0.0
2025,shaheen_ncc_elec_20c,Bluecube Chemical,50.09196886446794,50.09196886446794,0.0,0.0
2025,shaheen_ncc_elec_20c,Caprolactam,355502.39067506674,355502.39067506674,0.0,0.0
2025,shaheen_ncc_elec_20c,DL Chemical,268066.26914974255,268066.26914974255,0.0,0.0
2025,shaheen_ncc_elec_20c,Daehan Oil Chemical,2701027.810132496,2701027.810132496,0.0,0.0
2025,shaheen_ncc_elec_20c,Dongseo Petrochemical,179866.1324433181,179866.1324433181,0.0,0.0
2025,shaheen_ncc_elec_20c,Downing Chemical,28.89921280642381,28.89921280642381,0.0,0.0
2025,shaheen_ncc_elec_20c,GS Caltex,3633193.7884299024,3633193.7884299024,0.0,0.0
2025,shaheen_ncc_elec_20c,HD Hyundai Chemical,3472213.629032109,3472213.629032109,0.0,0.0
