year,scenario,bau_emissions_tco2,emissions_tco2,abatement_tco2
2025,shaheen_ncc_elec_15c,59247364.47604329,59247364.47604329,0.0
2025,shaheen_ncc_elec_20c,59247364.47604329,59247364.47604329,0.0
2025,shaheen_ncc_h2_15c,59247364.47604329,59247364.47604329,0.0
2025,shaheen_ncc_h2_20c,59247364.47604329,59247364.47604329,0.0
2026,shaheen_ncc_elec_15c,68134469.14744978,79792304.8308172,-11657835.68336741
2026,shaheen_ncc_elec_20c,68134469.14744978,79792304.8308172,-11657835.68336741
2026,shaheen_ncc_h2_15c,68134469.14744978,55774707.49679918,11640434.526006907
2026,shaheen_ncc_h2_20c,68134469.14744978,65077383.18615478,2330185.0803426877
2027,shaheen_ncc_elec_15c,68134469.14744978,76475567.84071632,-8341098.693266547
2027,shaheen_ncc_elec_20c,68134469.14744978,76475567.84071632,-8341098.693266547
2027,shaheen_ncc_h2_15c,68134469.14744978,54568678.48205033,12127136.416112069
2027,shaheen_ncc_h2_20c,68134469.14744978,63922912.62668903,2757754.7588561354
2028,shaheen_ncc_elec_15c,68134469.14744978,73158830.85061546,-5024361.703165685
2028,shaheen_ncc_elec_20c,68134469.14744978,73158830.85061546,-5024361.703165685
2028,shaheen_ncc_h2_15c,68134469.14744978,52381950.71280727,13596906.102969117
2028,shaheen_ncc_h2_20c,68134469.14744978,62768442.06722328,3185324.437369584
2029,shaheen_ncc_elec_15c,68134469.14744978,69842093.86051461,-1707624.7130648338
2029,shaheen_ncc_elec_20c,68134469.14744978,69842093.86051461,-1707624.7130648338
2029,shaheen_ncc_h2_15c,68134469.14744978,47756636.43081829,17514618.823003896
2029,shaheen_ncc_h2_20c,68134469.14744978,61613971.50775753,3612894.1158830314
2030,shaheen_ncc_elec_15c,68134469.14744978,66525356.87041374,1609112.2770360305
2030,shaheen_ncc_elec_20c,68134469.14744978,66525356.87041374,1609112.2770360305
2030,shaheen_ncc_h2_15c,68134469.14744978,46526620.109464586,18028831.6709507
2030,shaheen_ncc_h2_20c,68134469.14744978,60459500.94829178,4040463.7943964796
2031,shaheen_ncc_elec_15c,68134469.14744978,63875779.619701,4258689.5277487775
2031,shaheen_ncc_elec_20c,68134469.14744978,63875779.619701,4258689.5277487775
2031,shaheen_ncc_h2_15c,68134469.14744978,45544020.86424525,18439610.90005763
2031,shaheen_ncc_h2_20c,68134469.14744978,59537251.478373736,4382028.077806647
2032,shaheen_ncc_elec_15c,68134469.14744978,61226202.36898824,6908266.778461535
2032,shaheen_ncc_elec_20c,68134469.14744978,61226202.36898824,6908266.778461535
2032,shaheen_ncc_h2_15c,68134469.14744978,43609319.708009265,19820564.994342882
2032,shaheen_ncc_h2_20c,68134469.14744978,58615002.00845569,4723592.361216815
2033,shaheen_ncc_elec_15c,68134469.14744978,58576625.11827549,9557844.029174283
2033,shaheen_ncc_elec_20c,68134469.14744978,58576625.11827549,9557844.029174283
2033,shaheen_ncc_h2_15c,68134469.14744978,40897761.21927398,22009864.148763478
2033,shaheen_ncc_h2_20c,68134469.14744978,57692752.53853765,5065156.6446269825
2034,shaheen_ncc_elec_15c,68134469.14744978,55927047.86756273,12207421.279887041
2034,shaheen_ncc_elec_20c,68134469.14744978,55927047.86756273,12207421.279887041
2034,shaheen_ncc_h2_15c,68134469.14744978,38323617.077749744,24057886.525843356
2034,shaheen_ncc_h2_20c,68134469.14744978,56770503.06861961,5406720.928037151
2035,shaheen_ncc_elec_15c,68134469.14744978,53277470.61684998,14856998.53059979
2035,shaheen_ncc_elec_20c,68134469.14744978,53277470.61684998,14856998.53059979
2035,shaheen_ncc_h2_15c,68134469.14744978,35558258.98716381,26293797.307577394
2035,shaheen_ncc_h2_20c,68134469.14744978,55848253.59870157,5748285.211447318
2036,shaheen_ncc_elec_15c,68134469.14744978,47959254.40858481,20175214.738864966
2036,shaheen_ncc_elec_20c,68134469.14744978,47959254.40858481,20175214.738864966
2036,shaheen_ncc_h2_15c,68134469.14744978,33534409.697611734,27197650.95118334
2036,shaheen_ncc_h2_20c,68134469.14744978,53997119.77059269,6433871.075270605
2037,shaheen_ncc_elec_15c,68134469.14744978,42621976.49347998,25512492.653969795
2037,shaheen_ncc_elec_20c,68134469.14744978,42621976.49347998,25512492.653969795
2037,shaheen_ncc_h2_15c,68134469.14744978,31503306.467953738,28104744.21358357
2037,shaheen_ncc_h2_20c,68134469.14744978,52139351.05421102,7121914.236096843
2038,shaheen_ncc_elec_15c,68134469.14744978,37303760.28521482,30830708.862234958
2038,shaheen_ncc_elec_20c,68134469.14744978,37303760.28521482,30830708.862234958
2038,shaheen_ncc_h2_15c,68134469.14744978,28850659.80904963,29654082.00232542
2038,shaheen_ncc_h2_20c,68134469.14744978,50288217.22610214,7807500.099920129
2039,shaheen_ncc_elec_15c,68134469.14744978,31985544.07694965,36148925.07050013
2039,shaheen_ncc_elec_20c,68134469.14744978,31985544.07694965,36148925.07050013
2039,shaheen_ncc_h2_15c,68134469.14744978,25738384.89225908,31680096.089546278
2039,shaheen_ncc_h2_20c,68134469.14744978,48437083.39799327,8493085.963743417
2040,shaheen_ncc_elec_15c,68134469.14744978,26648266.16184482,41486202.98560496
2040,shaheen_ncc_elec_20c,68134469.14744978,26648266.16184482,41486202.98560496
2040,shaheen_ncc_h2_15c,68134469.14744978,23692359.225202903,32607375.78852623
2040,shaheen_ncc_h2_20c,68134469.14744978,45139201.47416173,10639573.32252951
2041,shaheen_ncc_elec_15c,68134469.14744978,23998688.911132067,44135780.23631771
2041,shaheen_ncc_elec_20c,68134469.14744978,23998688.911132067,44135780.23631771
2041,shaheen_ncc_h2_15c,68134469.14744978,21294698.869836006,34495973.035966836
2041,shaheen_ncc_h2_20c,68134469.14744978,41319157.46068481,13918174.827021787
2042,shaheen_ncc_elec_15c,68134469.14744978,21330049.953579653,46804419.19387012
2042,shaheen_ncc_elec_20c,68134469.14744978,21330049.953579653,46804419.19387012
2042,shaheen_ncc_h2_15c,68134469.14744978,17956437.134290047,37357495.149892785
2042,shaheen_ncc_h2_20c,68134469.14744978,36613855.14480422,18093140.638355456
2043,shaheen_ncc_elec_15c,68134469.14744978,18661410.99602724,49473058.15142254
2043,shaheen_ncc_elec_20c,68134469.14744978,18661410.99602724,49473058.15142254
2043,shaheen_ncc_h2_15c,68134469.14744978,16917634.137683783,37842495.258236974
2043,shaheen_ncc_h2_20c,68134469.14744978,31950901.681218974,22229197.52899314
2044,shaheen_ncc_elec_15c,68134469.14744978,16011833.745314484,52122635.40213529
2044,shaheen_ncc_elec_20c,68134469.14744978,16011833.745314484,52122635.40213529
2044,shaheen_ncc_h2_15c,68134469.14744978,14153227.126727754,40122147.14176243
2044,shaheen_ncc_h2_20c,68134469.14744978,27497636.09618279,26160616.329379246
2045,shaheen_ncc_elec_15c,68134469.14744978,13343194.787762072,54791274.3596877
2045,shaheen_ncc_elec_20c,68134469.14744978,13343194.787762072,54791274.3596877
2045,shaheen_ncc_h2_15c,68134469.14744978,12121700.557691833,41640780.29365303
2045,shaheen_ncc_h2_20c,68134469.14744978,22969625.3821807,30370990.92542029
2046,shaheen_ncc_elec_15c,68134469.14744978,10674555.830209656,57459913.31724012
2046,shaheen_ncc_elec_20c,68134469.14744978,10674555.830209656,57459913.31724012
2046,shaheen_ncc_h2_15c,68134469.14744978,9237844.071628327,44048610.44938611
2046,shaheen_ncc_h2_20c,68134469.14744978,17905049.209339168,35032923.26921618
2047,shaheen_ncc_elec_15c,68134469.14744978,8005916.872657242,60128552.27479253
2047,shaheen_ncc_elec_20c,68134469.14744978,8005916.872657242,60128552.27479253
2047,shaheen_ncc_h2_15c,68134469.14744978,7273831.033186692,45503203.68193595
2047,shaheen_ncc_h2_20c,68134469.14744978,13732849.70813631,38776045.621978
2048,shaheen_ncc_elec_15c,68134469.14744978,5337277.915104828,62797191.23234495
2048,shaheen_ncc_elec_20c,68134469.14744978,5337277.915104828,62797191.23234495
2048,shaheen_ncc_h2_15c,68134469.14744978,2999847.4162533046,49369006.016139224
2048,shaheen_ncc_h2_20c,68134469.14744978,8970808.63820967,43142427.65456578
2049,shaheen_ncc_elec_15c,68134469.14744978,2668638.957552414,65465830.18989736
2049,shaheen_ncc_elec_20c,68134469.14744978,2668638.957552414,65465830.18989736
2049,shaheen_ncc_h2_15c,68134469.14744978,1924685.4915065041,49903190.93105563
2049,shaheen_ncc_h2_20c,68134469.14744978,3250869.629178709,48518528.17839723
2050,shaheen_ncc_elec_15c,68134469.14744978,0.0,68134469.14744978
2050,shaheen_ncc_elec_20c,68134469.14744978,0.0,68134469.14744978
2050,shaheen_ncc_h2_15c,68134469.14744978,0.0,68134469.14744978
2050,shaheen_ncc_h2_20c,68134469.14744978,0.0,51504824.44761669
