location,capex_investment_musd,total_annual_cost_musd,electricity_demand_twh,year,scenario
Busan/Iksan/Siheung,0.0,-0.17785870552672614,0.004409138651060567,2025,Shaheen (성장)
Daesan,0.0,-258.4342560982028,6.406616217891267,2025,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2025,Shaheen (성장)
Gumi,0.0,-0.01745028808941464,0.00043259473557575364,2025,Shaheen (성장)
Gunsan,0.0,-0.12465350126896282,0.003090175253481888,2025,Shaheen (성장)
Gwangyang,0.0,-0.9427150894211925,0.023370020182005704,2025,Shaheen (성장)
Incheon,0.0,-2.3347091509861824,0.05787771999190183,2025,Shaheen (성장)
Jeonju,0.0,-0.06980115235765855,0.0017303789423030146,2025,Shaheen (성장)
Jinhae,0.0,-0.047469534719628836,0.001176775461512208,2025,Shaheen (성장)
Naju,0.0,-0.06040484338643529,0.0014974433154545318,2025,Shaheen (성장)
Onsan,0.0,-372.4215238766156,9.23237426331384,2025,Shaheen (성장)
Pohang,0.0,-0.033558246325797375,0.0008319129530302953,2025,Shaheen (성장)
Ulsan,0.0,-125.47716660247157,3.1105940159301873,2025,Shaheen (성장)
Yeosu,0.0,-212.75417249440358,5.274201464254571,2025,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.21626571693633445,0.004409138651060567,2026,Shaheen (성장)
Daesan,0.0,-314.2408436543335,6.406616217891267,2026,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2026,Shaheen (성장)
Gumi,0.0,-0.021218523171112058,0.00043259473557575364,2026,Shaheen (성장)
Gunsan,0.0,-0.15157132028325487,0.003090175253481888,2026,Shaheen (성장)
Gwangyang,0.0,-1.146286059355914,0.023370020182005704,2026,Shaheen (성장)
Incheon,0.0,-2.8388689037207424,0.05787771999190183,2026,Shaheen (성장)
Jeonju,0.0,-0.08487409268444823,0.0017303789423030146,2026,Shaheen (성장)
Jinhae,0.0,-0.057720160103336145,0.001176775461512208,2026,Shaheen (성장)
Naju,0.0,-0.07344873405384943,0.0014974433154545318,2026,Shaheen (성장)
Onsan,0.0,-452.84265184082165,9.23237426331384,2026,Shaheen (성장)
Pohang,0.0,-0.04080485225213856,0.0008319129530302953,2026,Shaheen (성장)
Ulsan,0.0,-152.57284884683764,3.1105940159301873,2026,Shaheen (성장)
Yeosu,0.0,-258.6965507785324,5.274201464254571,2026,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.258085878178416,0.004409138651060567,2027,Shaheen (성장)
Daesan,11.844699602383034,-369.6028450150425,6.4798580438900455,2027,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2027,Shaheen (성장)
Gumi,0.0,-0.025321633330712513,0.00043259473557575364,2027,Shaheen (성장)
Gunsan,0.0,-0.18088126891365636,0.003090175253481888,2027,Shaheen (성장)
Gwangyang,0.6082413309331829,-1.090445271462034,0.027131086922483495,2027,Shaheen (성장)
Incheon,1.4405715732628017,-2.730589079368345,0.06678550964040186,2027,Shaheen (성장)
Jeonju,0.0,-0.10128653332285005,0.0017303789423030146,2027,Shaheen (성장)
Jinhae,0.0,-0.06888173687396637,0.001176775461512208,2027,Shaheen (성장)
Naju,0.0,-0.08765180768323562,0.0014974433154545318,2027,Shaheen (성장)
Onsan,7.797193410933449,-536.853260999983,9.280588291719214,2027,Shaheen (성장)
Pohang,0.0,-0.048695448712908665,0.0008319129530302953,2027,Shaheen (성장)
Ulsan,12.736800428424855,-176.26545738749314,3.189352156877229,2027,Shaheen (성장)
Yeosu,10.4125313632976,-303.97114073137175,5.338587462711132,2027,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.30398125695216055,0.004409138651060567,2028,Shaheen (성장)
Daesan,27.0641091201012,-423.8056635553675,6.652726323297285,2028,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2028,Shaheen (성장)
Gumi,0.0,-0.029824576153796887,0.00043259473557575364,2028,Shaheen (성장)
Gunsan,0.0,-0.21304736187643697,0.003090175253481888,2028,Shaheen (성장)
Gwangyang,1.3897785764376291,-0.6926061607860016,0.036008106675828246,2028,Shaheen (성장)
Incheon,3.2915808389312264,-1.8146494691772321,0.08781003010884995,2028,Shaheen (성장)
Jeonju,0.0,-0.11929830461518753,0.0017303789423030146,2028,Shaheen (성장)
Jinhae,0.0,-0.08113096735002766,0.001176775461512208,2028,Shaheen (성장)
Naju,0.0,-0.10323891745545075,0.0014974433154545318,2028,Shaheen (성장)
Onsan,17.815909257975697,-624.7359842580987,9.394384964864251,2028,Shaheen (성장)
Pohang,0.0,-0.057354954141917075,0.0008319129530302953,2028,Shaheen (성장)
Ulsan,29.102481971470997,-195.2191956044371,3.3752402628763227,2028,Shaheen (성장)
Yeosu,23.79172916939707,-347.8960260611087,5.49055386468599,2028,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.35451123177128036,0.004409138651060567,2029,Shaheen (성장)
Daesan,44.38016134744114,-476.4842563492459,6.9458623321972865,2029,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2029,Shaheen (성장)
Gumi,0.0,-0.03478223406057845,0.00043259473557575364,2029,Shaheen (성장)
Gunsan,0.0,-0.2484616434635101,0.003090175253481888,2029,Shaheen (성장)
Gwangyang,2.278981258382113,0.10474990673932014,0.0510610368625851,2029,Shaheen (성장)
Incheon,5.397587190905004,0.044857590030940246,0.1234617068669583,2029,Shaheen (성장)
Jeonju,0.0,-0.1391289362423138,0.0017303789423030146,2029,Shaheen (성장)
Jinhae,0.0,-0.09461714665710544,0.001176775461512208,2029,Shaheen (성장)
