Year,Process,Emissions_MtCO2
2023,Naphtha Cracker,31.99728396309787
2023,BTX Plant,20.149725062954484
2023,Utility,11.152234141079912
2030,Naphtha Cracker,34.30541930824391
2030,BTX Plant,21.30555488260487
2030,Utility,12.123428804448745
2040,Naphtha Cracker,37.89452518939498
2040,BTX Plant,23.072686787862878
2040,Utility,13.659367553892542
2050,Naphtha Cracker,41.859130956157905
2050,BTX Plant,24.98638869271899
2050,Utility,15.38989711424433
