scenario_name,constraint_type,year,target_mt,description
restructure_40pct_target,annual_path,2025,66.19312069636608,Target for restructure_40pct
restructure_40pct_target,annual_path,2026,63.24143496315145,Target for restructure_40pct
restructure_40pct_target,annual_path,2027,59.636708004784694,Target for restructure_40pct
restructure_40pct_target,annual_path,2028,55.355840326822275,Target for restructure_40pct
restructure_40pct_target,annual_path,2029,50.45992755068519,Target for restructure_40pct
restructure_40pct_target,annual_path,2030,45.45575440470471,Target for restructure_40pct
restructure_40pct_target,annual_path,2031,43.53396226475479,Target for restructure_40pct
restructure_40pct_target,annual_path,2032,41.115321200611994,Target for restructure_40pct
restructure_40pct_target,annual_path,2033,38.20530317830088,Target for restructure_40pct
restructure_40pct_target,annual_path,2034,34.809380163846015,Target for restructure_40pct
restructure_40pct_target,annual_path,2035,31.389753338514886,Target for restructure_40pct
restructure_40pct_target,annual_path,2036,28.828730952390803,Target for restructure_40pct
restructure_40pct_target,annual_path,2037,25.941419460750538,Target for restructure_40pct
restructure_40pct_target,annual_path,2038,22.734952586573662,Target for restructure_40pct
restructure_40pct_target,annual_path,2039,19.216008383436495,Target for restructure_40pct
restructure_40pct_target,annual_path,2040,14.75165212343593,Target for restructure_40pct
restructure_40pct_target,annual_path,2041,13.26451988277456,Target for restructure_40pct
restructure_40pct_target,annual_path,2042,11.764328073943338,Target for restructure_40pct
restructure_40pct_target,annual_path,2043,10.251076696942267,Target for restructure_40pct
restructure_40pct_target,annual_path,2044,8.724952317030917,Target for restructure_40pct
restructure_40pct_target,annual_path,2045,7.185628445005039,Target for restructure_40pct
restructure_40pct_target,annual_path,2046,5.748502756004031,Target for restructure_40pct
restructure_40pct_target,annual_path,2047,4.311377067003024,Target for restructure_40pct
restructure_40pct_target,annual_path,2048,2.8742513780020156,Target for restructure_40pct
restructure_40pct_target,annual_path,2049,1.4371256890010073,Target for restructure_40pct
restructure_40pct_target,annual_path,2050,0.0,Target for restructure_40pct
