TechGroup,Band,Alternative_CAPEX_M_USD_per_kt,Alternative_OPEX_USD_per_t,Cost_per_tCO2_Total_USD,Cost_Premium_pct,Deployment_Level_pct
BTX,HT,240.0,10.0,9075.45,0.0,0.0
BTX,LT,36.0,-25.0,6860.22,0.0,50.0
BTX,MT,62.5,-5.0,4604.01,0.0,50.0
C4,HT,365.0,17.5,9348.75,0.0,0.0
C4,LT,44.0,-22.5,6880.24,0.0,0.0
C4,MT,75.0,-1.5,4785.11,0.0,33.0
NCC,HT,300.0,5.0,6753.72,0.0,0.0
NCC,LT,40.0,-27.5,5360.78,0.0,0.0
NCC,MT,70.0,-5.0,3773.15,0.0,24.74
