year,scenario,region_simple,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd
2025,shaheen_ncc_elec_15c,Daesan,17217485.657279864,17217485.657279864,0.0,0.0
2025,shaheen_ncc_elec_15c,Other,375812.18112740014,375812.18112740014,0.0,0.0
2025,shaheen_ncc_elec_15c,Ulsan,19244286.327143505,19244286.327143505,0.0,0.0
2025,shaheen_ncc_elec_15c,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0
2025,shaheen_ncc_elec_20c,Daesan,17217485.657279864,17217485.657279864,0.0,0.0
2025,shaheen_ncc_elec_20c,Other,375812.18112740014,375812.18112740014,0.0,0.0
2025,shaheen_ncc_elec_20c,Ulsan,19244286.327143505,19244286.327143505,0.0,0.0
2025,shaheen_ncc_elec_20c,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0
2025,shaheen_ncc_h2_15c,Daesan,17217485.657279864,17217485.657279864,0.0,0.0
2025,shaheen_ncc_h2_15c,Other,375812.18112740014,375812.18112740014,0.0,0.0
2025,shaheen_ncc_h2_15c,Ulsan,19244286.327143505,19244286.327143505,0.0,0.0
2025,shaheen_ncc_h2_15c,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0
2025,shaheen_ncc_h2_20c,Daesan,17217485.657279864,17217485.657279864,0.0,0.0
2025,shaheen_ncc_h2_20c,Other,375812.18112740014,375812.18112740014,0.0,0.0
2025,shaheen_ncc_h2_20c,Ulsan,19244286.327143505,19244286.327143505,0.0,0.0
2025,shaheen_ncc_h2_20c,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0
2026,shaheen_ncc_elec_15c,Daesan,19800108.50587184,23253705.29311188,-3453596.78724004,2667386819.9999995
2026,shaheen_ncc_elec_15c,Other,432184.00829651015,636212.5841671958,-204028.57587068563,162288000.0
2026,shaheen_ncc_elec_15c,Ulsan,22130929.276215024,26297464.944979005,-4166535.6687639775,3024726319.9999995
2026,shaheen_ncc_elec_15c,Yeosu,25771247.3570664,29604922.008559108,-3833674.651492707,3043099639.9999995
2026,shaheen_ncc_elec_20c,Daesan,19800108.50587184,23253705.29311188,-3453596.78724004,2667386819.9999995
2026,shaheen_ncc_elec_20c,Other,432184.00829651015,636212.5841671958,-204028.57587068563,162288000.0
2026,shaheen_ncc_elec_20c,Ulsan,22130929.276215024,26297464.944979005,-4166535.6687639775,3024726319.9999995
2026,shaheen_ncc_elec_20c,Yeosu,25771247.3570664,29604922.008559108,-3833674.651492707,3043099639.9999995
2026,shaheen_ncc_h2_15c,Daesan,19800108.50587184,13822231.053784596,5804897.259091254,2094287999.9999998
2026,shaheen_ncc_h2_15c,Other,432184.00829651015,636212.5841671958,-213141.9872414026,162288000.0
2026,shaheen_ncc_h2_15c,Ulsan,22130929.276215024,19409321.15457768,2477448.888487735,1850469599.9999998
2026,shaheen_ncc_h2_15c,Yeosu,25771247.3570664,21906942.70426971,3571230.3656693217,1575159599.9999998
2026,shaheen_ncc_h2_20c,Daesan,19800108.50587184,17349311.88387203,2274944.8626308865,1445135999.9999998
2026,shaheen_ncc_h2_20c,Other,432184.00829651015,636212.5841671958,-213141.9872414026,162288000.0
2026,shaheen_ncc_h2_20c,Ulsan,22130929.276215024,23377287.08842604,-1493747.557530179,1120173599.9999998
2026,shaheen_ncc_h2_20c,Yeosu,25771247.3570664,23714571.62968952,1762129.7624833826,1242469200.0
2027,shaheen_ncc_elec_15c,Daesan,19800108.50587184,22287115.53654201,-2487007.0306701716,2550447689.9999995
2027,shaheen_ncc_elec_15c,Other,432184.00829651015,609767.0539127542,-177583.04561624414,155526000.0
2027,shaheen_ncc_elec_15c,Ulsan,22130929.276215024,25204354.83976487,-3073425.563549846,2893095939.9999995
2027,shaheen_ncc_elec_15c,Yeosu,25771247.3570664,28374330.410496686,-2603083.053430286,2909081629.9999995
2027,shaheen_ncc_elec_20c,Daesan,19800108.50587184,22287115.53654201,-2487007.0306701716,2550447689.9999995
2027,shaheen_ncc_elec_20c,Other,432184.00829651015,609767.0539127542,-177583.04561624414,155526000.0
2027,shaheen_ncc_elec_20c,Ulsan,22130929.276215024,25204354.83976487,-3073425.563549846,2893095939.9999995
2027,shaheen_ncc_elec_20c,Yeosu,25771247.3570664,28374330.410496686,-2603083.053430286,2909081629.9999995
2027,shaheen_ncc_h2_15c,Daesan,19800108.50587184,13490453.578931006,5963694.540948854,2007025999.9999998
2027,shaheen_ncc_h2_15c,Other,432184.00829651015,609767.0539127542,-195809.8683576781,155526000.0
2027,shaheen_ncc_h2_15c,Ulsan,22130929.276215024,18978890.164399438,2663720.6455163634,1773688699.9999998
2027,shaheen_ncc_h2_15c,Yeosu,25771247.3570664,21489567.684807133,3695531.0980045297,1509527949.9999998
2027,shaheen_ncc_h2_20c,Daesan,19800108.50587184,17037082.63850966,2411322.34862433,1384921999.9999998
2027,shaheen_ncc_h2_20c,Other,432184.00829651015,609767.0539127542,-195809.8683576781,155526000.0
2027,shaheen_ncc_h2_20c,Ulsan,22130929.276215024,22968847.856425423,-1332698.070848727,1073821699.9999998
2027,shaheen_ncc_h2_20c,Yeosu,25771247.3570664,23307215.077841196,1874940.3494382105,1190699650.0
2028,shaheen_ncc_elec_15c,Daesan,19800108.50587184,21320525.77997214,-1520417.2741003023,2433508559.9999995
2028,shaheen_ncc_elec_15c,Other,432184.00829651015,583321.5236583127,-151137.5153618026,148764000.0
2028,shaheen_ncc_elec_15c,Ulsan,22130929.276215024,24111244.73455074,-1980315.4583357144,2761465559.9999995
2028,shaheen_ncc_elec_15c,Yeosu,25771247.3570664,27143738.812434264,-1372491.4553678655,2775063619.9999995
2028,shaheen_ncc_elec_20c,Daesan,19800108.50587184,21320525.77997214,-1520417.2741003023,2433508559.9999995
2028,shaheen_ncc_elec_20c,Other,432184.00829651015,583321.5236583127,-151137.5153618026,148764000.0
2028,shaheen_ncc_elec_20c,Ulsan,22130929.276215024,24111244.73455074,-1980315.4583357144,2761465559.9999995
2028,shaheen_ncc_elec_20c,Yeosu,25771247.3570664,27143738.812434264,-1372491.4553678655,2775063619.9999995
2028,shaheen_ncc_h2_15c,Daesan,19800108.50587184,13158676.104077416,6122491.822806455,1919763999.9999998
2028,shaheen_ncc_h2_15c,Other,432184.00829651015,583321.5236583127,-178477.74947395353,148764000.0
2028,shaheen_ncc_h2_15c,Ulsan,22130929.276215024,17567760.41972698,3833060.1992968796,1860548199.9999998
2028,shaheen_ncc_h2_15c,Yeosu,25771247.3570664,21072192.66534456,3819831.8303397372,1443896299.9999998
2028,shaheen_ncc_h2_20c,Daesan,19800108.50587184,16724853.393147292,2547699.834617774,1324707999.9999998
2028,shaheen_ncc_h2_20c,Other,432184.00829651015,583321.5236583127,-178477.74947395353,148764000.0
2028,shaheen_ncc_h2_20c,Ulsan,22130929.276215024,22560408.624424804,-1171648.5841672746,1027469799.9999998
2028,shaheen_ncc_h2_20c,Yeosu,25771247.3570664,22899858.52599287,1987750.936393038,1138930100.0
2029,shaheen_ncc_elec_15c,Daesan,19800108.50587184,20353936.023402277,-553827.5175304362,2316569429.9999995
2029,shaheen_ncc_elec_15c,Other,432184.00829651015,556875.9934038713,-124691.98510736114,142002000.0
2029,shaheen_ncc_elec_15c,Ulsan,22130929.276215024,23018134.629336614,-887205.3531215868,2629835179.9999995
2029,shaheen_ncc_elec_15c,Yeosu,25771247.3570664,25913147.21437185,-141899.85730544952,2641045609.9999995
2029,shaheen_ncc_elec_20c,Daesan,19800108.50587184,20353936.023402277,-553827.5175304362,2316569429.9999995
2029,shaheen_ncc_elec_20c,Other,432184.00829651015,556875.9934038713,-124691.98510736114,142002000.0
2029,shaheen_ncc_elec_20c,Ulsan,22130929.276215024,23018134.629336614,-887205.3531215868,2629835179.9999995
2029,shaheen_ncc_elec_20c,Yeosu,25771247.3570664,25913147.21437185,-141899.85730544952,2641045609.9999995
2029,shaheen_ncc_h2_15c,Daesan,19800108.50587184,12826898.629223825,6281289.104664056,1832501999.9999998
2029,shaheen_ncc_h2_15c,Other,432184.00829651015,556875.9934038713,-161145.630590229,142002000.0
2029,shaheen_ncc_h2_15c,Ulsan,22130929.276215024,17131953.66643865,4025497.400188151,1776329099.9999998
2029,shaheen_ncc_h2_15c,Yeosu,25771247.3570664,17240908.141751938,7368977.9487419175,1919055599.9999998
2029,shaheen_ncc_h2_20c,Daesan,19800108.50587184,16412624.147784922,2684077.320611218,1264493999.9999998
2029,shaheen_ncc_h2_20c,Other,432184.00829651015,556875.9934038713,-161145.630590229,142002000.0
2029,shaheen_ncc_h2_20c,Ulsan,22130929.276215024,22151969.39242419,-1010599.0974858225,981117899.9999998
2029,shaheen_ncc_h2_20c,Yeosu,25771247.3570664,22492501.97414455,2100561.5233478653,1087160550.0
2030,shaheen_ncc_elec_15c,Daesan,19800108.50587184,19387346.266832408,412762.23903943377,2199630299.9999995
2030,shaheen_ncc_elec_15c,Other,432184.00829651015,530430.4631494296,-98246.45485291959,135240000.0
2030,shaheen_ncc_elec_15c,Ulsan,22130929.276215024,21925024.52412248,205904.75209254486,2498204799.9999995
2030,shaheen_ncc_elec_15c,Yeosu,25771247.3570664,24682555.616309427,1088691.7407569715,2507027599.9999995
2030,shaheen_ncc_elec_20c,Daesan,19800108.50587184,19387346.266832408,412762.23903943377,2199630299.9999995
2030,shaheen_ncc_elec_20c,Other,432184.00829651015,530430.4631494296,-98246.45485291959,135240000.0
2030,shaheen_ncc_elec_20c,Ulsan,22130929.276215024,21925024.52412248,205904.75209254486,2498204799.9999995
