year,scenario,technology,emissions_tco2,abatement_tco2
2032,shaheen_ncc_h2_20c,RDH,6970491.087897084,-2077737.9017868452
2033,shaheen_ncc_elec_15c,Heat_Pump,172189.2573583858,252152.3319838553
2033,shaheen_ncc_elec_15c,NCC-Electricity,40014746.09151884,6172983.580645362
2033,shaheen_ncc_elec_15c,RDH,6668841.566970031,-1776088.3808597927
2033,shaheen_ncc_elec_20c,Heat_Pump,172189.2573583858,252152.3319838553
2033,shaheen_ncc_elec_20c,NCC-Electricity,40014746.09151884,6172983.580645362
2033,shaheen_ncc_elec_20c,RDH,6668841.566970031,-1776088.3808597927
2033,shaheen_ncc_h2_15c,Baseline,31410019.165237427,0.0
2033,shaheen_ncc_h2_15c,Heat_Pump,172189.2573583858,252152.3319838553
2033,shaheen_ncc_h2_15c,NCC-H2,2646711.229708132,23533800.197639417
2033,shaheen_ncc_h2_15c,RDH,6668841.566970031,-1776088.3808597927
2033,shaheen_ncc_h2_20c,Baseline,50141478.8484697,0.0
2033,shaheen_ncc_h2_20c,Heat_Pump,172189.2573583858,252152.3319838553
2033,shaheen_ncc_h2_20c,NCC-H2,710242.8657395418,6589092.69350292
2033,shaheen_ncc_h2_20c,RDH,6668841.566970031,-1776088.3808597927
2034,shaheen_ncc_elec_15c,Heat_Pump,164400.67721754115,259940.9121247
2034,shaheen_ncc_elec_15c,NCC-Electricity,38204772.22014848,7982957.452015726
2034,shaheen_ncc_elec_15c,RDH,6367192.046042977,-1474438.8599327388
2034,shaheen_ncc_elec_20c,Heat_Pump,164400.67721754115,259940.9121247
2034,shaheen_ncc_elec_20c,NCC-Electricity,38204772.22014848,7982957.452015726
2034,shaheen_ncc_elec_20c,RDH,6367192.046042977,-1474438.8599327388
2034,shaheen_ncc_h2_15c,Baseline,29043786.44675087,0.0
2034,shaheen_ncc_h2_15c,Heat_Pump,164400.67721754115,259940.9121247
2034,shaheen_ncc_h2_15c,NCC-H2,2748237.9077383503,25272384.473651394
2034,shaheen_ncc_h2_15c,RDH,6367192.046042977,-1474438.8599327388
2034,shaheen_ncc_h2_20c,Baseline,49560793.661961816,0.0
2034,shaheen_ncc_h2_20c,Heat_Pump,164400.67721754115,259940.9121247
2034,shaheen_ncc_h2_20c,NCC-H2,678116.6833972716,6621218.87584519
2034,shaheen_ncc_h2_20c,RDH,6367192.046042977,-1474438.8599327388
2035,shaheen_ncc_elec_15c,Heat_Pump,156612.09707669652,267729.4922655446
2035,shaheen_ncc_elec_15c,NCC-Electricity,36394798.34877812,9792931.323386082
2035,shaheen_ncc_elec_15c,RDH,6065542.525115925,-1172789.3390056866
2035,shaheen_ncc_elec_20c,Heat_Pump,156612.09707669652,267729.4922655446
2035,shaheen_ncc_elec_20c,NCC-Electricity,36394798.34877812,9792931.323386082
2035,shaheen_ncc_elec_20c,RDH,6065542.525115925,-1172789.3390056866
2035,shaheen_ncc_h2_15c,Baseline,26503524.45713292,0.0
2035,shaheen_ncc_h2_15c,Heat_Pump,156612.09707669652,267729.4922655446
2035,shaheen_ncc_h2_15c,NCC-H2,2832579.9078382663,27198857.154317535
2035,shaheen_ncc_h2_15c,RDH,6065542.525115925,-1172789.3390056866
2035,shaheen_ncc_h2_20c,Baseline,48980108.47545394,0.0
2035,shaheen_ncc_h2_20c,Heat_Pump,156612.09707669652,267729.4922655446
2035,shaheen_ncc_h2_20c,NCC-H2,645990.5010550015,6653345.0581874605
2035,shaheen_ncc_h2_20c,RDH,6065542.525115925,-1172789.3390056866
2036,shaheen_ncc_elec_15c,Heat_Pump,140978.90384435363,283362.6854978875
2036,shaheen_ncc_elec_15c,NCC-Electricity,32761829.211279336,13425900.46088487
2036,shaheen_ncc_elec_15c,RDH,5460073.342823494,-567320.1567132553
2036,shaheen_ncc_elec_20c,Heat_Pump,140978.90384435363,283362.6854978875
2036,shaheen_ncc_elec_20c,NCC-Electricity,32761829.211279336,13425900.46088487
2036,shaheen_ncc_elec_20c,RDH,5460073.342823494,-567320.1567132553
2036,shaheen_ncc_h2_15c,Baseline,25383528.811186794,0.0
2036,shaheen_ncc_h2_15c,Heat_Pump,140978.90384435363,283362.6854978875
2036,shaheen_ncc_h2_15c,NCC-H2,2549828.6397570935,27481608.42239871
2036,shaheen_ncc_h2_15c,RDH,5460073.342823494,-567320.1567132553
2036,shaheen_ncc_h2_20c,Baseline,47814560.51116835,0.0
2036,shaheen_ncc_h2_20c,Heat_Pump,140978.90384435363,283362.6854978875
