year,year_index,capex,opex,carbon_price,emissions_avoided_t,carbon_benefit,net_cash_flow
2025,0,0.0,0.0,30.0,0.0,0.0,0.0
2026,1,0.0,0.0,31.5,0.0,0.0,0.0
2027,2,0.0,0.0,33.075,0.0,0.0,0.0
2028,3,0.0,0.0,34.728750000000005,0.0,0.0,0.0
2029,4,0.0,0.0,36.465187500000006,0.0,0.0,0.0
2030,5,313837118.72570145,-1561.7666847169999,38.28844687500001,2092247.458171343,80108905.65154728,-233726651.30746946
2031,6,255266208.84138182,-2557.3589826276,40.20286921875001,3794022.183780555,152530577.66756597,-102733073.81483322
2032,7,255234080.6338538,-2504.5574676082997,42.213012679687516,5495582.721339581,231985103.09817934,-23246472.978206843
2033,8,255303030.0247354,-2458.1191470762997,44.323663313671894,7197602.921504484,319024128.5582659,63723556.65267761
2034,9,255278876.3420313,-2418.0730606238,46.53984647935549,8899462.097118026,414179599.74871594,158903141.47974527
2035,10,255135728.66779366,-2384.4506231148,48.86683880332326,10600366.954903316,518006423.241335,262873079.02416444
2036,11,275431549.8334738,-2344.18964379,51.310180743489425,12436577.287126476,638123028.4328349,362693822.78900486
2037,12,277249035.6008796,-2309.7989235229998,53.875689780663905,14284904.191132339,769609066.7479515,492362340.94599545
2038,13,277637024.2954658,-2281.6800995446,56.569474269697096,16135817.686435444,912794723.4333332,635159980.8179668
2039,14,0.0,-2329.4651023449,59.39794798318196,15933046.09104178,946390242.9293402,946392572.3944426
2040,15,229212176.38306883,-2320.9307117169,62.36784538234106,17461127.266928904,1089012885.5852015,859803030.1328444
2041,16,0.0,-2774.4288427525,65.48623765145811,3801393.343116058,248938947.87396902,248941722.30281177
2042,17,0.0,-575.9980692364,68.76054953403101,702675.64272703,48316363.33808903,48316939.33615826
2043,18,201618383.1250352,-1686.2616360869001,72.19857701073256,2046798.1968939314,147775917.24387506,-53840779.619524054
2044,19,201756913.13236454,-2808.3984170232,75.80850586126921,3391844.2844430283,257130647.31771177,55376542.583764255
2045,20,197671130.294988,-2808.3914343228,79.59893115433266,4709651.819742948,374883250.96059644,177214929.05704275
2046,21,66807464.61505791,-2806.0490092045,83.5788777120493,5155034.917176668,430852032.94405293,364047374.37800425
2047,22,0.0,-2822.6525358266,87.75782159765178,4867254.158677699,427139622.12766623,427142444.7802021
2048,23,214832234.99698347,-2798.1119900054,92.14571267753438,6299469.058657589,580469065.9000802,365639629.01508677
2049,24,214886841.71363702,-2776.4885899444,96.75299831141109,7732048.003415169,748098827.4181774,533214762.1931303
2050,25,185846788.12210312,-3024.6423698077,101.59064822698166,8971026.590895858,911372406.6305995,725528643.1508663
