scenario,npv_busd,irr_%,payback_year,total_capex_busd,total_opex_busd,total_carbon_benefit_busd
point_targets,1.7024778472404347,41.408571304951394,2035,3.9330045853485545,-5.0351813340897595e-05,10.24674176684909
budget,1.1708066062568419,18.942939216358965,2037,4.828065841819843,-5.35062749893337e-05,10.426839356836451
linear,1.2494401958632146,19.204407314314622,2037,4.938329552209846,-5.4356597455371396e-05,10.90233597460682
