year,year_index,capex,opex,carbon_price,emissions_avoided_t,carbon_benefit,net_cash_flow
2025,0,0.0,0.0,30.0,0.0,0.0,0.0
2026,1,237413070.1435288,-1134.2419075548,31.5,1582753.8009568586,49856744.73014104,-187555191.17148018
2027,2,238414959.44010627,-2296.925728323,33.075,3172186.8638909003,104920080.52319154,-133492581.99118641
2028,3,237727953.21857563,-2429.9688582754998,34.728750000000005,4757039.885348071,165206048.91828185,-72519474.3314355
2029,4,0.0,0.0,36.465187500000006,0.0,0.0,0.0
2030,5,167330445.44045758,-832.6966424139,38.28844687500001,1115536.302936384,42712152.47211366,-124617460.2717015
2031,6,243620842.896739,-2065.4041513713,40.20286921875001,2739675.255581311,110142806.00198095,-133475971.4906067
2032,7,243588714.68921104,-2557.047853044,42.213012679687516,4363600.020176051,184200702.98077634,-59385454.660581656
2033,8,243657664.08009365,-2511.9404990657,44.323663313671894,5987984.447376675,265409406.5730274,21754254.433432817
2034,9,243633510.39738744,-2472.9341174968,46.53984647935549,7612207.850025925,354270984.70915127,110639947.24588132
2035,10,243490362.72315034,-2440.0601232009,48.86683880332326,9235476.934846926,451308562.64697474,207820639.9839476
2036,11,263786183.888831,-2400.4788859052996,51.310180743489425,10994051.494105801,564106769.2657986,300322985.85585344
2037,12,265603669.65623683,-2366.50060211,53.875689780663905,12764742.62514738,687709313.8024577,422108010.646823
2038,13,265991658.35082301,-2338.526909046,56.569474269697096,14538020.3474862,822408167.9794534,556418848.1555394
2039,14,0.0,-2386.1897372031003,59.39794798318196,14257612.979128255,846872954.0986,846875340.2883372
2040,15,217566810.43842444,-2377.2658663746,62.36784538234106,15708058.382051084,979677756.4285485,762113323.2559904
2041,16,0.0,-2015.0661708196,65.48623765145811,2470688.6852739556,161796106.40661886,161798121.47278967
2042,17,0.0,0.0,68.76054953403101,0.0,0.0,0.0
2043,18,234123298.96848807,-1285.8884924554,72.19857701073256,1560821.9931232536,112689126.87055431,-121432886.2094413
2044,19,265111547.187722,-2755.7286126971,75.80850586126921,3328232.307708067,252308318.40655255,-12800473.052556748
2045,20,261025764.35034546,-2798.8331632922004,79.59893115433266,5068404.070043704,403439546.63374823,142416581.11656606
2046,21,130162098.67041431,-2786.0353783511,83.5788777120493,5936151.394513132,496136871.482224,365977558.847188
2047,22,20187520.28051223,-2793.0462414699,87.75782159765178,6070734.863049881,532754467.07817644,512569739.8439057
2048,23,278186869.0523407,-2759.775728465,92.14571267753438,7925313.990065484,730283705.8078177,452099596.5312055
2049,24,278241475.7689934,-2730.2850575399,96.75299831141109,9780257.161858775,946269204.6664883,668030459.1825525
2050,25,249201422.17746058,-2971.4342628586,101.59064822698166,11441599.976375178,1162359558.3537724,913161107.6105747
