year,year_index,capex,opex,carbon_price,emissions_avoided_t,carbon_benefit,net_cash_flow
2025,0,0.0,0.0,30.0,0.0,0.0,0.0
2026,1,240589629.83065268,-1149.4179343709,31.5,1603930.8655376844,50523822.26443706,-190064658.14828128
2027,2,241591519.12723115,-2327.5936218445,33.075,3214540.993052559,106320943.3452134,-135268248.18839592
2028,3,240904512.90569845,-2426.6865317074,34.728750000000005,4820571.079090549,167412407.8629659,-73489678.35620083
2029,4,0.0,0.0,36.465187500000006,0.0,0.0,0.0
2030,5,183213243.87607804,-911.7351753878,38.28844687500001,1221421.6258405203,46766337.032970905,-136445995.10793173
2031,6,246797402.5838629,-2161.1947681825004,40.20286921875001,2866737.6430662726,115251078.54866101,-131544162.84043372
2032,7,246765274.37633595,-2550.1739441338,42.213012679687516,4511839.472241846,190458336.85045967,-56304387.35193215
2033,8,246834223.7672164,-2504.4023982759,44.323663313671894,6157400.964023288,272918567.21664697,26086847.851828832
2034,9,246810070.0845113,-2464.8112736041,46.53984647935549,7802801.431253364,363141180.7194269,116333575.44618917
2035,10,246666922.41027528,-2431.4319849822,48.86683880332326,9447247.580655199,461657124.65896326,214992633.68067297
2036,11,266962743.57595542,-2391.3889617362997,51.310180743489425,11226999.204494903,576059358.3896455,309099006.2026518
2037,12,268780229.3433609,-2357.0218061492,53.875689780663905,13018867.400117308,701400461.3443185,432622589.0227637
2038,13,269168218.03794664,-2328.7321554519,56.569474269697096,14813322.187036952,837981848.3083199,568815959.0025288
2039,14,0.0,-2376.1519401342002,59.39794798318196,14554091.883259831,864483192.6243181,864485568.7762582
2040,15,220743370.12554938,-2367.0579399892,62.36784538234106,16025714.350763494,999489274.7699819,778748271.7023726
2041,16,0.0,-2291.4146185277,65.48623765145811,2809521.7185671898,183985006.949024,183987298.3636425
2042,17,0.0,-126.5201111745,68.76054953403101,154345.3097947065,10612868.319484279,10612994.839595454
2043,18,268149576.86751518,-1599.930829014,72.19857701073256,1942009.155578141,140210297.57455614,-127937679.36213002
2044,19,268288106.87484667,-2820.0139108897997,75.80850586126921,3730596.5347437854,282810949.27015483,14525662.409219056
2045,20,264202324.03746912,-2787.5487115444002,79.59893115433266,5491945.361660246,437152980.7461505,172953444.2573929
2046,21,133338658.3575379,-2774.6408817902,83.5788777120493,6380869.750710499,533305932.5911473,399970048.8744912
2047,22,23364079.9676369,-2781.584955122,87.75782159765178,6536630.283828078,573640434.2979923,550279135.9153105
2048,23,281363428.7394646,-2748.2909073562,92.14571267753438,8412386.475424508,775165347.0968428,493804666.64828557
2049,24,281418035.4561181,-2718.8199566963,96.75299831141109,10288506.711798629,995443872.5135944,714028555.877433
2050,25,252377981.8645842,-2960.0321373064,101.59064822698166,11971026.590895858,1216144351.3115444,963769329.4790975
