product,company,location,year_built,retirement_year,remaining_life_years,capacity_kt,emissions_kt,carbon_intensity_tco2_per_t,book_value_musd,carbon_cost_2030_usd_per_t,stranded_risk
Ethylene,Lotte Chemical,Daesan,1991,2041,16,1100,2020.649468750928,1.8369540625008436,176.0,70.33411803387901,False
Ethylene,HD Hyundai Chemical,Daesan,2021,2071,46,850,1561.410953125717,1.8369540625008436,391.0,70.33411803387901,False
Ethylene,LG Chem,Daesan,1991,2041,16,1300,2388.040281251097,1.8369540625008438,208.0,70.33411803387901,False
Ethylene,Hanwha TotalEnergies,Daesan,1991,2041,16,1525,2801.354945313786,1.8369540625008434,244.0,70.334118033879,False
Ethylene,Lotte Chemical,Yeosu,1992,2042,17,1230,2259.4534968760377,1.8369540625008436,209.1,70.33411803387901,False
Ethylene,LG Chem,Yeosu,2021,2071,46,1030,1892.0626843758691,1.8369540625008438,473.8,70.33411803387901,False
Ethylene,Yeochon NCC,Yeosu,1979,2029,4,2285,4197.4400328144275,1.8369540625008436,91.4,70.33411803387901,False
Ethylene,GS Caltex,Yeosu,2021,2071,46,900,1653.2586562507593,1.8369540625008436,414.0,70.33411803387901,False
Ethylene,Daehan Oil Chemical,Onsan,1991,2041,16,900,1653.2586562507593,1.8369540625008436,144.0,70.33411803387901,False
Ethylene,S-Oil,Onsan,2018,2068,43,182,334.32563937515357,1.8369540625008438,78.26,70.33411803387901,False
Ethylene,SK Geocentric,Ulsan,1989,2039,14,660,1212.3896812505566,1.8369540625008434,92.4,70.334118033879,False
Propylene,Lotte Chemical,Daesan,1997,2047,22,550,962.3677872513648,1.7497596131842996,121.0,66.99557799342763,False
Propylene,HDHyundai Oilbank,Daesan,2011,2061,36,420,734.8990375374059,1.7497596131842998,151.2,66.99557799342763,False
Propylene,HD Hyundai Chemical,Daesan,2021,2071,46,451,789.1415855461189,1.7497596131842992,207.46,66.99557799342762,False
Propylene,LG Chem,Daesan,1991,2041,16,680,1189.8365369653234,1.7497596131842992,108.8,66.99557799342762,False
Propylene,Hanwha TotalEnergies,Daesan,1991,2041,16,1064,1861.7442284280944,1.7497596131842992,170.24,66.99557799342762,False
Propylene,Lotte Chemical,Yeosu,1992,2042,17,641,1121.595912051136,1.7497596131842996,108.97,66.99557799342763,False
Propylene,LG Chem,Yeosu,2021,2071,46,1300,2274.687497139589,1.7497596131842994,598.0,66.99557799342762,False
Propylene,Yeochon NCC,Yeosu,1979,2029,4,1289,2255.440141394562,1.7497596131842994,51.56,66.99557799342762,False
Propylene,GS Caltex,Yeosu,2021,2071,46,970,1697.2668247887705,1.7497596131842994,446.2,66.99557799342762,False
Propylene,Daehan Oil Chemical,Onsan,1991,2041,16,560,979.8653833832078,1.7497596131842996,89.6,66.99557799342763,False
Propylene,S-Oil,Onsan,2018,2068,43,840,1469.7980750748118,1.7497596131842998,361.2,66.99557799342763,False
Propylene,SK Advanced,Ulsan,2016,2066,41,600,1049.8557679105795,1.7497596131842992,246.0,66.99557799342762,False
Propylene,SK Energy,Ulsan,1996,2046,21,620,1084.8509601742655,1.7497596131842992,130.2,66.99557799342762,False
Propylene,SK Geocentric,Ulsan,1989,2039,14,380,664.9086530100337,1.7497596131842994,53.2,66.99557799342762,False
Propylene,Taekwang Industrial,Ulsan,1997,2047,22,300,524.9278839552899,1.7497596131842996,66.0,66.99557799342763,False
Propylene,Hyosung Chemical,Ulsan,1991,2041,16,500,874.8798065921497,1.7497596131842994,80.0,66.99557799342762,False
Butadiene,Lotte Chemical,Daesan,1997,2047,22,190,416.0591251648507,2.1897848692886877,41.8,83.84346163543876,False
Butadiene,HD Hyundai Chemical,Daesan,2021,2071,46,163,356.93493369405604,2.189784869288687,74.98,83.84346163543874,False
Butadiene,LG Chem,Daesan,1991,2041,16,200,437.9569738577375,2.1897848692886877,32.0,83.84346163543876,False
Butadiene,Hanwha TotalEnergies,Daesan,1991,2041,16,150,328.46773039330316,2.1897848692886877,24.0,83.84346163543876,False
Butadiene,Kumho Petrochemical,Yeosu,1992,2042,17,147,321.898375785437,2.189784869288687,24.99,83.84346163543874,False
Butadiene,Lotte GS Chemical,Yeosu,2022,2072,47,130,284.6720330075293,2.1897848692886868,61.1,83.84346163543873,False
Butadiene,Lotte Chemical,Yeosu,2011,2061,36,160,350.36557908619005,2.1897848692886877,57.6,83.84346163543876,False
Butadiene,LG Chem,Yeosu,1991,2041,16,306,670.0741700023385,2.189784869288688,48.96,83.84346163543879,False
Butadiene,Yeochon NCC,Yeosu,1992,2042,17,378,827.738680591124,2.1897848692886877,64.26,83.84346163543876,False
Butadiene,Kumho Petrochemical,Ulsan,1979,2029,4,90,197.0806382359819,2.1897848692886877,3.6,83.84346163543876,False
Butadiene,Daehan Oil Chemical,Ulsan,2023,2073,48,146,319.7085909161484,2.1897848692886877,70.08,83.84346163543876,False
Butadiene,SK Geocentric,Ulsan,1989,2039,14,130,284.6720330075293,2.1897848692886868,18.2,83.84346163543873,False
Benzene,OCI,Gwangyang,1995,2045,20,200,27.339018486664596,0.13669509243332298,40.0,5.233842784706503,False
Benzene,Lotte Chemical,Daesan,2011,2061,36,240,32.80682218399752,0.13669509243332298,86.4,5.233842784706503,False
Benzene,HD Hyundai Chemical,Daesan,2016,2066,41,410,56.044987897662416,0.13669509243332298,168.1,5.233842784706503,False
Benzene,HDHyundai Oilbank,Daesan,1997,2047,22,338,46.20294124246316,0.13669509243332295,74.36,5.233842784706502,False
Benzene,LG Chem,Daesan,1991,2041,16,270,36.907674956997205,0.13669509243332298,43.2,5.233842784706503,False
