product,product_group,process,company,location,capacity_kt,year_built,naphtha_gj_per_year,electricity_kwh_per_year,lng_gj_per_year,fuel_gas_gj_per_year,byproduct_gas_gj_per_year,lpg_gj_per_year,fuel_oil_gj_per_year,diesel_gj_per_year,emissions_naphtha_kt,emissions_electricity_kt,emissions_lng_kt,emissions_fuel_gas_kt,emissions_byproduct_gas_kt,emissions_lpg_kt,emissions_fuel_oil_kt,emissions_diesel_kt,total_emissions_kt,capex_musd_per_kt,initial_capex_musd,facility_age,remaining_life,book_value_musd,depreciated_musd,emission_intensity,stranding_risk,facility_id,tech_heat_pump_pct,tech_ncc_h2_pct,tech_ncc_elec_pct,tech_re_ppa_pct,abatement_mt,retirement_assumed,retirement_loss_musd,retrofit_capex_musd,operational_stranding,operational_loss_musd,total_stranded_musd
Ethylene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,1100,1991,31900000.0,23995334.39572932,4941453.582756559,6176816.9784457,1235363.3956891398,0.0,0.0,0.0,1728.98,107.97900478078192,73.62765838307274,92.03457297884094,18.406914595768185,0,0,0,2021.028150738464,1.2,1320.0,34,0,0.0,1320.0,1.837298318853149,High,0,,,,,,False,0.0,,False,0.0,
Ethylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,850,2021,24650000.0,18541849.30579083,3818395.9503118866,4772994.937889859,954598.9875779717,0.0,0.0,0.0,1336.03,83.43832187605875,56.89409965964711,71.1176245745589,14.223524914911778,0,0,0,1561.7035710251766,1.2,1020.0,4,26,884.0,136.0,1.837298318853149,High,1,0.0,0.0,43.062428178844755,0.0,0.7445407707265901,False,0.0,432.64587331676034,True,265.2,697.8458733167604
Ethylene,Olefins,Naphtha Cracker,LG Chem,Daesan,1300,1991,37700000.0,28358122.467680104,5839899.688712298,7299874.610890374,1459974.9221780745,0.0,0.0,0.0,2043.34,127.61155110456043,87.01450536181324,108.76813170226656,21.75362634045331,0,0,0,2388.487814509094,1.2,1560.0,34,0,0.0,1560.0,1.837298318853149,High,2,0.0,0.0,43.062428178844755,0.0,0.5753269591978196,False,0.0,661.693688602104,True,0.0,661.693688602104
Ethylene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1525,1991,44225000.0,33266259.048624735,6850651.557912502,8563314.44739063,1712662.8894781256,0.0,0.0,0.0,2396.995,149.6981657188113,102.07470821289628,127.5933852661204,25.51867705322407,0,0,0,2801.879936251052,1.2,1830.0,34,0,0.0,1830.0,1.8372983188531489,High,3,0.0,0.0,43.06242817884476,0.0,0.8799118199496064,False,0.0,776.217596244776,True,0.0,776.217596244776
Ethylene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,1230,1992,35670000.0,26831146.642497327,5525443.551627789,6906804.439534738,1381360.8879069472,0.0,0.0,0.0,1933.314,120.74015989123797,82.32910891925405,102.9113861490676,20.582277229813513,0,0,0,2259.876932189373,1.2,1476.0,33,0,0.0,1476.0,1.8372983188531486,High,4,0.0,0.0,43.06242817884476,0.0,1.0322042503255,False,0.0,626.0640284466062,True,0.0,626.0640284466062
Ethylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,1030,2021,29870000.0,22468358.57054654,4626997.445672051,5783746.8070900645,1156749.3614180128,0.0,0.0,0.0,1618.954,101.10761356745942,68.94226194051356,86.17782742564196,17.23556548512839,0,0,0,1892.417268418743,1.2,1236.0,4,26,1071.2,164.79999999999995,1.8372983188531486,High,5,0.0,0.0,43.062428178844755,0.0,0.8325319527215508,False,0.0,524.2649994308978,True,321.36,845.6249994308978
Ethylene,Olefins,Naphtha Cracker,Yeochon NCC,Yeosu,2285,1979,66265000.0,49844853.72203772,10264746.760544308,12830933.450680386,2566186.690136077,0.0,0.0,0.0,3591.563,224.3018417491697,152.94472673211018,191.18090841513776,38.236181683027546,0,0,0,4198.226658579445,1.2,2742.0,46,0,0.0,2742.0,1.8372983188531489,High,6,0.0,0.0,43.06242817884476,0.0,0.6971609034985344,False,0.0,1163.053906504468,False,0.0,1163.053906504468
Ethylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,900,2021,26100000.0,19632546.323778532,4043007.4768008217,5053759.346001027,1010751.8692002052,0.0,0.0,0.0,1414.62,88.3464584570034,60.240811404332234,75.30101425541531,15.06020285108306,0,0,0,1653.5684869678337,1.2,1080.0,4,26,936.0,144.0,1.8372983188531484,High,7,0.0,0.0,43.062428178844755,0.0,1.5466142373729623,True,936.0,458.0956305706874,False,0.0,1394.0956305706873
Ethylene,Olefins,Naphtha Cracker,Daehan Oil Chemical,Onsan,900,1991,26100000.0,19632546.323778532,4043007.4768008217,5053759.346001027,1010751.8692002052,0.0,0.0,0.0,1414.62,88.3464584570034,60.240811404332234,75.30101425541531,15.06020285108306,0,0,0,1653.5684869678337,1.2,1080.0,34,0,0.0,1080.0,1.8372983188531484,High,8,0.0,0.0,43.062428178844755,0.0,0.6091697215035737,False,0.0,458.0956305706874,True,0.0,458.0956305706874
Ethylene,Olefins,Naphtha Cracker,S-Oil,Onsan,182,2018,5278000.0,3970137.1454752143,817585.9564197217,1021982.4455246524,204396.48910493043,0.0,0.0,0.0,286.06759999999997,17.865617154638464,12.182030750653851,15.227538438317318,3.0455076876634632,0,0,0,334.38829403127306,1.2,218.4,7,23,167.44000000000003,50.95999999999998,1.8372983188531486,High,9,0.0,0.0,43.062428178844755,0.0,0.6091697215035737,True,167.44000000000003,92.63711640429456,False,0.0,260.0771164042946
Ethylene,Olefins,Naphtha Cracker,SK Geocentric,Ulsan,660,1989,19140000.0,14397200.637437591,2964872.149653936,3706090.18706742,741218.037413484,0.0,0.0,0.0,1037.388,64.78740286846916,44.17659502984364,55.22074378730456,11.04414875746091,0,0,0,1212.6168904430783,1.2,792.0,36,0,0.0,792.0,1.8372983188531489,High,10,0.0,0.0,43.062428178844755,0.0,0.1231876547929449,False,0.0,335.93679575183745,False,0.0,335.93679575183745
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,550,1997,13967027.027027018,26864611.210094687,2163757.7051767367,2839931.9880444645,676174.2828677298,0.0,0.0,0.0,757.0128648648644,120.89075044542608,32.23998980713338,42.31498662186252,10.074996814729174,0,0,0,962.5335885540156,1.2,660.0,28,2,44.0,616.0,1.7500610700982102,High,11,0.0,0.0,43.062428178844755,0.0,0.446724462435954,False,0.0,245.1430671702596,True,13.2,258.3430671702596
Propylene,Olefins,Naphtha Cracker,HDHyundai Oilbank,Daesan,420,2011,10665729.729729723,20514794.014981396,1652324.0657713262,2168675.336324864,516351.27055353904,0.0,0.0,0.0,578.082551351351,92.31657306741629,24.61962857999276,32.313262511240474,7.6936339312477315,0,0,0,735.0256494412482,1.2,504.0,14,16,268.8,235.2,1.75006107009821,High,12,0.0,0.0,43.062428178844755,0.0,0.3259881212370473,False,0.0,187.20016038456188,True,80.64,267.8401603845619
Propylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,451,2021,11452962.162162151,22028981.192277644,1774281.318244924,2328744.230196461,554462.9119515384,0.0,0.0,0.0,620.7505491891887,99.1304153652494,26.436791641849368,34.698289029927274,8.261497388077922,0,0,0,789.2775426142928,1.2,541.1999999999999,4,26,469.03999999999996,72.15999999999997,1.7500610700982102,High,13,0.0,0.0,43.062428178844755,0.0,0.2489363834901089,False,0.0,201.01731507961287,True,140.712,341.7293150796129
Propylene,Olefins,Naphtha Cracker,LG Chem,Daesan,680,1991,17268324.324324314,33214428.405207973,2675191.344582147,3511188.639764065,835997.2951819204,0.0,0.0,0.0,935.9431783783778,149.4649278234359,39.86035103427399,52.31671073248457,12.456359698210614,0,0,0,1190.0415276667827,1.2,816.0,34,0,0.0,816.0,1.7500610700982098,High,14,0.0,0.0,43.062428178844755,0.0,0.2673102594143787,False,0.0,303.08597395595723,True,0.0,303.08597395595723
Propylene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1064,1991,27019848.64864863,51970811.50461954,4185887.633287359,5493977.518689655,1308089.8854022992,0.0,0.0,0.0,1464.4757967567557,233.8686517707879,62.36972573598166,81.86026502847587,19.490539292494255,0,0,0,1862.0649785844955,1.2,1276.8,34,0,0.0,1276.8,1.75006107009821,High,15,0.0,0.0,43.06242817884476,0.0,0.4030398589839858,False,0.0,474.2404063075567,True,0.0,474.2404063075567
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,641,1992,16277935.135135124,31309483.246673983,2521761.252760524,3309811.644248185,788050.3914876633,0.0,0.0,0.0,882.2640843243237,140.89267461003294,37.5742426661318,49.31619349929796,11.741950833166182,0,0,0,1121.7891459329526,1.2,769.1999999999999,33,0,0.0,769.1999999999999,1.75006107009821,High,16,0.0,0.0,43.062428178844755,0.0,0.6306388381749424,False,0.0,285.70310192024795,True,0.0,285.70310192024795
Propylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,1300,2021,33012972.97297295,63498171.95113289,5114336.394054105,6712566.517196007,1598230.1231419067,0.0,0.0,0.0,1789.303135135134,285.741773780098,76.20361227140616,100.01724110622052,23.81362883481441,0,0,0,2275.0793911276733,1.2,1560.0,4,26,1352.0,208.0,1.7500610700982102,High,17,0.0,0.0,43.062428178844755,0.0,0.3799243376599042,False,0.0,579.4290678569772,False,0.0,579.4290678569772
Propylene,Olefins,Naphtha Cracker,Yeochon NCC,Yeosu,1289,1979,32733632.43243241,62960879.72693099,5071061.23995057,6655767.877435118,1584706.637484552,0.0,0.0,0.0,1774.1628778378365,283.32395877118944,75.5588124752635,99.17094137378326,23.612128898519828,0,0,0,2255.8287193565925,1.2,1546.8,46,0,0.0,1546.8,1.7500610700982098,High,18,0.0,0.0,43.062428178844755,0.0,0.7705173774693846,False,0.0,574.5262065135719,True,0.0,574.5262065135719
Propylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,970,2021,24632756.756756738,47379405.22507608,3816081.770948063,5008607.324369328,1192525.5534212687,0.0,0.0,0.0,1335.0954162162152,213.20732351284235,56.85961838712614,74.62824913310298,17.768630745976907,0,0,0,1697.5592379952636,1.2,1164.0,4,26,1008.8000000000001,155.19999999999993,1.75006107009821,High,19,0.0,0.0,43.062428178844755,0.0,0.7639976150446436,False,0.0,432.34322755482134,True,302.64,734.9832275548213
Propylene,Olefins,Naphtha Cracker,Daehan Oil Chemical,Onsan,560,1991,14220972.972972965,27353058.68664186,2203098.7543617683,2891567.1150998184,688468.3607380522,0.0,0.0,0.0,770.7767351351346,123.08876408988836,32.82617143999035,43.084350014987294,10.258178574996975,0,0,0,980.0341992549976,1.2,672.0,34,0,0.0,672.0,1.75006107009821,High,20,0.0,0.0,43.062428178844755,0.0,0.5749245047271562,False,0.0,249.60021384608243,True,0.0,249.60021384608243
Propylene,Olefins,Naphtha Cracker,S-Oil,Onsan,840,2018,21331459.459459446,41029588.02996279,3304648.1315426524,4337350.672649728,1032702.541107078,0.0,0.0,0.0,1156.165102702702,184.63314613483257,49.23925715998552,64.62652502248095,15.387267862495465,0,0,0,1470.0512988824964,1.2,1008.0,7,23,772.8000000000001,235.19999999999993,1.75006107009821,High,21,0.0,0.0,43.06242817884476,0.0,0.3319151779868118,False,0.0,374.4003207691239,True,231.84,606.2403207691239
Propylene,Olefins,Naphtha Cracker,SK Advanced,Ulsan,600,2016,15236756.756756743,29306848.592830565,2360462.951101895,3098107.623321234,737644.6722193416,0.0,0.0,0.0,825.8322162162156,131.88081866773751,35.170897971418235,46.16180358748638,10.99090561606819,0,0,0,1050.0366420589255,1.2,720.0,9,21,503.99999999999994,216.00000000000006,1.750061070098209,High,22,0.0,0.0,43.062428178844755,0.0,0.4978727669802178,False,0.0,267.42880054937405,True,151.2,418.62880054937403
Propylene,Olefins,Naphtha Cracker,SK Energy,Ulsan,620,1996,15744648.648648638,30283743.545924917,2439145.049471958,3201377.8774319417,762232.8279599863,0.0,0.0,0.0,853.3599567567561,136.27684595666213,36.343261237132175,47.70053037373593,11.357269136603795,0,0,0,1085.03786346089,1.2,744.0,29,1,24.8,719.2,1.7500610700982098,High,23,0.0,0.0,43.062428178844755,0.0,0.3556234049858698,False,0.0,276.34309390101987,True,7.4399999999999995,283.78309390101987
Propylene,Olefins,Naphtha Cracker,SK Geocentric,Ulsan,380,1989,9649945.94594594,18561004.108792692,1494959.8690311995,1962134.8281034485,467174.9590722497,0.0,0.0,0.0,523.0270702702699,83.5245184895671,22.274902048564876,29.23580893874138,6.9609068901765205,0,0,0,665.0232066373196,1.2,456.0,36,0,0.0,456.0,1.7500610700982095,High,24,0.0,0.0,43.06242817884476,0.0,0.3674775184853988,False,0.0,169.37157368127026,True,0.0,169.37157368127026
Propylene,Olefins,Naphtha Cracker,Taekwang Industrial,Ulsan,300,1997,7618378.378378373,14653424.296415282,1180231.4755509477,1549053.811660617,368822.3361096708,0.0,0.0,0.0,412.9161081081078,65.94040933386876,17.585448985709117,23.08090179374319,5.495452808034095,0,0,0,525.0183210294629,1.2,360.0,28,2,24.0,336.0,1.7500610700982095,High,25,0.0,0.0,43.06242817884476,0.0,0.2252281564910508,False,0.0,133.71440027468708,True,7.199999999999999,140.91440027468707
Propylene,Olefins,Naphtha Cracker,Hyosung Chemical,Ulsan,500,1991,12697297.297297288,24422373.8273588,1967052.459251579,2581756.3527676947,614703.893516118,0.0,0.0,0.0,688.1935135135129,109.9006822231146,29.30908164284852,38.46816965623865,9.15908801339016,0,0,0,875.0305350491047,1.2,600.0,34,0,0.0,600.0,1.7500610700982095,High,26,0.0,0.0,43.062428178844755,0.0,0.1778117024929349,False,0.0,222.85733379114504,True,0.0,222.85733379114504
Butadiene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,190,1997,5510000.0,19410200.375208057,791449.3424282819,1011296.3819916938,219847.03956341185,0.0,0.0,0.0,298.642,87.34590168843623,11.7925952021814,15.068316091676238,3.275720889494836,0,0,0,416.12453387178874,1.2,228.0,28,2,15.2,212.8,2.1901291256409934,High,27,0.0,0.0,43.062428178844755,0.0,0.2963528374882248,False,0.0,96.7090775649229,True,4.56,101.2690775649229
Butadiene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,163,2021,4727000.0,16651908.742941646,678980.2253463682,867585.8434981372,188605.61815176907,0.0,0.0,0.0,256.2034,74.9335893432374,10.116805357660883,12.927029068122245,2.810223710461359,0,0,0,356.99104747948184,1.2,195.6,4,26,169.52,26.079999999999984,2.190129125640993,High,28,0.0,0.0,43.062428178844755,0.0,0.1286024967618655,False,0.0,82.96620864780226,True,50.856,133.82220864780226
Butadiene,Olefins,Naphtha Cracker,LG Chem,Daesan,200,1991,5800000.0,20431789.868640058,833104.5709771388,1064522.5073596777,231417.93638253873,0.0,0.0,0.0,314.36,91.94305440888024,12.413258107559368,15.861385359659195,3.448127252099827,0,0,0,438.0258251281987,1.2,240.0,34,0,0.0,240.0,2.1901291256409934,High,29,0.0,0.0,43.062428178844755,0.0,0.1103274051167583,False,0.0,101.79902901570831,True,0.0,101.79902901570831
Butadiene,Olefins,Naphtha Cracker,Hanwha TotalEnergies,Daesan,150,1991,4350000.0,15323842.40148004,624828.4282328541,798391.8805197583,173563.45228690404,0.0,0.0,0.0,235.77,68.95729080666018,9.309943580669524,11.896039019744398,2.58609543907487,0,0,0,328.519368846149,1.2,180.0,34,0,0.0,180.0,2.1901291256409934,High,30,0.0,0.0,43.06242817884476,0.0,0.1353710492230164,False,0.0,76.34927176178124,True,0.0,76.34927176178124
Butadiene,Olefins,Naphtha Cracker,Kumho Petrochemical,Yeosu,147,1992,4263000.0,15017365.55345044,612331.859668197,782424.042909363,170092.18324116597,0.0,0.0,0.0,231.0546,67.57814499052698,9.123744709056137,11.658118239349507,2.5343735302933728,0,0,0,321.948981469226,1.2,176.4,33,0,0.0,176.4,2.1901291256409934,High,31,0.0,0.0,43.06242817884476,0.0,0.1015282869172623,False,0.0,74.82228632654562,True,0.0,74.82228632654562
Butadiene,Olefins,Naphtha Cracker,Lotte GS Chemical,Yeosu,130,2022,3770000.0,13280663.414616035,541517.9711351402,691939.6297837904,150421.6586486502,0.0,0.0,0.0,204.334,59.76298536577216,8.068617769913589,10.309900483778478,2.2412827138648876,0,0,0,284.71678633332914,1.2,156.0,3,27,140.4,15.599999999999994,2.1901291256409934,High,32,0.0,0.0,43.062428178844755,0.0,0.099497721178917,False,0.0,66.1693688602104,True,42.12,108.2893688602104
