location,book_value_musd,total_stranded_musd,retirement_loss_musd,retrofit_capex_musd,operational_loss_musd,capacity_kt,total_emissions_kt,stranding_rate_pct,scenario
Gunsan,40.8,40.8,40.8,0.0,0.0,330,1.347316410518103,100.0,scenarios_shaheen_ncc_elec
Gwangyang,0.0,0.0,0.0,0.0,0.0,390,34.16410705106489,,scenarios_shaheen_ncc_elec
Incheon,468.0,88.0,88.0,0.0,0.0,2100,82.01705545999384,18.803418803418804,scenarios_shaheen_ncc_elec
Jeonju,16.90666666666667,9.706666666666669,9.706666666666669,0.0,0.0,208,0.7544452188441144,57.413249211356465,scenarios_shaheen_ncc_elec
Naju,0.0,0.0,0.0,0.0,0.0,180,0.6528852855381759,,scenarios_shaheen_ncc_elec
Onsan,1217.64,2877.5854563811945,394.1733333333334,2251.5721230478607,231.84,7331,5132.071603998333,236.32481327660017,scenarios_shaheen_ncc_elec
Pohang,0.0,0.0,0.0,0.0,0.0,100,0.3627140475212088,,scenarios_shaheen_ncc_elec
Ulsan,4432.613333333334,5856.928826825311,2169.0666666666666,3103.8381601586443,584.024,24105,7967.973640842497,132.13263567974897,scenarios_shaheen_ncc_elec
Yeosu,5759.106666666667,14408.008808993369,3929.706666666667,9993.622142326702,484.67999999999995,37216,21054.081726682656,250.17784255301228,scenarios_shaheen_ncc_elec
진해,5.333333333333333,0.0,0.0,0.0,0.0,100,0.5130741012193226,0.0,scenarios_shaheen_ncc_elec
Busan/Iksan/Siheung,0.0,0.0,0.0,0.0,0.0,530,1.9223844518624071,,scenarios_restructure_25pct_ncc_h2
Daesan,3940.84,4885.314857610525,222.46666666666667,3847.6881909438584,815.16,27424,17732.266272983074,123.96633351291919,scenarios_restructure_25pct_ncc_h2
Gimcheon,0.0,0.0,0.0,0.0,0.0,0,0.0,,scenarios_restructure_25pct_ncc_h2
Gumi,0.0,0.0,0.0,0.0,0.0,52,0.1886113047110286,,scenarios_restructure_25pct_ncc_h2
Gunsan,40.8,12.239999999999998,0.0,0.0,12.239999999999998,330,1.347316410518103,30.0,scenarios_restructure_25pct_ncc_h2
Gwangyang,0.0,0.0,0.0,0.0,0.0,390,34.16410705106489,,scenarios_restructure_25pct_ncc_h2
Incheon,468.0,88.0,88.0,0.0,0.0,2100,82.01705545999384,18.803418803418804,scenarios_restructure_25pct_ncc_h2
Jeonju,16.90666666666667,11.866666666666669,9.706666666666669,0.0,2.16,208,0.7544452188441144,70.18927444794953,scenarios_restructure_25pct_ncc_h2
Naju,0.0,0.0,0.0,0.0,0.0,180,0.6528852855381759,,scenarios_restructure_25pct_ncc_h2
Onsan,1217.64,1750.0250744867408,225.5066666666667,1242.078407820074,282.44,7331,5132.071603998333,143.722699195718,scenarios_restructure_25pct_ncc_h2
