year,total_emissions_mt,fossil_emissions_mt,electricity_emissions_mt,scenario
2025,46.33518448745625,40.47478448745625,5.8604,BAU
2026,46.79555431164883,41.08190625476809,5.713648056880735,BAU
2027,47.24898843308912,41.68902802207994,5.559960411009176,BAU
2028,47.741128465989334,42.33662457387924,5.404503892110092,BAU
2029,48.18045999183329,42.94374634119109,5.236713650642201,BAU
2030,48.658035048953685,43.59134289299038,5.0666921559633025,BAU
2031,49.08524214737441,44.15798987581478,4.927252271559633,BAU
2032,49.507180262308886,44.72463685863916,4.7825434036697265,BAU
2033,49.92384939375712,45.291283841463546,4.6325655522935785,BAU
2034,50.37967606382126,45.898405608775384,4.481270455045872,BAU
2035,50.82985739443586,46.50552737608724,4.3243300183486255,BAU
2036,51.067008941229076,46.95075000544926,4.116258935779818,BAU
2037,51.34323737893175,47.43644741929872,3.906789959633028,BAU
2038,51.57071120095433,47.88167004866075,3.6890411522935787,BAU
2039,51.83683179278546,48.36736746251023,3.46946433027523,BAU
2040,52.09779093140557,48.853064876359696,3.2447260550458723,BAU
2041,52.26769265517922,49.25781272123427,3.009879933944955,BAU
2042,52.39056024767642,49.622085781621365,2.7684744660550464,BAU
2043,52.55207460998217,50.02683362649593,2.5252409834862393,BAU
2044,52.70928776127876,50.4315814713705,2.2777062899082576,BAU
2045,52.86219970156616,50.836329316245056,2.0258703853211015,BAU
2046,52.945097124087226,51.079178023169796,1.8659191009174314,BAU
2047,53.068200505407674,51.362501514581986,1.7056989908256883,BAU
2048,53.147737606827825,51.60535022150672,1.5423873853211008,BAU
2049,53.26721184135929,51.88867371291892,1.3785381284403675,BAU
2050,53.34338862167852,52.131522419843655,1.2118662018348625,BAU
