Band,Activity_kt_product,Total_Emissions_tCO2,Emissions_MtCO2,Share_pct
HT,5150,12793500.0,12.7935,68.38335515941951
LT,2500,1416000.0,1.416,7.568752171472861
MT,3950,4499000.0,4.499,24.047892669107625
