Year,NCC_HT_Baseline_Production_kt,NCC_HT_Alternative_Production_kt,NCC_HT_Baseline_Emissions_tCO2,NCC_HT_Alternative_Emissions_tCO2,NCC_HT_Total_Emissions_tCO2,NCC_HT_Abatement_tCO2,NCC_HT_Alternative_Share_pct,NCC_MT_Baseline_Production_kt,NCC_MT_Alternative_Production_kt,NCC_MT_Baseline_Emissions_tCO2,NCC_MT_Alternative_Emissions_tCO2,NCC_MT_Total_Emissions_tCO2,NCC_MT_Abatement_tCO2,NCC_MT_Alternative_Share_pct,NCC_LT_Baseline_Production_kt,NCC_LT_Alternative_Production_kt,NCC_LT_Baseline_Emissions_tCO2,NCC_LT_Alternative_Emissions_tCO2,NCC_LT_Total_Emissions_tCO2,NCC_LT_Abatement_tCO2,NCC_LT_Alternative_Share_pct,BTX_HT_Baseline_Production_kt,BTX_HT_Alternative_Production_kt,BTX_HT_Baseline_Emissions_tCO2,BTX_HT_Alternative_Emissions_tCO2,BTX_HT_Total_Emissions_tCO2,BTX_HT_Abatement_tCO2,BTX_HT_Alternative_Share_pct,BTX_MT_Baseline_Production_kt,BTX_MT_Alternative_Production_kt,BTX_MT_Baseline_Emissions_tCO2,BTX_MT_Alternative_Emissions_tCO2,BTX_MT_Total_Emissions_tCO2,BTX_MT_Abatement_tCO2,BTX_MT_Alternative_Share_pct,BTX_LT_Baseline_Production_kt,BTX_LT_Alternative_Production_kt,BTX_LT_Baseline_Emissions_tCO2,BTX_LT_Alternative_Emissions_tCO2,BTX_LT_Total_Emissions_tCO2,BTX_LT_Abatement_tCO2,BTX_LT_Alternative_Share_pct,C4_HT_Baseline_Production_kt,C4_HT_Alternative_Production_kt,C4_HT_Baseline_Emissions_tCO2,C4_HT_Alternative_Emissions_tCO2,C4_HT_Total_Emissions_tCO2,C4_HT_Abatement_tCO2,C4_HT_Alternative_Share_pct,C4_MT_Baseline_Production_kt,C4_MT_Alternative_Production_kt,C4_MT_Baseline_Emissions_tCO2,C4_MT_Alternative_Emissions_tCO2,C4_MT_Total_Emissions_tCO2,C4_MT_Abatement_tCO2,C4_MT_Alternative_Share_pct,C4_LT_Baseline_Production_kt,C4_LT_Alternative_Production_kt,C4_LT_Baseline_Emissions_tCO2,C4_LT_Alternative_Emissions_tCO2,C4_LT_Total_Emissions_tCO2,C4_LT_Abatement_tCO2,C4_LT_Alternative_Share_pct,Total_Emissions_MtCO2,Total_Abatement_MtCO2,Baseline_Emissions_MtCO2,Target_Emissions_MtCO2,Emission_Reduction_from_Baseline_pct,Target_Achievement_pct
2023,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2024,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2025,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2026,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2027,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2028,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2029,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,2800.0,0.0,3444000.0,0.0,3444000.0,0.0,0.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,800,0.0,712000.0,0.0,712000.0,0.0,0.0,1100,0.0,528000.0,0.0,528000.0,0.0,0.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,350.0,0.0,343000.0,0.0,343000.0,0.0,0.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,18.7085,0.0,18.7085,18.7085,0.0,100.0
2030,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,1414.47402597402,1385.52597402598,1739803.0519480444,637341.9480519553,2377145.0,1066855.0,49.48307050092786,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,119.0,231.0,116620.0,36960.0,153580.0,189420.0,66.0,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,15.902225,2.806275,18.7085,15.902225,15.0,99.99999999999996
2031,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,613.2876623376601,2186.71233766234,754343.8246753219,1005887.675324678,1760231.5,1683768.5,78.09686920222643,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,72.80000000000001,277.2,71344.00000000001,44352.0,115696.00000000001,227304.0,79.19999999999999,200.0,0.0,108000.0,0.0,108000.0,0.0,0.0,15.2474275,3.4610725,18.7085,15.2474275,18.5,100.0
2032,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,1200.0,0.0,780000.0,0.0,780000.0,0.0,0.0,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,26.600000000000023,323.4,26068.000000000022,51743.99999999994,77811.99999999997,265188.0,92.39999999999999,9.62894736842199,190.371052631578,5199.631578947875,-41881.63157894688,-36681.999999999,144681.999999999,95.185526315789,14.592630000000002,4.115869999999999,18.7085,14.592630000000002,21.99999999999999,100.0
