year,capex_usd_per_kw,opex_usd_per_kw_yr,efficiency_kwh_per_kg,lifespan_years,capacity_factor,discount_rate
2025,842.86,12.64,53.57,30,0.6,0.045
2026,814.29,12.21,52.86,30,0.6,0.045
2027,785.71,11.79,52.14,30,0.6,0.045
2028,757.14,11.36,51.43,30,0.6,0.045
2029,728.57,10.93,50.71,30,0.6,0.045
2030,700.0,10.5,50.0,30,0.6,0.045
2031,687.5,10.31,49.65,30,0.6,0.045
2032,675.0,10.12,49.3,30,0.6,0.045
2033,662.5,9.94,48.95,30,0.6,0.045
2034,650.0,9.75,48.6,30,0.6,0.045
2035,637.5,9.56,48.25,30,0.6,0.045
2036,625.0,9.38,47.9,30,0.6,0.045
2037,612.5,9.19,47.55,30,0.6,0.045
2038,600.0,9.0,47.2,30,0.6,0.045
2039,587.5,8.81,46.85,30,0.6,0.045
2040,575.0,8.62,46.5,30,0.6,0.045
2041,562.5,8.44,46.15,30,0.6,0.045
2042,550.0,8.25,45.8,30,0.6,0.045
2043,537.5,8.06,45.45,30,0.6,0.045
2044,525.0,7.88,45.1,30,0.6,0.045
2045,512.5,7.69,44.75,30,0.6,0.045
2046,500.0,7.5,44.4,30,0.6,0.045
2047,487.5,7.31,44.05,30,0.6,0.045
2048,475.0,7.12,43.7,30,0.6,0.045
2049,462.5,6.94,43.35,30,0.6,0.045
2050,450.0,6.75,43.0,30,0.6,0.045
