Region,Facilities,Companies,Total_Capacity_kt,Baseline_Emissions_kt,NCC_Capacity_kt,NCC_Emissions_kt,NCC_Elec_RE_TWh,Grid_RE_TWh,Total_RE_TWh
Yeosu,608,21,309928,308.8261093308199,140547,289.13637540027645,702.735,0.0034699653088938517,702.7384699653089
Daesan,506,9,274693,253.02375669417805,111601,230.21190336048147,558.005,0.0034069967072565166,558.0084069967072
Ulsan,445,30,180830,119.32381830521041,50752,100.31771351994408,253.76,0.0011307509634794093,253.76113075096347
Onsan,166,2,85828,78.48810376245632,34302,69.1603444325881,171.51,0.00201497888844804,171.51201497888843
Incheon,24,1,21600,3.224419757406001,0,0.0,0.0,0.00013458499155450244,0.00013458499155450244
Gwangyang,31,1,4350,1.2532266047049032,0,0.0,0.0,3.11667240588189e-05,3.11667240588189e-05
Busan/Iksan/Siheung,4,1,2120,0.0007450307742328973,0,0.0,0.0,1.7087861794332508e-06,1.7087861794332508e-06
Gunsan,13,3,1470,0.0006040108386327105,0,0.0,0.0,1.411562584914131e-06,1.411562584914131e-06
Jeonju,10,2,684,0.00024037785357325557,0,0.0,0.0,5.513253522322376e-07,5.513253522322376e-07
Naju,5,1,485,0.00017044336108629964,0,0.0,0.0,3.9092514010619185e-07,3.9092514010619185e-07
Pohang,9,1,440,0.0001546290286143749,0,0.0,0.0,3.546537353540709e-07,3.546537353540709e-07
진해,3,1,300,0.00014913353875441643,0,0.0,0.0,3.420494008128818e-07,3.420494008128818e-07
Gumi,4,1,208,7.309735898134089e-05,0,0.0,0.0,1.6765449307646994e-07,1.6765449307646994e-07
Gimcheon,4,1,0,0.0,0,0.0,0.0,0.0,0.0
