Year,Technology,Capacity_kt,Share
2031,H2-furnace,4493.65455,0.24795785504833784
2031,Heat pump,13629.0,0.7520421449516622
2032,H2-furnace,4707.6381,0.24795785504833784
2032,Heat pump,14278.000000000002,0.7520421449516622
2033,H2-furnace,4921.621649999999,0.24795785504833778
2033,Heat pump,14926.999999999998,0.752042144951662
2034,H2-furnace,5135.6052,0.24795785504833784
2034,Heat pump,15576.0,0.7520421449516622
2035,H2-furnace,5349.58875,0.24795785504833784
2035,Heat pump,16225.0,0.7520421449516622
2036,H2-furnace,5563.5723,0.2479578550483378
2036,Heat pump,16874.0,0.7520421449516622
2037,H2-furnace,5777.555850000001,0.24795785504833784
2037,Heat pump,17523.0,0.7520421449516621
2038,H2-furnace,5991.5394,0.2479578550483378
2038,Heat pump,18172.0,0.7520421449516621
2039,H2-furnace,6205.5229500000005,0.24795785504833787
2039,Heat pump,18821.0,0.7520421449516622
2040,E-cracker,5640.6110295,0.19895906383219422
2040,H2-furnace,8480.0,0.29911171900937883
2040,Heat pump,14230.0,0.501929217158427
2041,E-cracker,5922.641580975,0.19895906383219422
2041,H2-furnace,8904.0,0.29911171900937883
2041,Heat pump,14941.5,0.501929217158427
2042,E-cracker,6204.67213245,0.19895906383219425
2042,H2-furnace,9328.0,0.29911171900937883
2042,Heat pump,15653.000000000002,0.501929217158427
2043,E-cracker,6486.702683924999,0.1989590638321942
2043,H2-furnace,9752.0,0.29911171900937883
2043,Heat pump,16364.499999999998,0.5019292171584269
2044,E-cracker,6768.7332354,0.1989590638321942
2044,H2-furnace,10176.0,0.2991117190093788
2044,Heat pump,17076.0,0.5019292171584269
2045,E-cracker,7050.763786875,0.1989590638321942
2045,H2-furnace,10600.0,0.2991117190093788
2045,Heat pump,17787.5,0.501929217158427
2046,E-cracker,7332.79433835,0.1989590638321942
2046,H2-furnace,11024.0,0.2991117190093788
2046,Heat pump,18499.0,0.501929217158427
2047,E-cracker,7614.824889825,0.19895906383219422
2047,H2-furnace,11448.0,0.29911171900937883
2047,Heat pump,19210.5,0.501929217158427
2048,E-cracker,7896.8554413,0.19895906383219422
2048,H2-furnace,11872.0,0.29911171900937883
2048,Heat pump,19922.0,0.501929217158427
2049,E-cracker,8178.885992775,0.19895906383219422
2049,H2-furnace,12296.0,0.29911171900937883
2049,Heat pump,20633.5,0.501929217158427
2050,E-cracker,8980.0,0.2869926494087568
2050,H2-furnace,7880.0,0.2518376478108022
2050,Heat pump,14430.0,0.46116970278044106
