Year,BAU_Emissions_Mt,Target_Emissions_Mt,Optimized_Emissions_Mt,Total_Abatement_Mt,AbatementGap_Mt
2025,59.99716268711269,59.99716268711269,45.17716268711269,14.819999999999999,0
2026,22.336389984562405,57.59727617962818,7.516389984562407,14.819999999999999,0
2027,20.1579746688956,55.19738967214368,5.337974668895603,14.819999999999999,0
2028,20.15452518997573,52.79750316465917,5.33452518997573,14.819999999999999,0
2029,20.15333952577166,50.39761665717466,5.333339525771661,14.819999999999999,0
2030,20.15247789786468,47.997730149690156,5.332477897864683,14.819999999999999,0
2031,20.150527897864684,45.597843642205646,5.330527897864686,14.819999999999999,0
2032,20.150527897864684,43.197957134721136,5.330527897864686,14.819999999999999,0
2033,20.150527897864684,40.798070627236626,5.330527897864686,14.819999999999999,0
2034,20.145070639470845,38.39818411975212,5.325070639470846,14.819999999999999,0
2035,20.12609937498909,35.99829761226761,5.30609937498909,14.819999999999999,0
2036,19.537066439782585,33.59841110478311,4.717066439782586,14.819999999999999,0
2037,19.537066439782585,31.1985245972986,4.717066439782586,14.819999999999999,0
2038,19.12126807998605,28.79863808981409,4.30126807998605,14.819999999999999,0
2039,19.12082819626512,26.39875158232958,4.300828196265121,14.819999999999999,0
2040,19.120729507317805,23.998865074845078,4.300729507317806,14.819999999999999,0
2041,17.4231116788981,21.598978567360568,2.6031116788981006,14.819999999999999,0
2042,17.41708481843298,19.199092059876058,2.5970848184329807,14.819999999999999,0
2043,17.413456911456237,16.799205552391555,2.5934569114562382,14.819999999999999,0
2044,16.840048311354558,14.399319044907045,2.020048311354559,14.819999999999999,0
2045,16.83827191030285,11.999432537422535,2.018271910302852,14.819999999999999,0
2046,12.11731216667006,9.599546029938033,-2.7026878333299393,14.819999999999999,0
2047,12.11731216667006,7.199659522453523,-2.7026878333299393,14.819999999999999,0
2048,10.363228179548836,4.799773014969013,-4.456771820451163,14.819999999999999,0
2049,10.355384052012148,2.39988650748451,-4.46461594798785,14.819999999999999,0
2050,10.355384052012148,0.0,-4.46461594798785,14.819999999999999,0
