TechID,Product,Year,DeploymentLevel,AbatementMtCO2,AnnualCostUSD,CostPerTonCO2
EE_001,All_Products,2025,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2026,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2027,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2028,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2029,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2030,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2031,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2032,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2033,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2034,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2035,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2036,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2037,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2038,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2039,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2040,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2041,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2042,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2043,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2044,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2045,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2046,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2047,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2048,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2049,0.95,14.819999999999999,-1022579999.9999999,-69
EE_001,All_Products,2050,0.95,14.819999999999999,-1022579999.9999999,-69
