Company,MaxDeployment_kt,TotalAbatementPotential_ktCO2,CAPEX_Million_USD,LCOA_USD_per_tCO2
GS Caltex,6390.0,5109.0,654110.0,-2.84
HD Hyundai Chemical,5825.0,4710.5,571429.75,-2.16
Hanwha Chemical,5290.0,4366.5,550180.0,6.05
Korea Petrochemical Ind. Co.,5485.0,4550.0,514489.5,3.86
LG Chem,20912.0,18003.6,2193826.0,3.91
Lotte Chemical,7315.0,5820.0,748385.0,-7.46
SK Innovation,3390.0,2738.0,313677.0,19.1
